course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/PLAN-40785C28AA0C,artificial_intelligence,Learning Plan,Curious about Artificial Intelligence?,About 45 minutes,310 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 9 learners in the past 12 months.,9,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Looking to advance your skills in artificial intelligence? Artificial intelligence, or AI, is the science of making machines smart. Thanks to recent breakthroughs in computer science, machines are learning how to solve problems, something we used to think only humans could do.</p></div>","['Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/URL-F41D1D3FAA60,artificial_intelligence,eLearning,Everyday Ethics for Artificial Intelligence,30 mins,3279 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 37 learners in the past 12 months.,37,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This document represents the beginning of a conversation defining Everyday Ethics for AI. Ethics must be embedded in the design and development process from the very beginning of AI creation.</p></div>","['Content Provider', 'IBM', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence', 'Popular Subjects', 'Artificial intelligence (AI)', 'Lightcast Skills Taxonomy', 'Artificial Intelligence Skill']"
https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3822996,artificial_intelligence,eLearning,Applying Artificial Intelligence,35 mins,1265 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 46 learners in the past 12 months.,46,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en-us"" translate=""yes""><p>In this module, you’ll learn about the basics of AI. You’ll explore how AI works and how it’s used in different industries.</p><p> </p><p><strong>What you’ll learn</strong></p><p>After completing this course, you should be able to:</p><ul><li>Define artificial intelligence (AI)</li><li>Identify the role and significance of AI</li><li>Describe the best practices for using AI tools</li></ul><p> </p><p><strong>Lessons</strong></p><ol><li>What is AI?</li><li>How to use AI tools?</li></ol></div>","['Badge Learning', 'Digital Literacy', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Workplace skills - Workforce readiness', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/PLAN-E4B8D2E9096C,artificial_intelligence,Learning Plan,City and Guilds: Artificial Intelligence,About 4 hours,220 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 14 learners in the past 12 months.,14,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>In this plan, the course begins with an introduction to AI and its historical context, providing students with a solid understanding of its evolution and significance. This is followed by foundational modules, which are essential for grasping AI algorithms.</p>
<p>The learning plan also emphasizes the importance of real-world applications, encouraging students to work on projects that address real-world problems. Case studies from various industries will be analyzed to understand the practical implementation and impact of AI solutions. Additionally, the course includes modules on AI ethics, discussing the ethical implications, biases, and societal impact of AI technologies.</p>
<p>The course will also provide access to current AI research and trends, fostering an environment of continuous learning and adaptation. By the end of the course, students will have a comprehensive understanding of AI principles, practical skills, and the ability to apply AI techniques to solve complex problems.</p>
<p> </p>
<p> </p>
<p> </p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-FWOZMMIUQHG,artificial_intelligence,Video,Artificial Intelligence Tutorial | AI Tutorial for Beginners | Artificial Intelligence | Simplilearn,37 mins,10344 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 200 learners in the past 12 months.,200,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This Artificial Intelligence tutorial video will help you understand what is Artificial Intelligence, types of Artificial Intelligence, ways of achieving Artificial Intelligence, and applications of Artificial Intelligence. In the end, we will also implement a use case on TensorFlow in which we will predict whether a person has diabetes or not.<br/><br/>
 This video is presented by Simplilearn.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.<br/><br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, <strong> </strong>select <strong>Subtitles</strong>, <strong> </strong>select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</p></div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence', 'Lightcast Skills Taxonomy', 'Artificial Intelligence Skill', 'TensorFlow Skill']"
https://skills.yourlearning.ibm.com/activity/URL-A0_LO_GDCFW,artificial_intelligence,Video,What Is Artificial Intelligence? | CrashCourse AI #1,11 mins,7957 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 800 learners in the past 12 months.,800,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Artificial intelligence is everywhere and it's already making a huge impact on our lives. It's autocompleting texts on our cellphones, telling us which videos to watch on YouTube, beating us at video games, recognizing us in photos, ordering products in stores, driving cars, and scheduling appointments. You get the idea. This video explains what AI can (and can't) do right now and explain how we got to where we are today. 
<br/>
<br/>
This video is presented by CrashCourse. 
<br/>
<br/>
If you want to learn more, then you can access <a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtO65LeD2p4_Sb5XQ51par_b"" rel=""noopener noreferrer nofollow"" target=""_blank"">CrashCourse's Artificial Intelligence video playlist</a> that is comprised of 20 episodes. 
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit. 
<br/>
<br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, <strong> </strong>select <strong>Subtitles</strong>, <strong> </strong>select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence', 'Lightcast Skills Taxonomy', 'Artificial Intelligence Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-E7ED2AACB692,artificial_intelligence,Learning Plan,AI Express: Artificial Intelligence Essentials in Minutes!,About 45 minutes,976 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 20 learners in the past 12 months.,20,"<div dir=""ltr"" lang=""en"" translate=""yes"">Looking to advance your skills in artificial intelligence? Artificial intelligence, or AI, is the science of making machines smart. Thanks to recent breakthroughs in computer science, machines are learning how to solve problems, something we used to think only humans could do. 
<br/>
<br/>
 Select <strong>Enroll</strong> to enroll in this learning plan and get started! 
<br/>
  </div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/PLAN-92373830DEC2,artificial_intelligence,Learning Plan,MCIT Certificate Programs (Artificial Intelligence Fundamentals),Months,16 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Complete the following required courses to earn an industry-recognized IBM SkillsBuild digital credential called <strong>Artificial Intelligence Fundamentals.</strong></p></div>",[]
https://skills.yourlearning.ibm.com/activity/ILB-ZKVJNXVZKMZXEWGN,artificial_intelligence,eLearning,Artificial Intelligence in Practice,40 mins,45269 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 974 learners in the past 12 months.,974,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>What's it all for? From communicating with chatbots, to piloting self-driving cars, to solving complex global problems, AI is solving problems everywhere.<br/> </p><p><strong>Duration:</strong> Complete the activities in this course and earn 40 minutes of learning credit!</p></div>","['Badge Learning', 'Explore Emerging Tech', 'DigN Journey', 'New Collars', 'Initiatives', 'SDI', 'SDI Explore', 'Learning Domain', 'Other - Emerging technologies', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence', 'Lightcast Skills Taxonomy', 'Communications Skill', 'Artificial Intelligence Skill']"
https://skills.yourlearning.ibm.com/activity/URL-7933EB3E71F2,artificial_intelligence,Experiential,Get started with AI development by using the Personality Insights service,30 mins,377 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 11 learners in the past 12 months.,11,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this tutorial, create an app that has AI capabilities by using IBM Watson Personality Insights Service.</p></div>","['Areas of Interest', 'Essential skills > Artificial intelligence (AI)', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence', 'Popular Subjects', 'Artificial intelligence (AI)', 'Lightcast Skills Taxonomy', 'Artificial Intelligence Skill']"
