course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/COMP-GUP-SB-432,customer_service,eLearning,Customer Service 2: Problems solving and process controls,1 hr,,Average rating of 5 stars by 9 learners in the past 12 months.,9,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Customer Service 2: Problems solving and process controls</p></div>","['Lightcast Skills Taxonomy', 'Customer Service Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-F59E99252D81,customer_service,Learning Plan,Customer Engagement: Problem Solving & Process Controls,Hours,983 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 31 learners in the past 12 months.,31,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>This badge earner knows best practices essential to resolving client problems through organization, retrieval, and usage of resources and information essential to customer success operations. The individual understands concepts and methods related to Service Level Agreements (SLAs), application of support ticketing systems, Knowledge-Centered Service (KCS) methodology, and application of effective typing and dictation skills.</p></div>","['Learning Domain', 'Technical skills - Customer Service', 'Lightcast Skills Taxonomy', 'Customer Engagement Skill', 'Operations Skill', 'Problem Solving Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL19007G,customer_service,eLearning,Introduction: Customer Care in the Age of Generative AI,1 hr,2296 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course provides an introduction to Customer Care in the Age of Generative AI and is suitable for anyone interested in learning how the latest technological advances can be used to create exceptional customer experiences. Whether interacting with a brand via phone, website, messaging, or mobile app, customers now expect personalized service and first-contact resolution. This presents both challenges and exciting opportunities to design new exceptional customer experiences.</p>This course introduces Customer Care in the Age of Generative AI.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL70534G,customer_service,eLearning,"Compliance, SLOs, and SLAs",30 mins,13 learners have completed this activity in the past 12 months.,Average rating of 2 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you should learn why compliance monitoring is important within the Financial Services industry and understand how to determine contractual Service Level Agreements (SLAs) based on customer requirements. Additionally, you will review the various IBM Cloud® Support plans.</p>In this course, you should learn why compliance monitoring is important within the Financial Services industry and understand how to determine contractual SLAs based on customer requirements.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ILB-DNDZJXNYQMVGV622,customer_service,eLearning,Electric Vehicles Customer Experience | Jeevitam,1 hr 5 mins,24 learners have completed this activity in the past 12 months.,Average rating of 3 stars by 31 learners in the past 12 months.,31,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course introduces you to the electric vehicle customer experience, its importance, and the available jobs. The massive investment in electric vehicles and electric vehicle infrastructure serves as an opportunity for people to seek better employment. With FAME-2, the number of executives required is increasing. Therefore, companies are particularly keen to employ people in electric vehicle customer service.</p>
<p></p>
<p>The course covers:</p>
<ul>
<li>Electric vehicle trends in India</li>
<li>Types of customers</li>
<li>The benefits and challenges of electric vehicles</li>
<li>The need for an electric vehicle</li>
</ul></div>","['Lightcast Skills Taxonomy', 'Customer Service Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-697F59787A00,customer_service,Learning Plan,Customer Engagement Fundamentals (Earn a digital credential!),About 15 hours,587 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 85 learners in the past 12 months.,85,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>One of the hottest job areas in high demand is in IT customer service and support. Customer engagement specialists (also known as customer support agents or customer service representatives) are primary points of contact for customers. These service professionals ensure customers are satisfied, even delighted, with the experiences and interactions that they have through customer service channels. </p>
<p> </p>
<p>If you’re intrigued by the field of customer engagement, this course is for you. Learn the skills to build relationships with customers, help them solve stressful problems, and win their loyalty. In this course, you’ll discover strategies to build rapport with customers, develop communication skills to troubleshoot issues and guide customers through solutions, use scientific methods to solve problems creatively, and become a productive team member.</p>
<p> </p>
<p>Complete the following required modules to earn an industry-recognized IBM SkillsBuild digital credential called <strong>Customer Engagement Fundamentals</strong>:</p>
<ol>
<li>Practicing Customer-Focused Communication</li>
<li>Cultivating a Service Mindset</li>
<li>Exploring Solution-Driven Behaviors</li>
<li>Developing Productivity Habits</li>
</ol>
<p> </p>
<p><strong>What you’ll learn</strong></p>
<p>After completing <i>Customer Engagement Fundamentals, </i>you should be able to:</p>
<ul>
<li>Explain guidelines to conduct respectful and productive discussions with customers</li>
<li>Describe personality traits that facilitate a service-oriented mindset</li>
<li>Explain troubleshooting and problem-solving methodologies</li>
<li>Describe techniques to adhere to organization process and service standards</li>
</ul>
<p> </p>
<p><strong>Language: </strong>English</p>
<p> </p>
<p>Select <strong>Enroll</strong> to enroll in this learning plan and get started!</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL70225G,customer_service,eLearning,IBM FS Cloud Flash Cards and Study Guide,3 hrs 30 mins,6 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>The IBM Cloud for Financial Services study preparation content consists of a study guide and flash cards that correlate with the online training courses in the IBM Cloud curriculum. These study materials provide the learner with content that will enable them to prepare for the certification examination. Content and practice questions focus on how to make recommendations relating to the customer workload environment, support the framing of technical solutions and assess high-level implementation requirements, compliance reports and Service Level Agreements.</p>The IBM Cloud for Financial Services study preparation content consists of a study guide and flash cards that correlate with the online training courses in the IBM Cloud curriculum. 
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain', 'Technical Skills - Cloud']"
https://skills.yourlearning.ibm.com/activity/MDL-241,customer_service,eLearning,Support a Customer with a Network Issue,1 hr 35 mins,7476 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 102 learners in the past 12 months.,102,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this course, you’ll practice supporting a customer by troubleshooting a network issue in a series of simulations. You’ll get a clear description of the problem, create a theory of probable cause, resolve the issue, and close the support engagement.
<br/>
<br/><strong>What you’ll learn</strong>
<br/>
After completing this course, you should be able to:
<ul>
<li>Demonstrate best practices for communicating with a customer who has a support issue</li>
<li>Review customer information to develop a theory about a customer’s issue</li>
<li>Use the Google Chrome Remote Desktop remote connection tool to view and work on a customer’s computer</li>
<li>Troubleshoot and fix a network connection issue so the customer’s devices will connect</li>
<li>Verify resolution and close the customer’s support request</li>
</ul></div>","['Badge Learning', 'Information Technology Fundamentals', 'Learning Domain', 'Technical skills - Customer Service', 'Technical skills - Information Technology', 'Learning Domain Primary', 'IT support', 'Lightcast Skills Taxonomy', 'Troubleshooting (Problem Solving) Skill', 'Communications Skill']"
https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3822851,customer_service,eLearning,Developing Productivity Habits,3 hrs 10 mins,782 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 38 learners in the past 12 months.,38,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en-us"" translate=""yes""><p>In this module, you’ll learn strategies to increase your productivity. You’ll explore how you can adhere to an organization’s service standards and discover best practices to better manage the tickets assigned to you. Finally, you’ll learn various technical skills that can help you become a more productive customer support agent.</p><p> </p><p><strong>What you’ll learn</strong><br/>After completing this module, you should be able to:</p><ul><li>Describe strategies to improve your productivity </li><li>Explain guidelines to align with the organization’s service standards </li><li>Describe best practices to adhere to the organization’s ticketing standards </li><li>Describe ways to build critical technical skills in customer service </li></ul><p> </p><p><strong>Lessons</strong></p><ol><li>Boost your productivity</li><li>Follow organization standards</li><li>Follow ticketing standards</li><li>Build your technical skills</li></ol></div>","['Badge Learning', 'Customer Engagement Fundamentals', 'Learning Domain Primary', 'IT support']"
https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3822849,customer_service,eLearning,Cultivating a Service Mindset,3 hrs 50 mins,988 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 42 learners in the past 12 months.,42,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en-us"" translate=""yes""><p>In this module, you’ll learn how to be completely “present” for your customers. You’ll find out ways to build resilience in serving them and explore strategies to become more resourceful in finding solutions to the problems of your customers. Finally, you’ll learn how to develop habits to give and receive help more effectively.</p><p> </p><p><strong>What you’ll learn</strong><br/>After completing this module, you should be able to:</p><ul><li>Describe ways to demonstrate attentiveness to a customer</li><li>Explain best practices to remain focused on a customer’s needs</li><li>Identify strategies to build resourcefulness when addressing customer issues</li><li>Describe ways to give and receive help</li></ul><p> </p><p><strong>Lessons</strong></p><ol><li>Demonstrate attentiveness</li><li>Be tenacious</li><li>Be resourceful</li><li>Give and receive help</li></ol></div>","['Badge Learning', 'Customer Engagement Fundamentals', 'Learning Domain Primary', 'IT support']"
