course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/ISG-DL70239G,network_security,eLearning,Overview of Network Strategies for the VPC Network,30 mins,31 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 3 learners in the past 12 months.,3,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course covers the IBM Cloud VPC network infrastructure, including access control lists and security groups. This course will also cover the advantages of VPC interconnectivity and bare metal servers for VPC.</p>This course covers the IBM Cloud VPC network infrastructure, including access control lists and security groups. 
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/ISG-SLA3536,network_security,eLearning,Adding a QNI appliance to the QRadar deployment,6 mins,1 learner has completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this video, we demonstrate how to add an already installed IBM Security QRadar Network Insights appliance into a QRadar deployment and how to deploy the license key, so that it can provide a detailed analysis of network flows to extend the threat detection capabilities of QRadar.In this video, we demonstrate how to add an already installed IBM Security QRadar Network Insights appliance into a QRadar deployment and how to deploy the license key, so that 
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL52807G,network_security,eLearning,Account Security,30 mins,6 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course explains the threats associated with cloud-based solutions and explores how IBM Cloud® security features and other network protocols can be used to mitigate these threats. IBM Cloud infrastructure and services that assist organizations in meeting government and industry regulations are also explained.</p>This course explains the threats associated with cloud-based solutions and explores how IBM Cloud® security features and other network protocols can be used to mitigate these threats. 
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL52924G,network_security,eLearning,IBM Cloud Security Services,30 mins,77 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you will review how to apply security compliance using various IBM Cloud® security services. You will use security services with App ID, certificate manager, data shield, HyTrust, and more. You will also review VMware security compliance solutions and network security solutions. You will apply the case study as you complete a series of knowledge checkpoints and activities throughout the course. </p>In this course, you will review how to apply security compliance using various IBM Cloud® security services. 
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/ISG-DL70238G,network_security,eLearning,Overview of Network Strategies for the Classic Network,54 mins,15 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course reviews the IBM classic network infrastructure, including network connections and security. Additionally, this course covers effective strategies to connect to IBM Cloud using Direct Link. Finally, this course differentiates between the IBM Cloud Gateway Appliance options to add security and network services at the edge of public or private cloud environments. </p>This course reviews the IBM classic network infrastructure, including network connections and security. Additionally, this course covers effective strategies to connect to IBM Cloud using Direct Link.
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/URL-5BC6AF7340E7,network_security,eLearning,IBM Cybersecurity Analyst Professional Certificate,120 hrs,588 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 19 learners in the past 12 months.,19,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">What you'll learn:
<ul>
<li>Develop knowledge of cybersecurity analyst tools including data protection; endpoint protection; SIEM; and systems and network fundamentals.</li>
<li>Learn about key compliance and threat intelligence topics important in today’s cybersecurity landscape.</li>
<li>Gain skills for incident responses and forensics with real-world cybersecurity case studies.</li>
</ul>Get hands-on experience to develop skills via industry specific and open source Security tools.</div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/ISG-DL70307G,network_security,eLearning,Security Considerations for SAP on IBM Cloud,48 mins,52 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course explores the importance of network isolation and includes options for ensuring the safety of SAP workloads on IBM Cloud, including security at the edge and data encryption options.</p>This course explores the importance of network isolation and includes options for ensuring the safety of SAP workloads on IBM Cloud, including security at the edge and data encryption options.
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing', 'Lightcast Skills Taxonomy', 'SAP Applications Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-FD4A6451370B,network_security,Learning Plan,Cybersecurity Basics Learning Track | Equal Access for IBM Federal Ecosystem Partners of All Sizes,Days,58 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 10 learners in the past 12 months.,10,"<div dir=""ltr"" lang=""en"" translate=""yes"">This initial learning offering covers fundamentals for entry-level cyber activities and certification of network security expertise. Activities for the IBM Security Learning Academy introduce partners to more in-depth cybersecurity training and the Zero Trust environment as well as operational and advanced training on some of IBM's most powerful cyber tools. 
<br/>
<br/>
 Select <strong>Start tracking progress</strong> to enroll in this learning plan and get started!</div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'Lightcast Skills Taxonomy', 'Cyber Security Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-SLA4863,network_security,eLearning,Introducing QRadar Flows,30 mins,20 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>IBM Security QRadar flows represent network activity by normalizing IP addresses, ports, byte and packet counts, and other data, into flow records, which are records of network sessions between two hosts. Flows are a differentiating component in QRadar that provide detailed visibility into your network traffic. In this course, you learn the difference between QRadar events and flows. Learn about the packet header and payload: which information is available in the header and packet, and which technologies to use to investigate header and payload information.</p>Learn the difference between QRadar events and flows. Learn which information is available in the header and packet, and which technologies to use to investigate header and payload information.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-SLA7165,network_security,eLearning,Guardium selective and nonselective audit policy,6 mins,9 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this video about IBM Security¬Æ Guardium¬Æ, you learn the difference between selective and nonselective audit policies. In some cases, your data security requirements might focus on only a small set of commands. By setting your policy wisely, you can reduce the load on your network and your Guardium collectors. In this video about IBM Security¬Æ Guardium¬Æ, you learn the difference between selective and nonselective audit policies. In some cases, your data security requirements might focus on
<p>This course requires you register for an IBMid to access.</p></div>",[]
