course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-2F73FCC7ACF0,ways_of_working,eLearning,Fostering collaboration,10 mins,1004 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 39 learners in the past 12 months.,39,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this toolkit, learn about collaboration skills and why they're important in the workplace. Take some action steps to improve your collaboration skills today! 
<br/>
 </div>","['Content Provider', 'IBM', 'Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Popular Subjects', 'Collaboration']"
https://skills.yourlearning.ibm.com/activity/URL-E73F2B2A6004,ways_of_working,eLearning,Learning to lead,10 mins,564 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 47 learners in the past 12 months.,47,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this toolkit, learn about leadership skills and why they're important in the workplace.</p></div>","['Content Provider', 'IBM', 'Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Popular Subjects', 'Leadership', 'Lightcast Skills Taxonomy', 'Leadership Skill']"
https://skills.yourlearning.ibm.com/activity/URL-D13EDA8086A8,ways_of_working,Webpage,Top 6 Attributes of a Leader for the Digital Era,30 mins,179 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 3 learners in the past 12 months.,3,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Learn what great leadership looks like in the digital age.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Popular Subjects', 'Leadership', 'Lightcast Skills Taxonomy', 'Leadership Skill']"
https://skills.yourlearning.ibm.com/activity/URL-14FB67BD6BCC,ways_of_working,Book/Article,4 collaboration skills that bring teams together | Slack,4 mins,924 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 27 learners in the past 12 months.,27,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Learn about tactics to create workplace collaboration skills that foster connection.<br/><br/>
 This article is presented by Slack. It is available in English.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete </strong>for completion credit.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills']"
https://skills.yourlearning.ibm.com/activity/URL-4E0D9B599A7A,ways_of_working,Book/Article,Design for Delight: Essential design thinking resources to support creative problem solving | IBM Developer,10 mins,180 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 12 learners in the past 12 months.,12,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Intuit's design thinking framework is called Design for Delight, or D4D. This methodology might help Call for Code developers create durable, transformative solutions.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Workplace skills - Ways of working']"
https://skills.yourlearning.ibm.com/activity/URL-FFF6E9C2B4FB,ways_of_working,Webpage,IBM Diversity and Inclusion| IBM,20 mins,286 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 10 learners in the past 12 months.,10,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This site provides insight to IBM's culture of inclusion and belonging. IBM leads with their values and beliefs to ensure that every IBM employee can bring their full selves to work.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills']"
https://skills.yourlearning.ibm.com/activity/URL-A670ECBB2D06,ways_of_working,Book/Article,5 Ways to Develop Your Workplace Collaboration Skills | The Robert Half Blog,8 mins,626 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 49 learners in the past 12 months.,49,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Workplace collaboration is multifaceted and includes a range of abilities, such as clear communication, problem solving, empathy and accountability. Collaboration is an important soft skill for any creative professional. Learn about five tips that can help you develop your workplace collaboration skills.<br/><br/>
 This blog is presented by Robert Half. It is available in English.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete </strong>for completion credit.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Lightcast Skills Taxonomy', 'Problem Solving Skill', 'Communications Skill']"
https://skills.yourlearning.ibm.com/activity/URL-SCMHO9RAEEQ,ways_of_working,Video,Quality Education for the World We Want | Global Education First Initiative (GEFI),2 mins,824 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 15 learners in the past 12 months.,15,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">It is vital that every child goes to school, however access alone is not enough. We need to ensure that once children are in school, they also learn. This is why, one of the priorities for the UN Secretary General’s Global Education First Initiative (GEFI) is to improve the quality of learning.
<br/>
<br/>
GEFI is proud to share this video about the importance of quality education, for the world we want.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills']"
https://skills.yourlearning.ibm.com/activity/URL-D5393D332D19,ways_of_working,Webpage,5 Ways to Create Great Content To Grow Your Personal Brand | IBM Careers Blog,2 mins,645 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 62 learners in the past 12 months.,62,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Social media can be overwhelming – what to post, how often to post, and how to stay relevant in a field of influencers. Here are five tips for creating great content to grow your online brand. 
<br/>
<br/>
 This blog is presented by IBM Careers Blog and authored by Bridget King. 
<br/>
<br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit. 
<br/>
<br/><strong>Note</strong>: This activity is available only in English.</div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills']"
https://skills.yourlearning.ibm.com/activity/URL-530E4F1A1636,ways_of_working,Webpage,Important Interpersonal Skills That Employers Value | The Balance Careers,10 mins,1556 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 21 learners in the past 12 months.,21,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>What are interpersonal skills, and why are they important in the workplace? Interpersonal skills, also known as people skills, soft skills, or emotional intelligence, are related to the way you communicate and interact with others. Read this article to learn about interpersonal skills that are valued in teh workplace.<br/><br/>
 This article is presented by The Balance Careers.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.<br/><br/><strong>Note</strong>: This activity is available only in English.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Lightcast Skills Taxonomy', 'Interpersonal Communications Skill']"
