course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3822756,agile,eLearning,A Taste of Agile,3 hrs,669 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 29 learners in the past 12 months.,29,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en-us"" translate=""yes""><p><i>A Taste of Agile</i> is designed to provide a basic awareness of Agile work methods, and how you can use them to change the way you work in academics, on the job, or even in your personal life. The module provides a foundational understanding of the values, principles, practices, and patterns of Agile, and the team dynamics that create success.</p><p> </p><p><i>A Taste of Agile</i> is appropriate for everyone: students, workforce-facing team members, executives, managers, and practitioners.</p><p> </p><p><strong>What you’ll learn</strong></p><p>After completing this module, you should be able to:</p><ul><li>Explain the importance of Agile</li><li>Identify the five Agile values</li><li>Describe the three Agile principles</li><li>Describe the seven core Agile practices</li><li>Identify the three Agile patterns</li><li>Apply Agile values, principles, and practices in your family, school, or other work</li></ul><p> </p><p><strong>Lessons</strong></p><ol><li>Introduction to Agile</li><li>Core principles of Agile</li><li>Practicing Agile</li><li>Implementing Agile</li><li>Debunking Agile myths</li><li>Trends in Agile</li></ol></div>","['Badge Learning', 'Agile Explorer', 'Learning Domain', 'Workplace skills - Workforce readiness']"
https://skills.yourlearning.ibm.com/activity/URL-VFQTSQCHLSK,agile,eLearning,Agile Scrum Full Course In 4 Hours | Agile Scrum Master Training | Agile Training Video |Simplilearn,3 hrs 24 mins,374 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 19 learners in the past 12 months.,19,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this video course, you'll learn everything you need to know about Agile and Scrum. The topics include:
<ul>
<li>What is Agile?</li>
<li>What is Scrum? </li>
<li>Agile Scrum Master</li>
<li>Agile Project Management</li>
<li>Agile User Stories</li>
<li>What is Scaled Agile Framework?</li>
<li>Agile vs Waterfall</li>
<li>Scrum vs Agile</li>
<li>Scrum vs Kanban</li>
<li>How to Become a Certified Scrum Master</li>
</ul>After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.
<br/>
<br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, select <strong>Subtitles</strong>, select <strong>English</strong>, and then select <strong>Auto-Translate </strong>to enable subtitles in a language of your choice from the drop-down.</div>","['Lightcast Skills Taxonomy', 'Scrum (Software Development) Skill', 'Agile Methodology Skill']"
https://skills.yourlearning.ibm.com/activity/URL-THSFSPNUHRA,agile,Video,Agile Project Management Tutorial | What Is Agile Project Management? | Simplilearn,9 mins 18 s,916 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 29 learners in the past 12 months.,29,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">This video on Agile Project Management will help you understand the basics of agile project management and why are more and more industries are opting for it. The video explains the principles of Agile methodology and the steps involved in implementing agile ways of project management. We will also learn about different frameworks that make Agile Project Management possible. Towards the end, we will also have a look at some prominent companies that have started using Agile Project Management. 
<br/>
<br/>
This video is presented by Simplilearn. 
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit. 
<br/>
<br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, <strong> </strong>select <strong>Subtitles</strong>, <strong> </strong>select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</div>","['Learning Domain', 'Technical skills - IT Project Management', 'Lightcast Skills Taxonomy', 'Project Management Skill', 'Agile Methodology Skill']"
https://skills.yourlearning.ibm.com/activity/URL-WJWEH15M5RW,agile,Video,"What is Agile? | Agile Methodology | Agile Frameworks - Scrum, Kanban, Lean, XP, Crystal | Edureka",35 mins,257 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 10 learners in the past 12 months.,10,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This video discusses, ""What is Agile"" and the various Agile frameworks that implement the Agile methodology. This video covers:<br/>
 1. Why do we need Agile?<br/>
 2. What is Agile?<br/>
 3. Key terms of Agile<br/>
 4. Advantages of Agile<br/>
 5. How to implement Agile?<br/>
 6. Various Agile Frameworks<br/><br/>
 This video is presented by Edureka.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.<br/><br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, <strong> </strong>select <strong>Subtitles</strong>, <strong> </strong>select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Lightcast Skills Taxonomy', 'Agile Methodology Skill', 'Scrum (Software Development) Skill']"
https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3822771,agile,eLearning,Agile Program Fundamentals,2 hrs 10 mins,516 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 15 learners in the past 12 months.,15,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en-us"" translate=""yes""><p><i>Agile Program Fundamentals</i> is designed to help project teams develop the foundational skills to plan, structure, and deliver on programs and projects incrementally and iteratively. This module builds on the foundational awareness from <i>A Taste of Agile</i> and <i>Agile Operations Fundamentals</i>. You will learn the project pattern and receive guidance on recommended practices, tools, and techniques that align to the core Agile values and principles.</p><p> </p><p><i>Agile Program Fundamentals</i> is appropriate for everyone: students, workforce-facing team members, executives, managers, and practitioners.</p><p> </p><p><strong>What you’ll learn</strong></p><p>After completing this module, you should be able to:</p><ul><li>Define the term “programs” in a business context</li><li>Describe the programs pattern</li><li>Identify the four phases of the programs pattern</li><li>Describe the application of core practices to program work</li><li>Apply the Agile method to the programs and projects work you do, whether that be family, school, job, or other types of work</li></ul><p> </p><p><strong>Lessons</strong></p><ol><li>Adding Agile into the programs pattern</li><li>Event phase</li><li>Discovery phase</li><li>Program funnel phase</li><li>Delivery phase</li></ol></div>","['Badge Learning', 'Agile Explorer', 'Learning Domain', 'Workplace skills - Workforce readiness']"
https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3822770,agile,eLearning,Agile Operations Fundamentals,2 hrs 5 mins,563 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 15 learners in the past 12 months.,15,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en-us"" translate=""yes""><p><i>Agile Operations Fundamentals</i> is designed to help operational teams develop the foundational skills to plan, structure, deliver, monitor, and improve on operational activities and processes. These skills can be used in school, on the job, and in your personal life. This module builds on the foundational awareness from <i>A Taste of Agile</i>, through an operations pattern that provides guidance on recommended practices, tools, and techniques that align to the core Agile values and principles.</p><p> </p><p><i>Agile Operations Fundamentals</i> is appropriate for everyone: students, workforce-facing team members, executives, managers, and practitioners.</p><p> </p><p><strong>What you’ll learn</strong></p><p>After completing this module, you should be able to:</p><ul><li>Define the term “operations” in a business context</li><li>Describe the operations pattern</li><li>Describe the application of core practices to operations</li><li>Identify the key Agile team roles and responsibilities for operations</li><li>Describe the Kanban method</li><li>Apply the Agile method to the operations work you do, which has repeatable processes, whether that be family, school, job, or other types of work</li></ul><p> </p><p><strong>Lessons</strong></p><ol><li>Introduction to operations</li><li>Understanding the operations pattern</li><li>Adding Agile into the operations pattern</li><li>Agile operations team</li><li>Kanban</li></ol></div>","['Badge Learning', 'Agile Explorer', 'Learning Domain', 'Workplace skills - Workforce readiness']"
https://skills.yourlearning.ibm.com/activity/URL-FFFCAEC965B5,agile,eLearning,Adoptez une culture agile | OpenClassrooms,4 hrs,28 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Peu importe votre activité professionnelle, votre entreprise aurait beaucoup à gagner à s'adapter aux défis du monde moderne. Adopter une <strong>culture agile</strong> est essentiel pour pouvoir faire face aux changements tout en continuant à innover. Ce cours vous fournit tous les outils nécessaires pour faciliter ce changement d'état d'esprit. Si vous envisagez de mettre en place des approches agiles au sein de votre équipe, il faut tout d'abord adopter le bon état d'esprit.
<br/>
<br/>
Ce MOOC est proposé par OpenClassrooms.
<br/>
 
<br/>
Après avoir suivi cette activité, revenez sur cette page et sélectionnez "" <strong>Marquer terminé</strong>"" afin de prendre en compte ce parcours.
<br/>
<br/>
Note : cette activité est uniquement disponible en français.</div>",[]
https://skills.yourlearning.ibm.com/activity/URL-DI6AXYHHVDE,agile,Video,How the agile methodology really works | IDG TECHtalk,4 mins 31 s,350 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 21 learners in the past 12 months.,21,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Everyone seems to be talking about agile software development, but many don't have a firm grasp on how the process works. Watch this 5-minute video to get up to speed fast.<br/><br/>
 This video is presented by IDG TECHtalk.<br/><br/>
 After you complete this activity, return to this page to select<strong> Mark complete </strong>for completion credit.<br/><br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, select <strong>Subtitles</strong>, select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</p></div>","['Lightcast Skills Taxonomy', 'Agile Methodology Skill']"
https://skills.yourlearning.ibm.com/activity/URL-GZZKPAOXHXS,agile,eLearning,Software Development Methodology: What is Agile? | Codecademy,9 mins 21 s,632 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 15 learners in the past 12 months.,15,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">How do you turn an idea for a coding project into reality? The Agile software development method is one popular approach. In this video, we explain what Agile software development is and what differentiates it from other methods. Then, we walk through some use cases in which Agile really shines.
<br/>
<br/>
This video is presented by Codecademy.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Lightcast Skills Taxonomy', 'Software Development Skill', 'Agile Methodology Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-716FDF294AB3,agile,Learning Plan,Agile Explorer (New design; earn a digital credential!),About 7 hours,447 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 25 learners in the past 12 months.,25,"<div dir=""ltr"" lang=""en"" translate=""yes""><p><strong>Note: </strong>This newly designed experience is available in <strong>English</strong>.</p>
<p> </p>
<p>A version of this course is available in<strong> Spanish, Brazilian Portuguese, Hindi, Japanese, French, Traditional Chinese </strong>is found<strong> </strong><a href=""https://skills.yourlearning.ibm.com/activity/PLAN-F8CBF9ECCA49"" rel=""noopener noreferrer nofollow"" target=""_blank""><strong>here</strong></a><strong>:</strong></p>
<p> </p>
<p><strong>Description</strong></p>
<p>If there was a better way to work and you could have fun doing it, would you try that method? Agile is a set of values, principles, and practices that helps change the culture and behaviors of the way people work. Instead of using linear and inflexible methods, Agile allows teams to be more innovative, respond to changes, learn from mistakes, and continuously improve their processes. After completing this course, you’ll be able to initiate Agile conversations with team members and colleagues and apply the Agile method to the operations and programs work you do in family, academic, or work settings.</p>
<p> </p>
<p>Complete the following required modules to earn an industry-recognized IBM SkillsBuild digital credential called <strong>Agile Explorer</strong>: </p>
<ol>
<li><i>A Taste of Agile</i></li>
<li><i>Agile Operations Fundamentals</i></li>
<li><i>Agile Program Fundamentals</i></li>
</ol>
<p> </p>
<p><strong>What you’ll learn</strong></p>
<p>After completing <i>Agile Explorer</i>, you should be able to:<i> </i></p>
<ul>
<li>Explain the importance of Agile</li>
<li>Apply Agile values, principles, and practices in your family, school, or other work</li>
<li>Apply the Agile method to operations work</li>
<li>Apply the Agile method to program and project</li>
</ul>
<p> </p>
<p><strong>Audience: </strong><i>Agile Explorer</i> is a foundational course and is for anyone interested in how agile methods and practices can improve the way they work in teams and projects.<br/>
   </p>
<p>The knowledge and skills in these modules build on each other, so SkillsBuild recommends that you complete the modules in the order in which they are presented. </p>
<p> </p>
<p>Select <strong>Enroll</strong> to enroll in this learning plan and get started!</p></div>","['Areas of Interest', 'Essential skills > Agile methodology', 'Badge Learning', 'Agile Explorer', 'Learning Domain', 'Workplace skills - Ways of working']"
