course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/ILB-XVZEKQPPXYNN188J,cloud_computing,eLearning,What is cloud computing?,45 mins,36381 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 2606 learners in the past 12 months.,"2,606","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Cloud computing involves much more than off-site servers! Learn different ways that data can be stored and managed with the newest cloud technology.</p>
<p></p>
<p><strong>Duration:</strong> Complete the activities in this course and earn 45 minutes of learning credit!</p></div>","['Badge Learning', 'Explore Emerging Tech', 'Learning Domain', 'Other - Emerging technologies', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/ILB-MKRZNDPPDGYW19ZV,cloud_computing,eLearning,How is cloud computing used?,25 mins,31898 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1419 learners in the past 12 months.,"1,419","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Cloud offers important benefits for corporations and their customers. Learn practical applications for cloud, and get great tips on a getting started in a cloud career.</p>
<p></p>
<p><strong>Duration:</strong> Complete the activities in this course and earn 25 minutes of learning credit!</p></div>","['Badge Learning', 'Explore Emerging Tech', 'Learning Domain', 'Other - Emerging technologies', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:IBMDEVELOPERSKILLSNETWORK+CC0103EN+V3,cloud_computing,eLearning,IBM Cloud Essentials V3,8 hrs,185 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Get hands-on experience with IBM Cloud, Cloud Foundry, and best practices for agile and test-driven development.</p></div>","['Learning Domain', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing', 'Lightcast Skills Taxonomy', 'Agile Methodology Skill']"
https://skills.yourlearning.ibm.com/activity/URL-2B15AA3C96BD,cloud_computing,Classroom,Cloud Computing Masterclass,2 hrs,168 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 5 learners in the past 12 months.,5,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this masterclass you will learn about:</p>
<ul>
<li>Introduction to Cloud Computing</li>
<li>Cloud Computing Services Model and deployments</li>
<li>Hands-on on Cloud</li>
</ul>
<p>You can continue learning about Cloud Computing and Journey to cloud with<strong> free courses and getting digital credentials through IBM Skills Build, Collegue Students section</strong>: <a href=""https://skillsbuild.org/es/college-students/digital-credentials"" rel=""noopener noreferrer nofollow"" target=""_blank"">https://skillsbuild.org/es/college-students/digital-credentials</a></p>
<ul>
<li><strong>Cloud Computing Fundamentals:</strong> <a href=""https://www.ibm.com/academic/topic/cloud?ach_id=a97d681b-ef48-4d70-b3e8-9fd87894e3a1"" rel=""noopener noreferrer nofollow"" target=""_blank"">https://www.ibm.com/academic/topic/cloud?ach_id=a97d681b-ef48-4d70-b3e8-9fd87894e3a1</a></li>
<li>
<p><strong>Journey to Cloud,</strong> training courses.</p>
<p> </p></li>
</ul></div>","['Initiatives', 'Academia', 'Learning Domain', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/MDL-301,cloud_computing,eLearning,Introduction to Cloud Computing,1 hr 15 mins,6049 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 237 learners in the past 12 months.,237,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this course, you’ll learn how computers communicate and how that communication enables the cloud technologies you use every day. You’ll explore the components that cloud computing utilizes and how they work together to benefit users and businesses alike. Finally, you’ll discover some new scenarios that advancements in the cloud will offer in the future.
<br/>
<br/><strong>What you’ll learn</strong>
<br/>
<br/>
After completing this course, you should be able to: 
<ul>
<li>Describe how local servers and the internet enable computers to share information</li>
<li>Define cloud computing and describe its characteristics</li>
<li>Identify the problems that cloud computing solves</li>
<li>Explain how technology advances impact the cloud</li>
</ul></div>","['Badge Learning', 'Cloud Computing Fundamentals', 'Learning Domain', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/URL-8C9A23B1B972,cloud_computing,Webpage,Mobile cloud computing,10 mins,330 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 32 learners in the past 12 months.,32,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Learn more about mobile cloud computing and how mobile apps are delivered remotely over the Internet. 
<br/>
<br/><strong>Note:</strong> This activity is currently available only in English.</div>","['Learning Domain', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/URL-143BC2C2EA08,cloud_computing,Video,An overview of cloud computing | IBM SkillsBuild,4 mins,170 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 5 learners in the past 12 months.,5,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>View this brief video to gain understanding of cloud computing and its provision of shared services to users.</p></div>","['Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/MDL-460,cloud_computing,eLearning,Improving Healthcare: The Role of Cloud Computing,2 hrs 30 mins,16 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 6 learners in the past 12 months.,6,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course is intended to assist medical, nursing, pharmacy, public health, dental, health informatics, computation science, biomedical engineering, and allied health professionals or any individuals working in and around healthcare to understand the role of cloud computing in healthcare and how it can help address real-world healthcare challenges.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-EE43C66BF0C4,cloud_computing,eLearning,Cloud Computing - Introducción y Fundamentos,1 hr 8 mins,14 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 3 learners in the past 12 months.,3,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Curso de Cloud Computing - Introducción y Fundamentos. Introducción a la computación en la nube. </p></div>","['Learning Domain', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/ISG-DL52804G,cloud_computing,eLearning,Business Case Study for Cloud Computing,30 mins,40 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course explores how one IBM® client used IBM Cloud® to transform and modernize their organization.</p>This course explores how one IBM® client used IBM Cloud® to transform and modernize their organization.
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/URL-EDD75AC0F392,cloud_computing,Document,Learn about a career in cloud computing,5 mins,520 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 24 learners in the past 12 months.,24,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Cloud computing technologies and services are everywhere. What industries focus most on cloud computing, what technical skills might be in demand, and what the interesting jobs are in this field? Answers to these questions, plus a few more facts, are included in the following infographic.
<br/>
<br/>
Also available in <a href=""https://ibm.box.com/s/0e1fn4syschlr5u68nborju1w7gp1ajp"" rel=""noopener noreferrer nofollow"" target=""_blank"">Spanish</a>, <a href=""https://ibm.box.com/s/hqqgo9bete0l6ljltzpuwacx35agovcy"" rel=""noopener noreferrer nofollow"" target=""_blank"">French</a>, and <a href=""https://ibm.box.com/s/fcs0mkv0v73ngo947s8il5fnsbrl7ay4"" rel=""noopener noreferrer nofollow"" target=""_blank"">Brazilian Portuguese</a>.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/ISG-DL52800G,cloud_computing,eLearning,"Cloud Computing Characteristics, History, and Trends",30 mins,12 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course reviews the history, key characteristics, and fundamental concepts of cloud computing.</p>This course reviews the history, key characteristics, and fundamental concepts of cloud computing.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/PLAN-90A0E7C7B94D,cloud_computing,Learning Plan,Cloud Express: Cloud Computing Essentials in Minutes!,About 35 minutes,40 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<div dir=""ltr"" lang=""en"" translate=""yes"">Are you ready for the future ahead? These quick activities will introduce you to how cloud computing has revolutionized the way businesses and individuals consume and manage computing resources, enabling greater efficiency, agility, and innovation. 
<br/>
<br/>
 Select <strong>Enroll</strong> to enroll in this learning plan and get started!</div>","['Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/URL-M988_FSOSWO,cloud_computing,Video,Cloud Computing In 6 Minutes | What Is Cloud Computing? | Cloud Computing Explained | Simplilearn,6 mins 24 s,502 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 128 learners in the past 12 months.,128,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Cloud computing is a popular practice involving the internet to store and manage data on the Internet. In this video, you will learn about the basic concepts of cloud computing such as what makes it unique, its different models, and more.<br/><br/>
 This video is presented by Simplilearn.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete </strong>for completion credit.<br/><br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, select <strong>Subtitles</strong>, select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</p></div>","['Learning Domain', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
https://skills.yourlearning.ibm.com/activity/MDL-307,cloud_computing,eLearning,Your Future in Cloud Computing: The Job Landscape,1 hr,3425 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 61 learners in the past 12 months.,61,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this course, you’ll learn about the cloud computing job market, the skills that cloud engineers need to be successful, and how cloud engineers interact with other job roles on a team. You’ll also discover resources and learning opportunities so you can explore more.
<br/>
<br/><strong>What you’ll learn</strong>
<br/>
After completing this course, you should be able to: 
<ul>
<li>Identify industries in which cloud computing professionals work</li>
<li>Recognize the global demand for cloud computing professionals in the job market</li>
<li>Recognize the future of the cloud computing field</li>
<li>Identify common roles in the cloud computing field</li>
<li>Explain the primary responsibilities of different job roles</li>
<li>Identify the skills that cloud computing professionals need</li>
<li>Identify the resources to learn more and stay up to date in the field of cloud computing</li>
</ul></div>","['Badge Learning', 'Cloud Computing Fundamentals', 'Learning Domain', 'Workplace skills - Workforce readiness', 'Technical Skills - Cloud', 'Learning Domain Primary', 'Cloud computing']"
