,course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
0,https://skills.yourlearning.ibm.com/activity/ILB-GYEGYEEDYPMJ6N5X,Cybersecurity,eLearning,What is cybersecurity?,1 hr,41750 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 1410 learners in the past 12 months.,"1,410","About this learning activityYou already know ways to protect your devices from hackers. Now learn more about the threats and tactics used by cyberattackers, and dig into concepts like encryption and cryptography.

Duration: Complete the activities in this course and earn 60 minutes of learning credit!
","['Badge Learning', 'Explore Emerging Tech', 'Learning Domain', 'Other - Emerging technologies', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'TryB4', 'All TryB4', 'Lightcast Skills Taxonomy', 'Cyber Security Skill']"
1,https://skills.yourlearning.ibm.com/activity/PLAN-4FB8400F05FC,Cybersecurity,Learning Plan,Cybersecurity Fundamentals (New design; earn a credential!),About 7 hours,5886 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 248 learners in the past 12 months.,248,"Note: This newly designed experience is available in English, French, German, Japanese, Portuguese (Brazil), Spanish.   A version of this course is available in these languages here: Arabic, 簡體中文, Čeština, Nederlands, Français, Deutsch, हिन्दी, Italiano, 日本, polski, Türkçe, українська 
    Description 
  This course will provide you with an introduction to cybersecurity. From the offense perspective, you will learn about cyberattackers, their tactics, social engineering, and high-profile case studies. From the defense perspective, you will learn about common approaches organizations take to prevent, detect, and respond to cyberattacks. You will also learn about career opportunities in this exciting, growing field. Finally, you’ll explore how new developments and emerging technologies, such as artificial intelligence (AI), impact cybersecurity. 
    
  Complete the following required courses to earn an industry-recognized IBM SkillsBuild digital credential called Cybersecurity Fundamentals: 

Introduction to Cybersecurity
Cybersecurity: On the Offense
Cybersecurity: On the Defense
Your Future in Cybersecurity: The Job Landscape

  
  After completing Cybersecurity Fundamentals, you should be able to:

Describe cybersecurity, the CIA triad, and key elements of cybersecurity
Identify threat actor groups and common types of cyberattacks
Describe cyberattack tactics and techniques, including social engineering
Recognize the financial impacts of cybercrime
Describe methods organizations take to prevent, detect, and respond to cyberattacks
Recognize the cybersecurity job market, responsibilities, and skill sets of cybersecurity professionals, and resources and learning opportunities to explore 


  The knowledge and skills in these courses build on each other, so SkillsBuild recommends that you complete the courses in the order in which they are presented. Language: English 
  Select Enroll to enroll in this learning plan and get started! ","['Areas of Interest', 'Essential skills > Security', 'Badge Learning', 'Cybersecurity Fundamentals new', '000 All digital credentials', 'Badge Learning - Academia', '000 All digital credentials - Academia', 'Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
2,https://skills.yourlearning.ibm.com/activity/PLAN-FA511CDFAF48,Cybersecurity,Learning Plan,Cybersecurity Fundamentals (Earn a credential!),About 7 hours,8499 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 347 learners in the past 12 months.,347,"Note: There is an updated version of this course in the following languages: English, French, German, Japanese, Portuguese (Brazil), Spanish. Click here to take it.
 
This course will provide you with an introduction to cybersecurity. From the offense perspective, you will learn about cyber attackers, their tactics, social engineering, and high-profile case studies. From the defense perspective, you will learn about common approaches organizations take to prevent, detect, and respond to cyberattacks. You will also learn about career opportunities in this exciting, growing field.  
    
  Complete the following modules to earn an industry-recognized IBM SkillsBuild digital credential called Cybersecurity Fundamentals:   

Introduction
Overview of Cybersecurity
Cybersecurity: On the Offense
Cybersecurity: On the Defense
A Career in Cybersecurity
What’s New in Cybersecurity
Show What You Know 


    What you’ll learn  
  After completing Cybersecurity Fundamentals, you should be able to: 

Describe cybersecurity, the CIA triad, and key elements of cybersecurity
Identify threat actor groups and common types of cyber attacks
Describe cyber attack tactics and techniques, including social engineering
Recognize the financial impacts of cyber crime
Describe methods organizations take to prevent, detect, and respond to cyber attacks
Recognize the cybersecurity job market, responsibilities, and skill sets of cybersecurity professionals, and resources and learning opportunities to explore 

Languages: English, Arabic, Chinese (traditional), Czech, Dutch, French, German, Hindi, Italian, Japanese, Polish, Portuguese (Brazil), Spanish, Turkish, Ukrainian 
    
  Select Enroll to enroll in this learning plan and get started!  ","['Badge Learning', '000 All digital credentials', 'Cybersecurity Fundamentals', 'Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
3,https://skills.yourlearning.ibm.com/activity/PLAN-A273AA80C96E,Cybersecurity,Learning Plan,Cyber Investigator: An Interactive Cybersecurity Experience,About 90 minutes,3635 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 203 learners in the past 12 months.,203,"Join a team of cybersecurity investigators as they respond to a series of different cyber attacks. Travel through three different industries to help them conduct interviews, stop the attacks, solve puzzles, and restore things to normal.
 ","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
4,https://skills.yourlearning.ibm.com/activity/MDL-276,Cybersecurity,eLearning,Network Scanning with Zenmap,50 mins,2202 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 225 learners in the past 12 months.,225,"About this learning activityDo you want to work in cybersecurity or just know more about the field? If so, you should get to know the tools that cybersecurity professionals use, including network scanners like Nmap and Zenmap.
In this course, you’ll explore network scanning and practice doing it yourself using Zenmap in a simulation.What you’ll learn
After completing this course, you should be able to: 

Describe network scanning
Explain how port scanning works and why investigators use it
Discuss vulnerability scanning and various techniques for performing it
Describe Nmap and Zenmap
Install Nmap
Perform quick and intense network scans using Zenmap
Describe the types of data that display on the Zenmap dashboard
","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
5,https://skills.yourlearning.ibm.com/activity/MDL-277,Cybersecurity,eLearning,Protecting a Device with Malwarebytes,55 mins,12876 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 542 learners in the past 12 months.,542,"About this learning activityDo you want to work in cybersecurity? Or do you just want to learn more about security threats and how to protect your devices against them? Either way, you should familiarize yourself with standard cyberdefense tools such as antimalware software and virtual private networks (VPNs). One of the most well-known providers of these tools is Malwarebytes.
In this course, first you’ll explore common threats to devices and networks. Next, you’ll practice using Malwarebytes cyberdefense tools in a simulation. Learning objectives
After completing this course, you should be able to: 

Describe malware, including its various types
Explain what antimalware software is and how it works
Describe social engineering, phishing, cookies, and eavesdropping
Explain how virtual private networks (VPNs) work and why people use them
Perform antimalware scans and delete malicious files using Malwarebytes
Detect and remove adware and spyware using AdwCleaner
Conceal a device’s online data using Privacy VPN
Block online security threats using Browser Guard
","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
6,https://skills.yourlearning.ibm.com/activity/PLAN-EB2D3DA31CF9,Cybersecurity,Learning Plan,Explore Emerging Tech (Earn a badge!),Hours,22127 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 1099 learners in the past 12 months.,"1,099","Curious about tech, but not sure where to focus? You've come to the right place. In this learning plan, you'll get an intro to six emerging technologies that power today's jobs. You'll learn a little about each—like foundational concepts, terminology, and how it's used—and then you can decide where you want to go deeper. 

Badge opportunity: Complete all the courses in this learning plan and earn the Explore Emerging Tech badge. 

   

Audience: Anyone who wants to learn about the role of technology in today's careers
Duration: 7 hours, 10 minutes
Level: Beginner
Languages: English, German, French, Spanish, Portuguese (Brazil), Polish, Turkish, Korean, Traditional Chinese, Italian, Arabic, Hindi, and Japanese


 Click Enroll to enroll in this learning plan and get started!","['Badge Learning', '000 All digital credentials', 'Explore Emerging Tech', 'DigN Journey', 'Explorers', 'Learning Domain', 'Other - Emerging technologies', 'Other - Blockchain', 'Technical skills - Artificial Intelligence', 'Technical skills - Data', 'Technical skills - Cybersecurity', 'Technical Skills - Cloud', 'Technical skills - Information Technology']"
7,https://skills.yourlearning.ibm.com/activity/URL-B666DDD920C4,Cybersecurity,eLearning,Cybersecurity Professional,5 mins,392 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 30 learners in the past 12 months.,30,"About this learning activityBecome an expert in Cybersecurity with this hands on training! 

 Suitable for beginners","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
8,https://skills.yourlearning.ibm.com/activity/PLAN-8C633FABD60A,Cybersecurity,Learning Plan,Cybersecurity Express: Cybersecurity Essentials in Minutes!,About 30 minutes,1059 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 16 learners in the past 12 months.,16,"Did you know that every 39 seconds a cyber attack occurs? Cybersecurity protects an organization’s systems and networks from digital attackers. This quick cybersecurity primer highlights the fundamentals of cybersecurity and underscores the importance of effectively managing risks posed by cyberattacks. 


 Select Enroll to enroll in this learning plan and get started!","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
9,https://skills.yourlearning.ibm.com/activity/URL-AFACAD846AF5,Cybersecurity,Video,Why cybersecurity? | IBM SkillsBuild,3 mins,1621 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 18 learners in the past 12 months.,18,About this learning activityWatch a  brief video illustrating the ramifications of cyberattacks and emphasizing the significance of cybersecurity.,"['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
