course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/ILB-GYEGYEEDYPMJ6N5X,cybersecurity,eLearning,What is cybersecurity?,1 hr,40854 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1429 learners in the past 12 months.,"1,429","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>You already know ways to protect your devices from hackers. Now learn more about the threats and tactics used by cyberattackers, and dig into concepts like encryption and cryptography.</p>
<p></p>
<p><strong>Duration:</strong> Complete the activities in this course and earn 60 minutes of learning credit!</p>
<p></p></div>","['Badge Learning', 'Explore Emerging Tech', 'Learning Domain', 'Other - Emerging technologies', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'TryB4', 'All TryB4', 'Lightcast Skills Taxonomy', 'Cyber Security Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-4FB8400F05FC,cybersecurity,Learning Plan,Cybersecurity Fundamentals (New design; earn a credential!),About 7 hours,6944 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 267 learners in the past 12 months.,267,"<div dir=""ltr"" lang=""en"" translate=""yes""><p><strong>Note: </strong>This newly designed experience is available in <strong>English, Arabic, French, German, Japanese, Portuguese (Brazil), Spanish</strong>. <br/><strong> </strong> <br/><strong>A version of this course is available in these languages </strong><a href=""https://skills.yourlearning.ibm.com/activity/PLAN-FA511CDFAF48"" rel=""noopener noreferrer nofollow"" target=""_blank""><strong>here</strong></a><strong>:</strong> 簡體中文, Čeština, Nederlands, Deutsch, हिन्दी, Italiano, polski, Türkçe, українська <br/>
   <br/><strong>Description</strong> <br/>
 This course will provide you with an introduction to cybersecurity. From the offense perspective, you will learn about cyberattackers, their tactics, social engineering, and high-profile case studies. From the defense perspective, you will learn about common approaches organizations take to prevent, detect, and respond to cyberattacks. You will also learn about career opportunities in this exciting, growing field. Finally, you’ll explore how new developments and emerging technologies, such as artificial intelligence (AI), impact cybersecurity. <br/>
   <br/>
 Complete the following required courses to earn an industry-recognized IBM SkillsBuild digital credential called <strong>Cybersecurity Fundamentals</strong>:<strong> </strong></p>
<ol>
<li><i>Introduction to Cybersecurity</i></li>
<li><i>Cybersecurity: On the Offense</i></li>
<li><i>Cybersecurity: On the Defense</i></li>
<li><i>Your Future in Cybersecurity: The Job Landscape</i></li>
</ol>
<p>  <br/>
 After completing <i>Cybersecurity Fundamentals</i>, you should be able to:</p>
<ul>
<li>Describe cybersecurity, the CIA triad, and key elements of cybersecurity</li>
<li>Identify threat actor groups and common types of cyberattacks</li>
<li>Describe cyberattack tactics and techniques, including social engineering</li>
<li>Recognize the financial impacts of cybercrime</li>
<li>Describe methods organizations take to prevent, detect, and respond to cyberattacks</li>
<li>Recognize the cybersecurity job market, responsibilities, and skill sets of cybersecurity professionals, and resources and learning opportunities to explore </li>
</ul>
<p><br/>
 The knowledge and skills in these courses build on each other, so SkillsBuild recommends that you complete the courses in the order in which they are presented. <br/><br/><strong>Language:</strong> English, Arabic, French, German, Japanese, Portuguese (Brazil), Spanish<br/><br/>
 Select <strong>Enroll</strong> to enroll in this learning plan and get started! </p></div>","['Areas of Interest', 'Essential skills > Security', 'Badge Learning', 'Cybersecurity Fundamentals new', '000 All digital credentials', 'Badge Learning - Academia', '000 All digital credentials - Academia', 'Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-FA511CDFAF48,cybersecurity,Learning Plan,Cybersecurity Fundamentals (Earn a credential!),About 7 hours,7978 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 368 learners in the past 12 months.,368,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Note: There is an updated version of this course in the following languages: <strong>English, French, German, Japanese, Portuguese (Brazil), Spanish. </strong><a href=""https://skills.yourlearning.ibm.com/activity/PLAN-4FB8400F05FC"" rel=""noopener noreferrer nofollow"" target=""_blank"">Click here</a> to take it.</p>
<p> </p>
<p>This course will provide you with an introduction to cybersecurity. From the offense perspective, you will learn about cyber attackers, their tactics, social engineering, and high-profile case studies. From the defense perspective, you will learn about common approaches organizations take to prevent, detect, and respond to cyberattacks. You will also learn about career opportunities in this exciting, growing field.  <br/>
    <br/>
  Complete the following modules to earn an industry-recognized IBM SkillsBuild digital credential called <strong>Cybersecurity Fundamentals</strong>:   </p>
<ul>
<li>Introduction</li>
<li>Overview of Cybersecurity</li>
<li>Cybersecurity: On the Offense</li>
<li>Cybersecurity: On the Defense</li>
<li>A Career in Cybersecurity</li>
<li>What’s New in Cybersecurity</li>
<li>Show What You Know </li>
</ul>
<p><br/>
    <br/><strong>What you’ll learn</strong>  <br/>
  After completing <i>Cybersecurity Fundamentals</i>, you should be able to: </p>
<ul>
<li>Describe cybersecurity, the CIA triad, and key elements of cybersecurity</li>
<li>Identify threat actor groups and common types of cyber attacks</li>
<li>Describe cyber attack tactics and techniques, including social engineering</li>
<li>Recognize the financial impacts of cyber crime</li>
<li>Describe methods organizations take to prevent, detect, and respond to cyber attacks</li>
<li>Recognize the cybersecurity job market, responsibilities, and skill sets of cybersecurity professionals, and resources and learning opportunities to explore </li>
</ul>
<p><br/><strong>Languages:</strong> English, Arabic, Chinese (traditional), Czech, Dutch, French, German, Hindi, Italian, Japanese, Polish, Portuguese (Brazil), Spanish, Turkish, Ukrainian <br/>
    <br/>
  Select <strong>Enroll</strong> to enroll in this learning plan and get started!  </p></div>","['Badge Learning', '000 All digital credentials', 'Cybersecurity Fundamentals', 'Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-A273AA80C96E,cybersecurity,Learning Plan,Cyber Investigator: An Interactive Cybersecurity Experience,About 90 minutes,3648 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 203 learners in the past 12 months.,203,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Join a team of cybersecurity investigators as they respond to a series of different cyber attacks. Travel through three different industries to help them conduct interviews, stop the attacks, solve puzzles, and restore things to normal.</p>
<p> </p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/MDL-276,cybersecurity,eLearning,Network Scanning with Zenmap,50 mins,2138 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 226 learners in the past 12 months.,226,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Do you want to work in cybersecurity or just know more about the field? If so, you should get to know the tools that cybersecurity professionals use, including network scanners like Nmap and Zenmap.<br/><br/>
In this course, you’ll explore network scanning and practice doing it yourself using Zenmap in a simulation.<br/><br/><strong>What you’ll learn</strong><br/>
After completing this course, you should be able to: 
<ul>
<li>Describe network scanning</li>
<li>Explain how port scanning works and why investigators use it</li>
<li>Discuss vulnerability scanning and various techniques for performing it</li>
<li>Describe Nmap and Zenmap</li>
<li>Install Nmap</li>
<li>Perform quick and intense network scans using Zenmap</li>
<li>Describe the types of data that display on the Zenmap dashboard</li>
</ul></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/MDL-277,cybersecurity,eLearning,Protecting a Device with Malwarebytes,55 mins,11652 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 545 learners in the past 12 months.,545,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Do you want to work in cybersecurity? Or do you just want to learn more about security threats and how to protect your devices against them? Either way, you should familiarize yourself with standard cyberdefense tools such as antimalware software and virtual private networks (VPNs). One of the most well-known providers of these tools is Malwarebytes.<br/><br/>
In this course, first you’ll explore common threats to devices and networks. Next, you’ll practice using Malwarebytes cyberdefense tools in a simulation. <br/><br/><strong>Learning objectives</strong><br/>
After completing this course, you should be able to: 
<ul>
<li>Describe malware, including its various types</li>
<li>Explain what antimalware software is and how it works</li>
<li>Describe social engineering, phishing, cookies, and eavesdropping</li>
<li>Explain how virtual private networks (VPNs) work and why people use them</li>
<li>Perform antimalware scans and delete malicious files using Malwarebytes</li>
<li>Detect and remove adware and spyware using AdwCleaner</li>
<li>Conceal a device’s online data using Privacy VPN</li>
<li>Block online security threats using Browser Guard</li>
</ul></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-EB2D3DA31CF9,cybersecurity,Learning Plan,Explore Emerging Tech (Earn a badge!),Hours,21563 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1105 learners in the past 12 months.,"1,105","<div dir=""ltr"" lang=""en"" translate=""yes"">Curious about tech, but not sure where to focus? You've come to the right place. In this learning plan, you'll get an intro to six emerging technologies that power today's jobs. You'll learn a little about each—like foundational concepts, terminology, and how it's used—and then you can decide where you want to go deeper. 
<br/>
<br/><strong>Badge opportunity:</strong> Complete all the courses in this learning plan and earn the <strong>Explore Emerging Tech </strong>badge. 
<br/>
   
<ul>
<li><strong>Audience: </strong>Anyone who wants to learn about the role of technology in today's careers</li>
<li><strong>Duration:</strong> 7 hours, 10 minutes</li>
<li><strong>Level:</strong> Beginner</li>
<li><strong>Languages: </strong>English, German, French, Spanish, Portuguese (Brazil), Polish, Turkish, Korean, Traditional Chinese, Italian, Arabic, Hindi, and Japanese</li>
</ul>
<br/>
 Click <strong>Enroll</strong> to enroll in this learning plan and get started!</div>","['Badge Learning', '000 All digital credentials', 'Explore Emerging Tech', 'DigN Journey', 'Explorers', 'Learning Domain', 'Other - Emerging technologies', 'Other - Blockchain', 'Technical skills - Artificial Intelligence', 'Technical skills - Data', 'Technical skills - Cybersecurity', 'Technical Skills - Cloud', 'Technical skills - Information Technology']"
https://skills.yourlearning.ibm.com/activity/URL-B666DDD920C4,cybersecurity,eLearning,Cybersecurity Professional,5 mins,371 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 30 learners in the past 12 months.,30,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Become an expert in Cybersecurity with this hands on training! 
<br/>
 Suitable for beginners</div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-8C633FABD60A,cybersecurity,Learning Plan,Cybersecurity Express: Cybersecurity Essentials in Minutes!,About 30 minutes,1065 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 16 learners in the past 12 months.,16,"<div dir=""ltr"" lang=""en"" translate=""yes"">Did you know that every 39 seconds a cyber attack occurs? Cybersecurity protects an organization’s systems and networks from digital attackers. This quick cybersecurity primer highlights the fundamentals of cybersecurity and underscores the importance of effectively managing risks posed by cyberattacks. 
<br/>
<br/>
 Select <strong>Enroll</strong> to enroll in this learning plan and get started!</div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/URL-AFACAD846AF5,cybersecurity,Video,Why cybersecurity? | IBM SkillsBuild,3 mins,1887 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 22 learners in the past 12 months.,22,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Watch a  brief video illustrating the ramifications of cyberattacks and emphasizing the significance of cybersecurity.</p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
