course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/ILB-DNRPWDGQGMMY7GGD,cybersecurity,eLearning,Cybersecurity Fundamentals,6 hrs,39777 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1266 learners in the past 12 months.,"1,266","About this learning activityNote: There is an updated version of this course available inEnglish, Arabic, French, German, Japanese, Portuguese (Brazil), Spanish.Clickhereto take it.Learn how to create a credly account to claim your digital credentialhereThis course will provide you with an introduction to cybersecurity. From the offense perspective, you will learn about cyber attackers, their tactics, social engineering, and high profile case studies. From the defense perspective, you will learn about common approaches organizations take to prevent, detect, and respond to cyber attacks. You will also learn about career opportunities in this exciting, growing field.Complete this course to earn theCybersecurity Fundamentals badge!Expected duration: This course will take you about 6 hours.Languages: English, Arabic, Brazilian Portuguese, Czech, Dutch, French, German, Hindi, Italian, Japanese, Polish, Spanish, Traditional Chinese, Turkish and Ukrainian","['Badge Learning', '000 All digital credentials', 'Cybersecurity Fundamentals', 'Fundamentals', 'All Fundamentals', 'Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'Lightcast Skills Taxonomy', 'Cyber Security Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-4FB8400F05FC,cybersecurity,Learning Plan,Cybersecurity Fundamentals (New design; earn a credential!),About 7 hours,6811 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 265 learners in the past 12 months.,265,"Note:This newly designed experience is available inEnglish, Arabic, French, German, Japanese, Portuguese (Brazil), Spanish.A version of this course is available in these languageshere:簡體中文, Čeština, Nederlands, Deutsch, हिन्दी, Italiano, polski, Türkçe, українськаDescriptionThis course will provide you with an introduction to cybersecurity. From the offense perspective, you will learn about cyberattackers, their tactics, social engineering, and high-profile case studies. From the defense perspective, you will learn about common approaches organizations take to prevent, detect, and respond to cyberattacks. You will also learn about career opportunities in this exciting, growing field. Finally, you’ll explore how new developments and emerging technologies, such as artificial intelligence (AI), impact cybersecurity.Complete the following required courses to earn an industry-recognized IBM SkillsBuild digital credential calledCybersecurity Fundamentals:Introduction to CybersecurityCybersecurity: On the OffenseCybersecurity: On the DefenseYour Future in Cybersecurity: The Job LandscapeAfter completingCybersecurity Fundamentals, you should be able to:Describe cybersecurity, the CIA triad, and key elements of cybersecurityIdentify threat actor groups and common types of cyberattacksDescribe cyberattack tactics and techniques, including social engineeringRecognize the financial impacts of cybercrimeDescribe methods organizations take to prevent, detect, and respond to cyberattacksRecognize the cybersecurity job market, responsibilities, and skill sets of cybersecurity professionals, and resources and learning opportunities to exploreThe knowledge and skills in these courses build on each other, so SkillsBuild recommends that you complete the courses in the order in which they are presented.Language:English, Arabic, French, German, Japanese, Portuguese (Brazil), SpanishSelectEnrollto enroll in this learning plan and get started!","['Areas of Interest', 'Essential skills > Security', 'Badge Learning', 'Cybersecurity Fundamentals new', '000 All digital credentials', 'Badge Learning - Academia', '000 All digital credentials - Academia', 'Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-FA511CDFAF48,cybersecurity,Learning Plan,Cybersecurity Fundamentals (Earn a credential!),About 7 hours,8086 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 365 learners in the past 12 months.,365,"Note: There is an updated version of this course in the following languages:English, French, German, Japanese, Portuguese (Brazil), Spanish.Click hereto take it.This course will provide you with an introduction to cybersecurity. From the offense perspective, you will learn about cyber attackers, their tactics, social engineering, and high-profile case studies. From the defense perspective, you will learn about common approaches organizations take to prevent, detect, and respond to cyberattacks. You will also learn about career opportunities in this exciting, growing field.Complete the following modules to earn an industry-recognized IBM SkillsBuild digital credential calledCybersecurity Fundamentals:IntroductionOverview of CybersecurityCybersecurity: On the OffenseCybersecurity: On the DefenseA Career in CybersecurityWhat’s New in CybersecurityShow What You KnowWhat you’ll learnAfter completingCybersecurity Fundamentals, you should be able to:Describe cybersecurity, the CIA triad, and key elements of cybersecurityIdentify threat actor groups and common types of cyber attacksDescribe cyber attack tactics and techniques, including social engineeringRecognize the financial impacts of cyber crimeDescribe methods organizations take to prevent, detect, and respond to cyber attacksRecognize the cybersecurity job market, responsibilities, and skill sets of cybersecurity professionals, and resources and learning opportunities to exploreLanguages:English, Arabic, Chinese (traditional), Czech, Dutch, French, German, Hindi, Italian, Japanese, Polish, Portuguese (Brazil), Spanish, Turkish, UkrainianSelectEnrollto enroll in this learning plan and get started!","['Badge Learning', '000 All digital credentials', 'Cybersecurity Fundamentals', 'Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-8C633FABD60A,cybersecurity,Learning Plan,Cybersecurity Express: Cybersecurity Essentials in Minutes!,About 30 minutes,1064 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 16 learners in the past 12 months.,16,Did you know that every 39 seconds a cyber attack occurs? Cybersecurity protects an organization’s systems and networks from digital attackers. This quick cybersecurity primer highlights the fundamentals of cybersecurity and underscores the importance of effectively managing risks posed by cyberattacks.SelectEnrollto enroll in this learning plan and get started!,"['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/URL-5BC6AF7340E7,cybersecurity,eLearning,IBM Cybersecurity Analyst Professional Certificate,120 hrs,596 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 18 learners in the past 12 months.,18,About this learning activityWhat you'll learn:Develop knowledge of cybersecurity analyst tools including data protection; endpoint protection; SIEM; and systems and network fundamentals.Learn about key compliance and threat intelligence topics important in today’s cybersecurity landscape.Gain skills for incident responses and forensics with real-world cybersecurity case studies.Get hands-on experience to develop skills via industry specific and open source Security tools.,"['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-FD4A6451370B,cybersecurity,Learning Plan,Cybersecurity Basics Learning Track | Equal Access for IBM Federal Ecosystem Partners of All Sizes,Days,55 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 10 learners in the past 12 months.,10,This initial learning offering covers fundamentals for entry-level cyber activities and certification of network security expertise. Activities for the IBM Security Learning Academy introduce partners to more in-depth cybersecurity training and the Zero Trust environment as well as operational and advanced training on some of IBM's most powerful cyber tools.SelectStart tracking progressto enroll in this learning plan and get started!,"['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'Lightcast Skills Taxonomy', 'Cyber Security Skill']"
https://skills.yourlearning.ibm.com/activity/URL-2VSNN7UIXN8,cybersecurity,Video,What is Ethical Hacking? | Ethical Hacking for Beginners | Ethical Hacking Course | Edureka,16 mins,1587 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 24 learners in the past 12 months.,24,"About this learning activityThis video will give you an introduction to the fundamentals of ethical hacking. The topics include:What is ethical hacking?Types of hackersTypes of hackingPhases of ethical hackingReconnaissanceFootprintingFingerprintingThis video is presented by Edureka.After you complete this activity, return to this page to selectMark completefor completion credit.Note: On the video toolbar, go toSettings,selectSubtitles,selectEnglish, and then selectAuto-Translateto enable subtitles in a language of your choice from the drop-down.","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/PLAN-8BA559FB451B,cybersecurity,Learning Plan,Fortinet Certified Fundamentals (FCF),About 10 hours,1929 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 68 learners in the past 12 months.,68,"The Fortinet Certified Fundamentals (FCF) certificationvalidates that you have mastered the technical knowledge and skills that are required for any entry-level job role in cybersecurity. This curriculum will offer courses that cover today’s threat landscape and the fundamentals of cybersecurity.To achieve a Fortinet Certified Fundamentals (FCF) certification in cybersecurity, professionalsmust completethe online core course andone of the twoelective online courses.1. Core course:Introduction to the Threat Landscape2. Elective course:The selection depends on your job role:  You can select from one of the following:Getting Started in Cybersecurityis ideal for individuals in non-technical job positions that require a high-level understanding of the most important technical fundamentals of cybersecurity. Examples include security product sales people and company CEOs.Technical Introduction to Cybersecurityis ideal for individuals in technical roles that require a more in-depth understanding of the fundamentals of cybersecurity. This course is also ideal for people who are pursuing a technical role in cybersecurity.Earn your digital credentialsYou will receive digital badges credentials under the following circumstances:Exam badge: Each time you pass any version of the exam included in FCF - Cybersecurity.Certification badge: Once you achieve the requirements for the FCF - Cybersecurity.","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity']"
https://skills.yourlearning.ibm.com/activity/URL-72EDBD9D1B31,cybersecurity,Video,Cyber Security Fundamentals | IBM Security Learning Academy,2 hrs 15 mins,1093 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 60 learners in the past 12 months.,60,"About this learning activityThis is series of short learning activities presented by the IBM Security Learning Academy.In each video, you'll learn from a cyber security experts about current principles, topics and threats, and how IBM products are being used to solve complex security problems.All courses are free of charge and you will complete them in the IBM Security Learning Academy.Click theEnroll mebutton.Then, you will be prompted to log in. For first time users, your User ID must be the email address linked to your IBMid. If you don't have an IBMid, you will create one.When the course page displays, you will find the listing of all courses.You will get completion credit in the IBM Security Learning Academy.Have fun exploring!> When you complete all courses, be sure to return to page to selectMark Completefor completion credit on IBM SkillsBuild.","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'Lightcast Skills Taxonomy', 'Cyber Security Skill']"
https://skills.yourlearning.ibm.com/activity/MDL-238,cybersecurity,eLearning,Security Basics,1 hr 15 mins,8238 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 127 learners in the past 12 months.,127,"About this learning activityIn this course, you’ll learn about threats to computer security and ways to keep computer systems and users safe. You will discover the differences between threats, such as hacking, malware, and viruses, and vulnerabilities, such as bugs and buffer overflows. You will explore key security measures to protect computer hardware, software, and networks.What you’ll learnAfter completing this course, you should be able to:Recognize common ways to make hardware secureCompare and contrast authentication and authorizationExplain common threats on computer securityIdentify ways information technology (IT) professionals protect users and systems","['Badge Learning', 'Information Technology Fundamentals', 'Learning Domain', 'Technical skills - Cybersecurity', 'Technical skills - Information Technology', 'Learning Domain Primary', 'Cybersecurity', 'Lightcast Skills Taxonomy', 'Computer Hardware Skill', 'Information Technology Skill', 'Vulnerability Skill']"
