course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-12D0B88BBD10,data_analysis,eLearning,Data analysis | Khan Academy,1 hr,1680 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 155 learners in the past 12 months.,155,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This is the<strong> Data analysis </strong>unit from an online, self-paced review course for Computer Science Principles. The unit introduces data analysis and the world of big data. Learn about storing data sets in files, spreadsheets, and databases, computing statistics like average and maximum, finding patterns like trends and correlations. Learn how big data can be used to improve algorithms like translation, image recognition, and recommendations.<br/><br/>
 You will find short instructional content offerings, videos, and sample quiz questions to practice what you've learned and ""level up"" on your skills.<br/><br/><strong>Note</strong>: It is designed to prepare for a U.S. college examination, however the computer science content is valuable more broadly.<br/><br/>
 The topics include:</p>
<ul>
<li>Data tools</li>
<li>Big data</li>
<li>Bias in machine learning</li>
</ul>
<p><br/>
 The content is offered in English.<br/><br/>
 This learning activity is presented by Khan Academy.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</p></div>","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Spreadsheets Skill', 'Computer Science Skill', 'Data Analysis Skill', 'Algorithms Skill', 'Machine Learning Skill']"
https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3822994,data_analysis,eLearning,"Digital Data Gathering, Analysis, and Presentation",30 mins,1437 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 45 learners in the past 12 months.,45,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en-us"" translate=""yes""><p>In this module, you’ll learn about the principles of digital data gathering, the process of data analysis, and effective data presentation. This completes the journey from data collection to decision making.</p><p> </p><p><strong>What you’ll learn</strong></p><p>After completing this course, you should be able to:</p><ul><li>Define the data gathering process and methods</li><li>Describe the data analysis process</li><li>Identify the key methods of effective data presentation</li></ul><p> </p><p><strong>Lessons</strong></p><ol><li>What is data gathering?</li><li>What is data analysis?</li><li>What is data presentation?</li></ol></div>","['Badge Learning', 'Digital Literacy', 'Learning Domain', 'Workplace skills - Workforce readiness']"
https://skills.yourlearning.ibm.com/activity/PLAN-AF8044952007,data_analysis,Learning Plan,Data Analysis ou Analyse de Données,Days,47 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<div dir=""ltr"" lang=""en"" translate=""yes"">La Data Analysis, ou analyse de données, est de plus en plus utilisée dans les entreprises de tous les secteurs d'activité. Découvrez tout ce que vous devez savoir à ce sujet. 
<br/>
 Grâce aux technologies du numérique, les entreprises ont désormais accès à de vastes volumes de données<strong> (Big Data) . </strong>Comprendre et analyser ces informations est un précieux atout. 
<br/>
 La Data Analysis, ou analyse de données en français, est un processus consistant à nettoyer, transformer, et modéliser des données. L’objectif ? <strong>Extraire des informations exploitables</strong> pour prendre de meilleures décisions au sein d’une entreprise. 
<br/>
 Il s’agit en réalité de <strong>se baser sur le passé et le présent</strong> afin de prendre les bonnes décisions pour le futur. Ceci peut se révéler très utile pour la croissance d’une entreprise, pour développer de nouveaux produits ou pour trouver des solutions aux problèmes.</div>",[]
https://skills.yourlearning.ibm.com/activity/URL-2BB5ACC358F2,data_analysis,eLearning,Data Analysis with Python - Coursera,14 hrs,1867 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 26 learners in the past 12 months.,26,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Data Analysis with Python on Coursera pour Social Builder</p></div>","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Data Analysis Skill', 'Python (Programming Language) Skill']"
https://skills.yourlearning.ibm.com/activity/URL-P-BKQFKHQR8,data_analysis,Video,Top 10 Data Analytics Tools 2020 | Best Tools for Data Analysis | Data Analytics Training | Edureka,13 mins,7811 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 89 learners in the past 12 months.,89,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Get a basic understanding of some of the top tools used for data analysis.</p>
<ol>
<li>R and Python</li>
<li>Microsoft Excel</li>
<li>Tableau</li>
<li>RapidMiner</li>
<li>KNIME</li>
<li>Power BI</li>
<li>Apache Spark</li>
<li>QlikView</li>
<li>Talend</li>
<li>Splunk</li>
</ol>This video is presented by Edureka.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.
<br/>
<br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, select <strong>Subtitles</strong>, select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</div>","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Microsoft Excel Skill', 'R (Programming Language) Skill', 'Tableau (Business Intelligence Software) Skill', 'Splunk Skill', 'Apache Spark Skill', 'Data Analysis Skill', 'Python (Programming Language) Skill']"
https://skills.yourlearning.ibm.com/activity/URL-1E1158D2904C,data_analysis,Video,Steps in data processing | IBM SkillsBuild,3 mins,1231 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 40 learners in the past 12 months.,40,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This short video outlines steps on how to gather data for analysis.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-177B9DBEECCD,data_analysis,Guidance,IBM SkillsBuild: Main Career Pathways,30 mins,233 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 12 learners in the past 12 months.,12,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this replay, Usame Samim, a content manager for IBM SkillsBuild, offers an overview of the cybersecurity, data analysis, and web development learning pathways available to learners.</p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Learning Domain Primary', 'Cybersecurity', 'Lightcast Skills Taxonomy', 'Data Analysis Skill', 'Cyber Security Skill']"
https://skills.yourlearning.ibm.com/activity/URL-06A93DC900EB,data_analysis,eLearning,Principles of Data Literacy,6 hrs,1184 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 30 learners in the past 12 months.,30,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">This no-code course introduces the foundational how’s and why’s of data. How do statistics help us make conclusions from data? Why is good design critical for communicating data stories through data viz? What are the different kinds of analysis we can perform on a dataset? This course will help you feel empowered to answer these questions (and more!) and work with data with confidence.
<br/>
<br/>
This course is presented by Codecademy. You will need to register for a free account.</div>","['Learning Domain', 'Technical skills - Data']"
https://skills.yourlearning.ibm.com/activity/MDL-508,data_analysis,eLearning,How is technology used in tennis?,15 mins,,Average rating of 4 stars by 3 learners in the past 12 months.,3,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Emerging technologies are revolutionizing the way people play and experience the game of tennis. From the introduction of AI to the analysis of data, these technologies provide a richer experience for fans. In this micro learning activity, you will be introduced to the various emerging technologies that are used in professional tennis. You will explore the technology behind new innovations like electronic line calling, player and match analytics and insights, and enhanced broadcasting and highlights.</p></div>","['Initiatives', 'AI2026']"
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:BDU+ML0109EN+V1,data_analysis,eLearning,Machine Learning - Dimensionality Reduction,15 hrs,14 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Welcome to this machine learning course on Dimensionality Reduction. Dimensionality Reduction is a category of unsupervised machine learning techniques used to reduce the number of features in a dataset. Dimension reduction can also be used to group similar variables together. In this course, you will learn the theory behind dimension reduction, and get some hands-on practice using Principal Components Analysis (PCA) and Exploratory Factor Analysis (EFA) on survey data. The code used in this course is prepared for you in R.</p></div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Lightcast Skills Taxonomy', 'R (Programming Language) Skill', 'Machine Learning Skill']"
