,course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
0,https://skills.yourlearning.ibm.com/activity/PLAN-BC0FAEE8E439,data_science,Learning Plan,Data Fundamentals (Earn a credential!),About 7 hours,38277 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 1062 learners in the past 12 months.,"1,062","Do you love to discover meaning in facts and numbers? Learn the concepts and methods of data science and how its discoveries change the world. Then get hands-on practice cleaning, refining, and visualizing data, in a series of simulations, using IBM Watson Studio with the data refinery tool. Finish by gathering tips and resources that can help you launch a great career in data science. 
   
 Complete the following required courses to earn an industry-recognized IBM SkillsBuild digital credential called Data Fundamentals:

Introduction to Data Concepts
Data Science in Our World
Overview of Data Tools and Languages
Clean, Refine, and Visualize Data with IBM Watson Studio
Your Future in Data: The Job Landscape

  What you’ll learn 
 After completing Data Fundamentals, you should be able to:

Describe fundamental data concepts including types of data, big data, analytics techniques, typical steps in the data analytics process, and data visualization
Identify widely adopted data science methodologies and explain the activities in a typical data science project
Identify applications of data science across industries in the world
Describe the role of a data analyst, data scientist, and data engineer
Identify the purpose and use of some common data analysis and visualization tools
Clean, refine, and visualize data using IBM Watson Studio with the data refinery tool
Recognize the job market, responsibilities and skill sets of a data analyst and data scientist, and resources and learning opportunities to explore

  
 The knowledge and skills in these courses build on each other, so SkillsBuild recommends that you complete the courses in the order in which they are presented. Language: English, Arabic, French 
   
 Select Enroll to enroll in this learning plan and get started!","['Badge Learning', '000 All digital credentials', 'Data Fundamentals', 'Badge Learning - Academia', '000 All digital credentials - Academia', 'Fundamentals', 'All Fundamentals', 'Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Data Analysis Skill', 'Data Science Skill']"
1,https://skills.yourlearning.ibm.com/activity/PLAN-EB2D3DA31CF9,data_science,Learning Plan,Explore Emerging Tech (Earn a badge!),Hours,22104 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 1100 learners in the past 12 months.,"1,100","Curious about tech, but not sure where to focus? You've come to the right place. In this learning plan, you'll get an intro to six emerging technologies that power today's jobs. You'll learn a little about each—like foundational concepts, terminology, and how it's used—and then you can decide where you want to go deeper. 

Badge opportunity: Complete all the courses in this learning plan and earn the Explore Emerging Tech badge. 

   

Audience: Anyone who wants to learn about the role of technology in today's careers
Duration: 7 hours, 10 minutes
Level: Beginner
Languages: English, German, French, Spanish, Portuguese (Brazil), Polish, Turkish, Korean, Traditional Chinese, Italian, Arabic, Hindi, and Japanese


 Click Enroll to enroll in this learning plan and get started!","['Badge Learning', '000 All digital credentials', 'Explore Emerging Tech', 'DigN Journey', 'Explorers', 'Learning Domain', 'Other - Emerging technologies', 'Other - Blockchain', 'Technical skills - Artificial Intelligence', 'Technical skills - Data', 'Technical skills - Cybersecurity', 'Technical Skills - Cloud', 'Technical skills - Information Technology']"
2,https://skills.yourlearning.ibm.com/activity/ILB-VQNVGKNRKDYX44W6,data_science,eLearning,What is data science?,30 mins,44663 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 1963 learners in the past 12 months.,"1,963","About this learning activityLearn why data science is like hunting for treasure! You'll get a closer look at the work and why you might choose it as your own career.

Duration: Complete the activities in this course and earn 30 minutes of learning credit!
","['Badge Learning', 'Explore Emerging Tech', 'Learning Domain', 'Other - Emerging technologies', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Data Science Skill']"
3,https://skills.yourlearning.ibm.com/activity/PLAN-92E2B150F301,data_science,Learning Plan,Big Data Foundations,Hours,2105 learners have completed this activity in the past 12 months. ,Average rating of 4 stars by 224 learners in the past 12 months.,224,"Welcome to the Big Data Foundations learning plan! 

It is designed move you from an initial understanding of Big Data terms and concepts to working with tool sets to dig into the data itself and start identifying the patterns and trends that would otherwise go unnoticed.
It will introduce you to tools like Apache Hadoop and Apache Spark frameworks, which enable the analysis of large sets of data.

Courses: 3
Badges: 4
Language: English


Come along and start your learning plan of three courses to receive a series of IBM-issued badges  that culminate in earning the Big Data Foundations - Level 2 badge.

  

Select Start tracking progress to enroll in this learning plan and get started!
Start with the Get the details! resource to discover if this program is right for you and to learn all about the courses and badges.
Complete the courses in order.
Follow the steps to claim the Big Data Foundations - Level 2 badge.
","['Badge Learning', '000 All digital credentials', 'Big Data Foundations', 'Learning Domain', 'Technical skills - Data', 'Lightcast Skills Taxonomy', 'Apache Hadoop Skill', 'Apache Spark Skill']"
4,https://skills.yourlearning.ibm.com/activity/PLAN-B6CBEFCA2BFD,data_science,Learning Plan,Applied Data Science with Python,Days,2674 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 235 learners in the past 12 months.,235,"Welcome to the Applied Data Science with Python learning plan! 

You will learn how to code in Python for data science, then analyze and visualize data with Python with packages like scikit-learn, matplotlib, and bokeh.
There are guided lectures and labs, to provide you with hands-on experience tackling interesting data problems.
This is an action-packed learning plan for data science enthusiasts who want to work with real world problems using Python.

Courses: 3
Badges: 4
Language: English


Come along and start your learning plan of three courses to receive a series of IBM-issued badges  that culminate in earning the Applied Data Science with Python - Level 2 badge.

  

Select Start tracking progress to enroll in this learning plan and get started!
Start with the Get the details! resource to discover if this program is right for you and to learn all about the courses and badges.
Complete the courses in order.
Follow the steps to claim the Applied Data Science with Python - Level 2 badge.

","['Badge Learning', 'Applied Data Science with Python', '000 All digital credentials', 'Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Python (Programming Language) Skill', 'Data Science Skill']"
5,https://skills.yourlearning.ibm.com/activity/URL-EDZ_JYPOM8U,data_science,Video,Introduction to Data Science | 365 Data Science,30 mins,4229 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 65 learners in the past 12 months.,65,"About this learning activityThis video will begin by clarifying the similarities and differences between the terms: Business Analytics, Data Analytics, Data Science, Business Intelligence, and Machine Learning. 


Then, we’ll focus on helping you digest the definitions you need to know in an effective way. 


By the end, you will be more than capable of being able to relate and apply varies expressions and buzzwords to the areas of data science they belong to! We hope this video helps you broaden your perspective. We’re also positive it will make the jumble of disciplines a little clearer and will assist you in choosing the best career path to enter the data science field! 


This video is presented by 365 Data Science. 


After you complete this activity, return to this page to select Mark complete for completion credit. 

Note: This activity is available only in English.","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Business Intelligence Skill', 'Machine Learning Skill', 'Data Analysis Skill', 'Data Science Skill']"
6,https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:COGNITIVECLASS+DS0103EN+V3,data_science,eLearning,Data Science Methodology,3 hrs,230 learners have completed this activity in the past 12 months. ,0.0,0,"About this learning activityGrab your lab coat, beakers, and pocket calculator ... wait what? Wrong path! Fast forward and get in line with emerging data science methodologies that are in use and are making waves or rather predicting and determining which wave is coming and which one has just passed.","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Data Science Skill']"
7,https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:COGNITIVECLASS+DS0105EN+V3,data_science,eLearning,Data Science Tools,4 hrs,399 learners have completed this activity in the past 12 months. ,0.0,0,"About this learning activityLearn about the most popular data science tools, including how to use them and what their features are.","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Data Science Skill']"
8,https://skills.yourlearning.ibm.com/activity/URL-585304083735,data_science,Webpage,IBM Data Science Community,30 mins,1065 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 17 learners in the past 12 months.,17,"About this learning activityInterested in how to pursue a data science career at IBM and learning and certification? Participate in discussions and share resources with other members of the data science community. 

Note: This activity is currently available only in English.","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Data Science Skill']"
9,https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:BIGDATAUNIVERSITY+DS0101EN+V1,data_science,eLearning,Data Science 101,3 hrs,771 learners have completed this activity in the past 12 months. ,Average rating of 4.5 stars by 772 learners in the past 12 months.,772,"About this learning activityThe art of uncovering the insights and trends in data has been around since ancient times. The ancient Egyptians used census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do, this field is data science. In this course, we will meet some data science practitioners and we will get an overview of what data science is today.Note on grading - please read:Review questions are worth 50% of the mark, and the final exam is worth 50%. The course passing grade is 70%.Review Questions:Have no time limit. This should encourage participants to go back to material previously explained to find the correct answer.Multiple choice questions have two chances while True/False questions only have one chance.Review questions are marked per question. As soon as you answer a particular question, when the “Final check” button appears, it means you will have no more chances after clicking that button, and your answer will be immediately marked and cannot be changed (ever). You will be able to see your grade progress at any time using the “Progress” tab.Final Exam:Has a 1-hour time limitLike Review Questions, as you click on “Final check” per question, you will be marked.","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Data Science Skill']"
