course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/PLAN-BC0FAEE8E439,data_visualisation,Learning Plan,Data Fundamentals (Earn a credential!),About 7 hours,38317 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1077 learners in the past 12 months.,"1,077","<div dir=""ltr"" lang=""en"" translate=""yes""><p>Do you love to discover meaning in facts and numbers? Learn the concepts and methods of data science and how its discoveries change the world. Then get hands-on practice cleaning, refining, and visualizing data, in a series of simulations, using IBM Watson Studio with the data refinery tool. Finish by gathering tips and resources that can help you launch a great career in data science. <br/>
   <br/>
 Complete the following required courses to earn an industry-recognized IBM SkillsBuild digital credential called <strong>Data Fundamentals</strong>:</p>
<ol>
<li>Introduction to Data Concepts</li>
<li>Data Science in Our World</li>
<li>Overview of Data Tools and Languages</li>
<li>Clean, Refine, and Visualize Data with IBM Watson Studio</li>
<li>Your Future in Data: The Job Landscape</li>
</ol>
<p>  <br/><strong>What you’ll learn</strong> <br/>
 After completing <i>Data</i> <i>Fundamentals</i>, you should be able to:</p>
<ul>
<li>Describe fundamental data concepts including types of data, big data, analytics techniques, typical steps in the data analytics process, and data visualization</li>
<li>Identify widely adopted data science methodologies and explain the activities in a typical data science project</li>
<li>Identify applications of data science across industries in the world</li>
<li>Describe the role of a data analyst, data scientist, and data engineer</li>
<li>Identify the purpose and use of some common data analysis and visualization tools</li>
<li>Clean, refine, and visualize data using IBM Watson Studio with the data refinery tool</li>
<li>Recognize the job market, responsibilities and skill sets of a data analyst and data scientist, and resources and learning opportunities to explore</li>
</ul>
<p>  <br/>
 The knowledge and skills in these courses build on each other, so SkillsBuild recommends that you complete the courses in the order in which they are presented. <br/><br/><strong>Language:</strong> English, Arabic, French <br/>
   <br/>
 Select <strong>Enroll</strong> to enroll in this learning plan and get started!</p></div>","['Badge Learning', '000 All digital credentials', 'Data Fundamentals', 'Badge Learning - Academia', '000 All digital credentials - Academia', 'Fundamentals', 'All Fundamentals', 'Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Data Analysis Skill', 'Data Science Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-EB2D3DA31CF9,data_visualisation,Learning Plan,Explore Emerging Tech (Earn a badge!),Hours,21561 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1106 learners in the past 12 months.,"1,106","<div dir=""ltr"" lang=""en"" translate=""yes"">Curious about tech, but not sure where to focus? You've come to the right place. In this learning plan, you'll get an intro to six emerging technologies that power today's jobs. You'll learn a little about each—like foundational concepts, terminology, and how it's used—and then you can decide where you want to go deeper. 
<br/>
<br/><strong>Badge opportunity:</strong> Complete all the courses in this learning plan and earn the <strong>Explore Emerging Tech </strong>badge. 
<br/>
   
<ul>
<li><strong>Audience: </strong>Anyone who wants to learn about the role of technology in today's careers</li>
<li><strong>Duration:</strong> 7 hours, 10 minutes</li>
<li><strong>Level:</strong> Beginner</li>
<li><strong>Languages: </strong>English, German, French, Spanish, Portuguese (Brazil), Polish, Turkish, Korean, Traditional Chinese, Italian, Arabic, Hindi, and Japanese</li>
</ul>
<br/>
 Click <strong>Enroll</strong> to enroll in this learning plan and get started!</div>","['Badge Learning', '000 All digital credentials', 'Explore Emerging Tech', 'DigN Journey', 'Explorers', 'Learning Domain', 'Other - Emerging technologies', 'Other - Blockchain', 'Technical skills - Artificial Intelligence', 'Technical skills - Data', 'Technical skills - Cybersecurity', 'Technical Skills - Cloud', 'Technical skills - Information Technology']"
https://skills.yourlearning.ibm.com/activity/ILB-VQNVGKNRKDYX44W6,data_visualisation,eLearning,What is data science?,30 mins,43908 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 2366 learners in the past 12 months.,"2,366","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Learn why data science is like hunting for treasure! You'll get a closer look at the work and why you might choose it as your own career.</p>
<p></p>
<p><strong>Duration:</strong> Complete the activities in this course and earn 30 minutes of learning credit!</p>
<p></p></div>","['Badge Learning', 'Explore Emerging Tech', 'Learning Domain', 'Other - Emerging technologies', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Data Science Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-92E2B150F301,data_visualisation,Learning Plan,Big Data Foundations,Hours,1946 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 227 learners in the past 12 months.,227,"<div dir=""ltr"" lang=""en"" translate=""yes"">Welcome to the <strong>Big Data Foundations learning plan</strong>! 
<ul>
<li>It is designed move you from an initial understanding of Big Data terms and concepts to working with tool sets to dig into the data itself and start identifying the patterns and trends that would otherwise go unnoticed.</li>
<li>It will introduce you to tools like Apache Hadoop and Apache Spark frameworks, which enable the analysis of large sets of data.</li>
</ul>
<br/><strong>Courses</strong>: 3
<br/><strong>Badges</strong>: 4
<br/><strong>Language</strong>: English
<br/>
<br/>
Come along and start your learning plan of <strong>three courses</strong> to receive a series of <strong>IBM-issued badges</strong> <strong> </strong>that culminate in earning the <strong>Big Data Foundations - Level 2 badge</strong>.
<br/>
  
<ol>
<li>Select <strong>Start tracking progress </strong>to enroll in this learning plan and get started!</li>
<li>Start with the <em>Get the details!</em> resource to discover if this program is right for you and to learn all about the courses and badges.</li>
<li>Complete the courses in order.</li>
<li>Follow the steps to claim the <strong>Big Data Foundations - Level 2 badge</strong>.</li>
</ol></div>","['Badge Learning', '000 All digital credentials', 'Big Data Foundations', 'Learning Domain', 'Technical skills - Data', 'Lightcast Skills Taxonomy', 'Apache Hadoop Skill', 'Apache Spark Skill']"
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:COGNITIVECLASS+DV0151EN+V1,data_visualisation,eLearning,Data Visualization with R,3 hrs,42 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Data visualization is the presentation of data with graphics. It's a way to summarize your findings and display it in a form that facilitates interpretation and can help in identifying patterns or trends. In this course you will learn how to create beautiful graphics and charts, customizing the look and feel of them as you wish.</p></div>","['Learning Domain', 'Technical skills - Data']"
https://skills.yourlearning.ibm.com/activity/URL-ADSZJZB-AX8,data_visualisation,Video,The Art of Data Visualization | Off Book | PBS Digital Studios,7 mins 48 s,5003 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 69 learners in the past 12 months.,69,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Humans have a powerful capacity to process visual information, skills that date far back in our evolutionary lineage. And since the advent of science, we have employed intricate visual strategies to communicate data, often utilizing design principles that draw on these basic cognitive skills. In a modern world where we have far more data than we can process, the practice of data visualization has gained even more importance. From scientific visualization to pop infographics, designers are increasingly tasked with incorporating data into the media experience. Data has emerged as such a critical part of modern life that it has entered into the realm of art, where data-driven visual experiences challenge viewers to find personal meaning from a sea of information, a task that is increasingly present in every aspect of our information-infused lives.<br/><br/>
 Data analysts use visualizations like charts, graphs, and maps to help people understand the data’s meaning. Done right, these data visualizations bring clarity and simplicity to complicated issues.<br/><br/>
 This video is presented by PBS Digital Studios.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.<br/><br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, <strong> </strong>select <strong>Subtitles</strong>, <strong> </strong>select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</p></div>","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data']"
https://skills.yourlearning.ibm.com/activity/URL-569905DA9552,data_visualisation,eLearning,Data Analysis and Visualization Foundations - Coursera,32 hrs,426 learners have completed this activity in the past 12 months.,Average rating of 3.5 stars by 19 learners in the past 12 months.,19,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Data Analysis and Visualization Foundations on Coursera pour Social Builder</p></div>","['Learning Domain', 'Technical skills - Data', 'Lightcast Skills Taxonomy', 'Data Analysis Skill']"
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:BIGDATAU+ST0101EN+V1,data_visualisation,eLearning,Statistics 101,3 hrs,179 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Welcome to the Statistics 101 course, taught by Murtaza Haider, Assistant Professor at Ryerson University. Statistics is one of the most challenging topics to learn, but Murtaza brings a gentle introduction to statistics in practice. Learn about descriptive statistics, variance, probability, correlation, and data visualization. This course ends with a fully-guided statistics exercise exploring the “hot” topic of: do good looking professors get better teaching evaluations? A free trial of SPSS Statistics is included in this course.</p></div>","['Learning Domain', 'Technical skills - Data', 'Lightcast Skills Taxonomy', 'Statistics Skill']"
https://skills.yourlearning.ibm.com/activity/URL-X3PAOMCRTJQ,data_visualisation,Video,Data Science in 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,4 mins 38 s,2070 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 26 learners in the past 12 months.,26,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Data Science is basically dealing with unstructured and structured data. Data Science is a field that comprises of everything that is related to data cleansing, preparation, and analysis. In simple terms, it is the umbrella of techniques used when trying to extract insights and information from data. 
<br/>
<br/>
In this video, you will learn about: 
<ul>
<li>The life of a Data Scientist</li>
<li>Steps in Data Science project 
  <ul>
<li>Understanding the business problem</li>
<li>Data acquisition</li>
<li>Data preparation</li>
<li>Exploratory data analysis</li>
<li>Data modeling</li>
<li>Visualization and communication</li>
<li>Deploy and maintenance</li>
</ul></li>
<li>Roles offered to a Data Scientist</li>
<li>Salary of a Data Scientist</li>
</ul>After you complete this activity, select <strong>Mark complete</strong> for completion credit. 
<br/>
<br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, <strong> </strong>select <strong>Subtitles</strong>, <strong> </strong>select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</div>","['Learning Domain', 'Technical skills - Data', 'Learning Domain Primary', 'Data', 'Lightcast Skills Taxonomy', 'Communications Skill', 'Data Modeling Skill', 'Data Science Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-SLA5040,data_visualisation,eLearning,Cyber Threat Management Badge,30 mins,36 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p> Cyber Threat Management The badge earner has been invited to join IBM virtually for 2 days of hands on Cyber Threat Management training, to learn how IBM solutions are dramatically reducing the detection and response time to cyber threats, from both external threat actors and the equally concerning insider threat. This is a unique hands-on opportunity to experience how QRadar and Resilient provide a comprehensive data threat detection and mitigation solution (SIEM/IR). This training provides hands-on lab exercises with the powerful analysis and visualization platform, i2/EIA (Analyst's Notebook). Finally, you learn how the Threat Management Portfolio leverages Machine Learning, Automation, Artificial Intelligence, and the MITRE ATT&amp;CK Framework, to increase workflow efficiency, accountability, and accuracy throughout the process.</p>Get 2 days of hands-on Cyber Threat Management training, to learn how IBM solutions are dramatically reducing the detection and response time to thwart cyber threats, both internal and external. 
<p>This course requires you register for an IBMid to access.</p></div>",[]
