course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/MDL-510,deep_learning,eLearning,Build Your First Chatbot,1 hr,18319 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 691 learners in the past 12 months.,691,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Welcome to <i>Build Your First Chatbot</i>. In this course, you will learn the steps to create conversational chatbots that can understand and respond to natural language. You will also understand the fundamentals of Natural Language Processing (NLP) and learn how to apply them to real-world scenarios.</p><p> </p><p><a href=""https://ole03.yourlearning.ibm.com/mod/scorm/player.php?a=1521&amp;currentorg=articulate_rise&amp;scoid=4571&amp;sesskey=uCpu6ro1ZT&amp;display=popup&amp;mode=normal"" rel=""noopener noreferrer nofollow"" target=""_blank"">Untuk kursus dalam Bahasa, sikahkan menuju tautan berikut ini</a></p><p> </p><p><strong>Learning objectives</strong></p><p>After completing this course, you should be able to:</p><ul><li>Build a conversational chatbot that offers options and suggestions.</li><li>Use pre-built conversations and custom conversations to generate chatbot dialog. </li></ul><p> </p></div>","['Initiatives', 'AI2026', 'SDI Explore', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/MDL-504,deep_learning,eLearning,Use Generative AI for Software Development,1 hr,22812 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1487 learners in the past 12 months.,"1,487","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you’ll learn how AI can help you write new code, switch code between programming languages, and fix common coding issues. You’ll get a chance to practice using IBM watsonx in a simulation to generate code with the help of simple prompts. </p><p> </p><p><a href=""https://ole03.yourlearning.ibm.com/mod/scorm/player.php?a=1525&amp;currentorg=articulate_rise&amp;scoid=4579&amp;sesskey=uCpu6ro1ZT&amp;display=popup&amp;mode=normal"" rel=""noopener noreferrer nofollow"" target=""_blank"">Untuk kursus dalam Bahasa, sikahkan menuju tautan berikut ini</a></p><p><br/><br/>What you'll learn</p><ul><li>Describe how generative AI is used to write code</li><li>Identify common issues with AI-generated code</li><li>Use IBM watsonx in a simulation to generate code</li></ul></div>","['Initiatives', 'AI2026', 'SDI Explore', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/MDL-567,deep_learning,eLearning,IBM Granite Models for Software Development,1 hr 30 mins,1092 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 43 learners in the past 12 months.,43,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this module, you’ll discover how generative artificial intelligence is rewriting the rules of code creation. You’ll learn about IBM Granite models and discover their different types and the benefits they bring to your coding journey. You’ll also learn how to use IBM Granite models to troubleshoot code, allowing you to identify and fix issues faster. You’ll discover the value of Granite models for software developers and be able to explain how to use them.</p><p><br/><strong>What you’ll learn</strong><br/>After completing this module, you should be able to:</p><ul><li>Identify the types of IBM Granite models used for code generation</li><li>Describe the benefits of using IBM Granite models for code generation</li><li>Identify the techniques to troubleshoot code</li></ul><p><br/><strong>Lessons</strong></p><ol><li>IBM Granite models for code generation</li><li>Benefits of using IBM Granite models</li><li>Troubleshooting code using IBM Granite</li><li>Simulation: Troubleshooting code using IBM Granite</li></ol></div>","['Initiatives', 'SDI Explore', 'AI2026', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/MDL-563,deep_learning,eLearning,Classifying Data Using IBM Granite,1 hr 30 mins,1776 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 96 learners in the past 12 months.,96,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this module, you’ll explore the role of generative artificial intelligence in simplifying tasks involving classifying data. You’ll identify methods for selecting an IBM Granite model for classifying text-based data and examine various prompts to use in these models.</p><p><br/><strong>What you’ll learn</strong><br/>After completing this module, you should be able to:</p><ul><li>Summarize the role of generative AI in simplifying tasks involving classifying data</li><li>Choose an IBM Granite model for classifying text-based data</li><li>Compare prompts for classifying text-based data in IBM Granite models</li></ul><p><br/><strong>Lessons</strong></p><ol><li>Classifying text-based data with generative AI</li><li>IBM Granite models for classifying data</li><li>Prompting IBM Granite for text classification</li><li>Simulation: Prompting IBM Granite models for text classification</li></ol></div>","['Administrative', 'NotSearchable', 'Initiatives', 'SDI Explore', 'AI2026', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/MDL-571,deep_learning,eLearning,Ethical Considerations for Generative AI,1 hr 30 mins,46 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 4 learners in the past 12 months.,4,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this module, you’ll explore the fascinating and complex world of ethical considerations when creating content with generative AI. You’ll learn about the pillars of transparency, accountability, and fairness. You’ll discover ethical considerations and risks related to data inputs to AI tools and uncover the ethical implications of AI-generated output. Finally, you’ll explore the IBM AI risk atlas, an online resource that helps users understand some of the risks of working with generative AI, foundation models, and machine learning models.</p><p><br/><strong>What you will learn</strong><br/>At the end of this course, you will be able to:<br/> </p><ul><li>Describe the ethical pillars of transparency, accountability, and fairness in the use of generative AI</li><li>Identify ethical considerations and risks related to data inputs in AI tools</li><li>Explain the ethical implications of managing AI-generated content</li></ul><p><br/><strong>Lessons</strong></p><ol><li>Ethics in the use of generative AI</li><li>Managing the ethics of AI inputs for data</li><li>Managing the ethics of AI-generated content</li><li>Simulation: Exploring the IBM AI risk atlas</li></ol></div>","['Initiatives', 'SDI Explore', 'AI2026', 'Academia', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/ILB-EKVXKVVEVEVV13NA,deep_learning,eLearning,What is artificial intelligence?,45 mins,69331 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 2197 learners in the past 12 months.,"2,197","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Can a computer really think? Learn how experts answer this question, and explore concepts like machine learning and deep learning.</p><p><br/> </p><p><strong>Duration:</strong> Complete the activities in this course and earn 45 minutes of learning credit!</p></div>","['Badge Learning', 'Explore Emerging Tech', 'Initiatives', 'SDI', 'SDI Explore', 'Learning Domain', 'Other - Emerging technologies', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence', 'TryB4', 'All TryB4', 'Lightcast Skills Taxonomy', 'Artificial Intelligence Skill', 'Machine Learning Skill', 'Deep Learning Skill']"
https://skills.yourlearning.ibm.com/activity/MDL-388,deep_learning,eLearning,Introduction to Generative AI,1 hr 30 mins,10797 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 173 learners in the past 12 months.,173,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you’ll learn about the history of AI, how deep learning plays a pivotal role in generative AI (gen-AI), and how gen-AI works and is applied to various industries. You will also learn how to create algorithms, and gain hands-on experience writing code using popular programming languages. <br/><br/><strong>What you'll learn </strong><br/><br/>After completing this course, you should be able to:</p><ul><li>Explain how generative artificial intelligence (gen-AI) works</li><li>Define what foundation models are and their role in machine learning</li><li>Understand how transformers models are used to solve various language-related tasks</li><li>Describe how prompt engineering improve generative AI models</li><li>Perform common programming tasks using Python's built-in functions and libraries</li><li>Create scripts and code for solving real-world problems and automating routine tasks</li></ul></div>","['Initiatives', 'AI2026', 'SDI Deep Dive', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/MDL-298,deep_learning,eLearning,Mastering the Art of Prompting,1 hr,140928 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1810 learners in the past 12 months.,"1,810","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This is an activity-based course. You'll learn about AI language models and the rules to follow when giving instructions, or prompting, an AI language model. You'll walk-through a guided activity that demonstrates how to write effective prompts for an AI language model to help plan a travel itinerary. Finally, you'll participate in an activity to apply what you've learned to effectively write prompts for an AI language model to create your own custom music playlist.<br/><br/><strong>What you’ll learn</strong><br/>After completing this course, you should be able to:</p><ul><li>Describe an AI language model</li><li>Explain how an AI language model understands and responds to humans</li><li>Identify the rules to follow to write effective prompts to generate focused and accurate results from an AI language model</li><li>List the steps to sign up for a ChatGPT account</li><li>Follow the steps to effectively write and refine a series of prompts for ChatGPT for a travel itinerary scenario</li><li>Demonstrate the steps to effectively write and refine a series of prompts for ChatGPT to create a custom music playlist</li></ul><p><br/>Czech learners can complete the learning here: <a href=""https://ole03.yourlearning.ibm.com/mod/scorm/player.php?a=1175&amp;currentorg=articulate_rise&amp;scoid=3879&amp;sesskey=WimsJhFYGz&amp;display=popup&amp;mode=normal"" rel=""noopener noreferrer nofollow"" target=""_blank"">Umění promptingu: Efektivní pokyny pro jazykové modely AI</a></p><p><br/><strong>Languages</strong>: English, Brazilian Portuguese, Czech, French, Japanese, Spanish</p></div>","['Initiatives', 'AI2026', 'SDI Explore', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/ILB-XVZNEXKGDVQN2PD3,deep_learning,eLearning,Improve Your Resume Writing with Generative AI,40 mins,32422 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 586 learners in the past 12 months.,586,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this activity-based course, you'll complete a guided activity that demonstrates how to co-write or update your resume using generative AI.</p><p>It is recommended that prior to this course, you complete <a href=""https://skills.yourlearning.ibm.com/activity/MDL-298"" rel=""noopener noreferrer nofollow"" target=""_blank"">Master the Art of Prompting</a> and <a href=""https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3822944"" rel=""noopener noreferrer nofollow"" target=""_blank"">Create a Great Professional Resume.</a><br/><br/><strong>What you’ll learn</strong><br/>After completing this course, you should be able to:</p><ul><li>Identify the rules to follow to write effective prompts to generate focused and accurate results from an AI language model</li><li>Follow the steps to effectively write and refine a series of prompts for generative AI for your resume</li><li>Demonstrate the steps to effectively write and refine your resume</li></ul></div>","['Learning Domain', 'Workplace skills - Workforce readiness', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/ILB-ZKVJNXVZKMZXEWGN,deep_learning,eLearning,Artificial Intelligence in Practice,40 mins,45149 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1301 learners in the past 12 months.,"1,301","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>What's it all for? From communicating with chatbots, to piloting self-driving cars, to solving complex global problems, AI is solving problems everywhere.<br/> </p><p><strong>Duration:</strong> Complete the activities in this course and earn 40 minutes of learning credit!</p></div>","['Badge Learning', 'Explore Emerging Tech', 'DigN Journey', 'New Collars', 'Initiatives', 'SDI', 'SDI Explore', 'Learning Domain', 'Other - Emerging technologies', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence', 'Lightcast Skills Taxonomy', 'Communications Skill', 'Artificial Intelligence Skill']"
