course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-2AD65B874E84,devops,eLearning,Découvrez la méthodologie DevOps | OpenClassrooms,6 hrs,16 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""fr"" translate=""yes"">Vous avez entendu plusieurs fois parler du <strong>DevOps</strong>, mais vous ne savez pas vraiment de quoi il s'agit ? Vous êtes <strong>développeur ou SysAdmin</strong> et vous aimeriez savoir comment améliorer et fluidifier votre chaîne de valeur ? Ou vous êtes simplement intrigué par ce mouvement et aimeriez en savoir plus pour <strong>l'implémenter dans votre entreprise</strong> ? 
<br/><strong>Ce cours est fait pour vous !</strong></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL0060450G,devops,eLearning,IBM Z DevOps Testing Fundamentals,10 hrs,419 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 5 learners in the past 12 months.,5,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course is designed to provide a comprehensive understanding of ZUnit, a powerful unit testing framework specifically tailored for testing z/OS applications and mainframe environments. During this course we will delve into the intricacies of ZUnit, exploring its features, best practices, and practical implementation techniques. </p>
<p> </p>
<p>We further expand on the concepts of integration testing, along with introduction to IBM Z Virtual Test Platform (ZVTP) and its combination with the IBM Distribution for Galasa. </p>
<p> </p>
<p><strong>Prerequisites</strong></p>
<ul>
<li>Basic z/OS knowledge</li>
<li>Familiarity with IDz</li>
<li>Basic Java/Groovy knowledge is an asset but is not required</li>
</ul>Learn about Testing capabilities in the Z DevOps portfolio with primary focus on Unit Testing via ZUnit plus introductory content to integration testing with ZVTP and the Galasa Testing framework
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL007121G,devops,eLearning,DevOps For IBM zSystems CI/CD Enablement - Architect,10 hrs,33 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>The expected skills of the Architect Persona include the following:</p>
<p> </p>
<ul>
<li>Mainframe Development processes and workflows</li>
<li>CI/CD and DevOps Principles</li>
<li>GIT concepts and architecture</li>
</ul>Enablement materials covering both, products in the Z DevOps portfolio as well as open source technologies, to assist a Z architect in a Mainframe DevOps transformation journey
<p>This course requires you register for an IBMid to access.</p></div>","['Lightcast Skills Taxonomy', 'DevOps Skill', 'Workflow Management Skill', 'CI/CD Skill', 'Git (Version Control System) Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL007126G,devops,eLearning,DevOps For IBM zSystems CI/CD Enablement - Testing Specialist,5 hrs,22 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>The expected skills of the Test Specialist Persona include the following:</p>
<p> </p>
<ul>
<li>Creating effective tests</li>
<li>Understanding of automating processes in a pipeline</li>
<li>Knowledge of application systems</li>
</ul>Enablement materials covering both, products in the Z DevOps portfolio as well as open source technologies, to assist a Z Testing Specialist in a Mainframe DevOps transformation journey
<p>This course requires you register for an IBMid to access.</p></div>","['Lightcast Skills Taxonomy', 'DevOps Skill', 'Automation Skill', 'CI/CD Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL007122G,devops,eLearning,DevOps For IBM zSystems CI/CD Enablement - Middleware Specialist,1 hr,15 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 4 learners in the past 12 months.,4,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>The expected skills of the Middleware Specialist Persona include the following: </p>
<ul>
<li>Linux skills for installation and configuration of the DBB WebApp, UCD Server, etc...</li>
<li>System programmer skills to install and configure DevOps products host components</li>
</ul>Enablement materials covering both, products in the Z DevOps portfolio as well as open source technologies, to assist a Z Middleware Specialist in a Mainframe DevOps transformation journey
<p>This course requires you register for an IBMid to access.</p></div>","['Lightcast Skills Taxonomy', 'CI/CD Skill', 'DevOps Skill', 'Linux Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL007127G,devops,eLearning,DevOps For IBM zSystems CI/CD Enablement - Deployment Specialist,5 hrs,11 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>The expected skills of the Deployment Specialist Persona include the following:</p>
<p> </p>
<ul>
<li>Develop and Maintain central deployment processes</li>
<li>UCD Concepts; Mainframe Subsystem Interfaces</li>
</ul>Enablement materials covering both, products in the Z DevOps portfolio as well as open source technologies, to assist a Z Deployment Specialist in a Mainframe DevOps transformation journey
<p>This course requires you register for an IBMid to access.</p></div>","['Lightcast Skills Taxonomy', 'CI/CD Skill', 'DevOps Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL007124G,devops,eLearning,DevOps For IBM zSystems CI/CD Enablement - Build Specialist,7 hrs,22 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>The expected skills of the Build Specialist Persona include the following:</p>
<p> </p>
<ul>
<li>Mainframe Build Fundamentals (JCL, REXX, Compile/Link/Build)</li>
<li>DBB Architecture</li>
<li>Develop and Maintain custom build framework (groovy scripting)</li>
</ul>Enablement materials covering both, products in the Z DevOps portfolio as well as open source technologies, to assist a Z Build Specialist in a Mainframe DevOps transformation journey
<p>This course requires you register for an IBMid to access.</p></div>","['Lightcast Skills Taxonomy', 'CI/CD Skill', 'Rexx (Programming Language) Skill', 'Scripting Skill', 'Job Control Language (JCL) Skill', 'DevOps Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL007128G,devops,eLearning,DevOps For IBM zSystems CI/CD Enablement - Migration Specialist,2 hrs,21 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>The expected skills of the Migration Specialist Persona include the following: </p>
<ul>
<li>Develop and Use analysis and migration tools to facilitate Git migrations from legacy systems</li>
</ul>Enablement materials covering both, products in the Z DevOps portfolio as well as open source technologies, to assist a Z Migration Specialist in a Mainframe DevOps transformation journey
<p>This course requires you register for an IBMid to access.</p></div>","['Lightcast Skills Taxonomy', 'DevOps Skill', 'CI/CD Skill', 'Git (Version Control System) Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL007125G,devops,eLearning,DevOps For IBM zSystems CI/CD Enablement - Pipeline Specialist,10 hrs,19 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>The expected skills of the Pipeline Specialist Persona include the following: </p>
<ul>
<li>CI Specialist</li>
<li>Git Concepts &amp; Change Management Integrations</li>
<li>Develop and Maintain custom intergration scripts</li>
</ul>Enablement materials covering both, products in the Z DevOps portfolio as well as open source technologies, to assist a Z Pipeline Specialist in a Mainframe DevOps transformation journey
<p>This course requires you register for an IBMid to access.</p></div>","['Lightcast Skills Taxonomy', 'Git (Version Control System) Skill', 'DevOps Skill', 'CI/CD Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL007123G,devops,eLearning,DevOps For IBM zSystems CI/CD Enablement - IDE Specialist,1 hr,16 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>The expected skills of the IDE Specialist Persona include the following:</p>
<p> </p>
<ul>
<li>IDE installation and deployment</li>
<li>Customization and documentation of IDEs</li>
<li>Training &amp; Coaching</li>
</ul>Enablement materials covering both, products in the Z DevOps portfolio as well as open source technologies, to assist an IDE Specialist in a Mainframe DevOps transformation journey
<p>This course requires you register for an IBMid to access.</p></div>","['Lightcast Skills Taxonomy', 'CI/CD Skill', 'DevOps Skill']"
