course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-76C00B1274AE,enterprise,eLearning,Get Started with Enterprise IT,10 mins,40 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 6 learners in the past 12 months.,6,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Explore the field of enterprise-class IT and learn in demand skills!
<br/>
<br/>
Behind the scenes, enterprise IT powers the applications our world has come to rely upon – everything from credit card transactions, ATMs, mobile banking, stock market trades to airline reservations and retail transactions. Fortune 100 companies are looking for talent with fundamental enterprise computing skills.
<br/>
<br/>
Could this be a career for you?
<br/>
<br/>
Explore the videos and check out the bite-sized free learning path to determine if this is the field for you and get started on your journey with enterprise IT.</div>",[]
https://skills.yourlearning.ibm.com/activity/URL-8950DE68E642,enterprise,eLearning,Getting started with enterprise grade AI,5 hrs,607 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 13 learners in the past 12 months.,13,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">AI can execute tasks in arenas where learning and judgment is called for, including self-driving cars, insurance, HR, trading, accounting, and healthcare.<br/>
 An accelerated embrace of AI is set to fundamentally change the job marketplace. According to the World Economic Forum, by 2022, AI in the workplace is expected to create 133 million new roles and displace 75 million existing job roles.</div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/ISG-6XS639G,enterprise,eLearning,Introduction to Data Fabric for the Enterprise,3 hrs,8 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course aims to deconstruct the term data fabric and help you identify the key challenges of data today. You will also analyze the business benefits of creating a data fabric solution. Through taking this course you will better understand how IBM delivers a data fabric solution and be able to identify the building blocks of IBM’s data fabric architecture. This ultimately will be important for you to evaluate the services within the Cloud Pak for Data platform that form a data fabric solution. This course also provides practical hands-on exercises to help you get started with data fabric on the Cloud Pak for Data as a Service platform.</p>This course guides you through the key capabilities and tools that are related to the Data Fabric solution on IBM Cloud Pak for Data.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-SLA718,enterprise,eLearning,Enterprise License Activation in Directory Suite,30 mins,3 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This video guides you through the process of enterprise license activation in Directory Suite. After the successful installation and basic configuration of the Directory Suite, you can purchase a Standard or Enterprise level license in order to get additional features.</p>This video guides you through the process of enterprise license activation in Directory Suite. After the successful installation and basic configuration of the Directory Suite, you can 
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ILB-RKGVNQNQZJQYW3DB,enterprise,eLearning,An Introduction to Enterprise Computing | IBM,15 mins,1536 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 139 learners in the past 12 months.,139,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>What are mainframes? What is IBM Z? Who uses IBM Z? Have you used IBM Z? These questions and more are answered in this short course, designed to introduce you to the world of enterprise computing.</p></div>","['Learning Domain', 'Technical skills - Information Technology', 'Lightcast Skills Taxonomy', 'Mainframe Computing Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL09154G,enterprise,eLearning,IBM App Connect Enterprise as a Service - Essentials,24 hrs,2 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course introduces you to the purpose and benefits of integration and the use of IBM App Connect Enterprise as a Service. You will learn practical skills by building an integration and an API in IBM App Connect Enterprise as a Service on AWS.This essentials course is designed for users who are new to application integration or experienced in integration but new to IBM App Connect.</p>This course introduces you to the purpose and benefits of integration and the use of IBM App Connect Enterprise as a Service.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-054EC4028651,enterprise,Document,Discover Why an Enterprise Computing Career Might Be for You | IBM,20 mins,229 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 9 learners in the past 12 months.,9,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Examine if an enterprise computing is a career for you. Check out this custom study called ""Fulfill Your Aspirations With An Enterprise Computing Career"" by Forrester and commissioned by IBM. 
<br/>
 </div>","['Learning Domain', 'Technical skills - Information Technology']"
https://skills.yourlearning.ibm.com/activity/ISG-DL10020G,enterprise,eLearning,Technical Introduction to IBM App Connect Enterprise,8 hrs,4 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you learn how IBM App Connect Enterprise enables information that is packaged as messages to flow between different business applications, ranging from large traditional systems through autonomous devices such as sensors and pipelines. You also learn how IBM App Connect Enterprise constructs message flow applications to transport and transform data. </p>
<p> </p>
<p>The course also explains how to control the flow of data by using various processing nodes. Topics include an overview of mapping, testing, securing, and monitoring message flows. The course also provides techniques used to expand the capabilities of message flow applications by making them aware of the runtime environments in which they operate.</p>This course introduces you to the essential concepts that are centered on designing, developing, and deploying and managing IBM App Connect Enterprise integration solutions.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-BECFAD8E7F61,enterprise,eLearning,Enterprise Design Thinking Co-Creator (Course and Badge) | IBM,3 hrs,19663 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 336 learners in the past 12 months.,336,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Enterprise Design Thinking is IBM's approach to applying design thinking at the speed and scale a modern enterprise demands. It helps teams not only form intent, but deliver outcomes; outcomes that advance the state of the art and improve the lives of the people they serve.
<br/>
<br/>
Whether you're just starting out on your design thinking journey or searching for resources to expand your expertise, Enterprise Design Thinking is the perfect place to start. Complete this course and receive your <strong>Co-Creator </strong>badge through this online curriculum! You'll also get access to the tools you need to practice human-centered design every day. 
<br/>
<br/><strong>Prerequisite</strong>:  In order to begin, you must have already completed the course and badge for <a href=""https://skills.yourlearning.ibm.com/activity/URL-F2C2D663869E"" rel=""noopener noreferrer nofollow"" target=""_blank"">Enterprise Design Thinking Practitioner</a>.
<br/>
<br/>
Once you’ve received the Practitioner Badge, you’ll unlock this series of practice-based modules. These activities will help you work on methods like identifying stakeholders, creating a research plan, and testing ideas. In order to collect your Co-Creator Badge, you must complete these modules with <strong>a partner or your team</strong>.
<br/>
<br/><strong>Important:</strong> This course is offered on a separate website, so to access it you will need to sign up for an IBMid. Signup is easy, and there is no cost.
<br/>
 
<br/>
When you finish this course, you'll be shown how to collect your IBM Enterprise Design Thinking Co-Creator badge. Also, remember to to return here and click the <strong>Mark complete</strong> button so that you'll remember you've completed this course!
<br/>
<br/>
Badge information is available on <a href=""https://info.credly.com/"" rel=""noopener noreferrer nofollow"" target=""_blank"">Credly</a>.
<br/>
<br/>
It is estimated you will complete this over 3 to 6 weeks.
<br/>
<br/><strong>Note:</strong> This activity is currently available only in English.</div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Lightcast Skills Taxonomy', 'Research Skill']"
https://skills.yourlearning.ibm.com/activity/URL-0A8FD57F7491,enterprise,Video,"Leadership Practices, Enterprise Enablement and Cultural Change to Engage a Virtual Workforce | IBM Think Digital",28 mins,228 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 5 learners in the past 12 months.,5,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this recorded webinar presented by IBM Think Digital, you will learn how to enhance employee engagement and productivity, re-skill your workforce faster, and reimagine ways of working. 
<br/>
<br/>
This webinar is presented by IBM Think Digital.  
<br/>
<br/>
After you complete this activity, return to this page to select  <strong>Mark complete</strong> for completion credit.  
<br/>
<br/><strong>Note</strong>: This activity is available only in English (with German, French, Japanese, Chinese, and Spanish subtitles).</div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Lightcast Skills Taxonomy', 'Leadership Skill']"
https://skills.yourlearning.ibm.com/activity/URL-F2C2D663869E,enterprise,eLearning,Enterprise Design Thinking Practitioner (Course and Badge) | IBM,2 hrs,31971 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 514 learners in the past 12 months.,514,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Enterprise Design Thinking is IBM's approach to applying design thinking at the speed and scale a modern enterprise demands. It helps teams not only form intent, but deliver outcomes; outcomes that advance the state of the art and improve the lives of the people they serve.
<br/>
<br/>
Whether you're just starting out on your design thinking journey or searching for resources to expand your expertise, Enterprise Design Thinking is the perfect place to start. Complete this course and receive your <strong>Practitioner </strong>badge through this online curriculum! You'll also get access to the tools you need to practice human-centered design every day. 
<br/>
<br/><strong>Important:</strong> This course is offered on a separate website, so to access it you will need to sign up for an IBMid. Signup is easy, and there is no cost.
<br/>
 
<br/>
When you finish this course, you'll be shown how to collect your IBM Enterprise Design Thinking Practitioner badge. Also, remember to to return here and click the <strong>Mark complete</strong> button so that you'll remember you've completed this course!
<br/>
<br/>
Badge information is available on <a href=""https://info.credly.com/"" rel=""noopener noreferrer nofollow"" target=""_blank"">Credly</a>.
<br/>
<br/><strong>Note:</strong> This activity is currently available only in English.</div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills']"
https://skills.yourlearning.ibm.com/activity/URL-33283F12E68D,enterprise,Webpage,IBM Careers | IBM.com,10 mins,371 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 10 learners in the past 12 months.,10,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Search for job opportunities using ""mainframe"" and ""IBM Z"" as search terms, and check out the skills needed for career in enterprise computing.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:BDU+BD0137EN+V1,enterprise,eLearning,Solr 101,3 hrs,2 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course teaches you the basics of how to use Solr. Solr (pronounced ""solar"") is an open source enterprise search platform, written in Java, from the Apache Lucene project.</p></div>","['Lightcast Skills Taxonomy', 'Java (Programming Language) Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL70533G,enterprise,eLearning,Implementation Considerations,1 hr,25 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you should learn about implementation considerations such as enterprise account management, Financial Services validation, and how DevSecOps and Code Risk Analyzer can be used as solutions for regulated workloads.</p>This course covers implementation considerations such as enterprise account management, FS validation, and how DevSecOps and Code Risk Analyzer can be used as solutions.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/MDL-201,enterprise,eLearning,Account Types,6 mins,54 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 6 learners in the past 12 months.,6,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course reviews the IBM Cloud account types, Lite, pay-go, subscription and enterprise.<br/></p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-EFF7B4A887F8,enterprise,Webpage,IBM Design Thinking Toolkit,15 mins,22128 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1362 learners in the past 12 months.,"1,362","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">The toolkit provides a quick resource to help you get started with design thinking. Learn more about IBM's approach and how you can incorporate these design thinking activities into your workflow. (You'll learn more about these in the Enterprise Design Thinking Practitioner course too!). 
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Lightcast Skills Taxonomy', 'Workflow Management Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL110210G,enterprise,eLearning,IBM z/OS Security Essentials,4 hrs,7 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course covers core principles like confidentiality, integrity, and availability, alongside key z/OS features such as RACF (Resource Access Control Facility) and SAF (System Authorization Facility). Explore profiles, user attributes, the Protect All switch, auditing tools like IBM zSecure, and z/OS cryptographic capabilities, including hardware-assisted encryption. </p>An entry-level course intended for beginners in the field of Enterprise Security looking to add a z/OS context to their expertise. 
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL10017G,enterprise,eLearning,Application Integration Essentials,2 hrs,15 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Through concise, impactful videos, you refresh your knowledge of core integration concepts that enable you to engage more effectively with clients and align with their goals and challenges. Enhance your communication skills, build trust, and confidently navigate the complexities of enterprise integration. </p>
<p> </p>
<p>This course equips you with the insights needed to drive successful outcomes and elevate your strategic approach to the next level.</p>Master the fundamentals of enterprise integration with this comprehensive course. 
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL19005G,enterprise,eLearning,IBM OpenPages: Technical Essentials,3 hrs,4 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course offers a comprehensive exploration of the features, functions, and capabilities of IBM OpenPages, an integrated environment that is designed to manage governance, risk, and compliance (GRC) challenges across the enterprise. This course also delves into the intricacies of IBM OpenPages, exploring the modular domain-specific solutions through detailed explanations and practical demonstrations. By the end of this course, you gain the essential knowledge and skills to unlock the full potential of IBM OpenPages and get started with it.</p>This course offers a comprehensive exploration of the features, functions, and capabilities of IBM OpenPages.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:IBM+GPXX0E8TEN+V1,enterprise,eLearning,Improve Customer Support with AI-powered Voice Services,50 mins,66 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this guided project, you will create a voice-enabled pizza-ordering application using embeddable AI and deploy it with Flask. Learn how to use Flask to deploy machine-learning models, allowing anyone to interact with them through an intuitive user interface and see the results for themselves. Don't let the challenge of training AI hold you back - our cutting-edge embeddable AI libraries can be seamlessly integrated into your enterprise applications.</p></div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/ISG-SLA5683,enterprise,eLearning,Configuring Verify Access as multi-factor authentication (MFA) client in Verify,30 mins,2 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This lab provides step-by-step instructions to configure IBM Security Verify Access as multifactor authentication (MFA) client for an IBM Security Verify tenant. This integration allows Verify Access to provide advanced authentication methods to the protected enterprise resources. During the integration process, Verify Access is automatically registered as a MFA client in your Verify tenant. Additionally, a set of Info Map rules and authentication mechanisms are created in Verify Access to call the MFA REST API in Verify.</p>This lab provides step-by-step instructions to configure IBM Security Verify Access as multifactor authentication (MFA) client for an IBM Security Verify tenant.
<p>This course requires you register for an IBMid to access.</p></div>",[]
