course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/PLAN-531AD0928A0D,entrepreneurship,Learning Plan,Career Relaunch: Be an Entrepreneur | Powered by NFTE,Days,340 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 91 learners in the past 12 months.,91,"<div dir=""ltr"" lang=""en"" translate=""yes"">Welcome to the <strong>Career Relaunch: Be an Entrepreneur learning plan</strong> powered by NFTE! 
<br/>
<br/>
 In this online self-guided journey, you will develop an entrepreneurial mindset as you build and test your own business idea to create a valid business opportunity. You will learn the basics needed to build a business model for your idea to pitch it and launch it. Take control of your life and pursue your dreams by learning how to think and act entrepreneurially in business and in your life. 
<br/>
<br/>
 You will follow a step-by-step process to build your business plan. This course is comprised of <strong>14 required lessons</strong> that are succinct and highly interactive, with activities designed to deepen your understanding of entrepreneurship principles and best practices. Every lesson includes links and videos to external resources from experts in the field. At the end of each lesson, you will build another piece of your business plan. Then, there is a <strong>final quiz</strong> of 15 questions to assess your knowledge. 
<br/>
<br/>
 This course is presented by <a href=""https://www.nfte.com/"" rel=""noopener noreferrer nofollow"" target=""_blank"">NFTE (Network for Teaching Entrepreneurship)</a>. NFTE ignites the entrepreneurial mindset with unique learning experiences that empower all students to own their futures. 
<br/>
   
<ul>
<li><strong>Audience</strong>: Any individual who has not previously considered themselves entrepreneurs and who are now interested in developing entrepreneurial skills.</li>
<li><strong>Duration</strong>: 35 hours</li>
<li><strong>Language</strong>: English</li>
<li><strong>Badge</strong>: Complete the course activities and quizzes in all lessons plus the final quiz and you will earn the <strong>Be an Entrepreneur badge! </strong>Please allow a few business days for processing. You will receive an email from Acclaim to register and claim your badge online.</li>
</ul>
<br/>
 To get started: 
<ol>
<li>Select <strong>Start tracking progress</strong> to enroll in this learning plan and get started!</li>
<li>Get your <strong>brilliant business idea</strong> ready!</li>
<li>Complete the <strong>14 lessons in order </strong>and be sure to pace your learning.</li>
</ol></div>","['Badge Learning', '000 All digital credentials', 'Be an Entrepreneur', 'Learning Domain', 'Workplace skills - Ways of working', 'Workplace skills - Ways of working - Entrepreneurship']"
https://skills.yourlearning.ibm.com/activity/PLAN-AF172C480B89,entrepreneurship,Learning Plan,Esenciales para el emprendimiento - ¡Obtén una insignia!,Hours,369 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 99 learners in the past 12 months.,99,"<div dir=""ltr"" lang=""es"" translate=""yes"">Bienvenido, bienvenida al <strong>Plan de formación ¡Esenciales para el emprendimiento! </strong>Este plan está creado para apoyarte con la información, habilidades y herramientas que puedes usar para lanzar tu proyecto de negocio o hacer crecer tu pequeño negocio. 
<br/>
   
<br/>
 El contenido se ha creado en colaboración con <a href=""https://www.puentesglobal.org/"" rel=""noopener noreferrer nofollow"" target=""_blank""><u>Puentes Global</u></a>. 
<br/>
   
<br/><strong>Audiencia</strong>: Personas emprendedoras que tienen o quieren crear una empresa. 
<br/><strong>Duración</strong>: Estos cursos tienen una duración estimada de 17 horas. 
<br/><strong>Idioma</strong>: Español 
<br/><strong>Insignia: </strong>Tras completar los cursos, obtendrás la insignia asociada a Habilidades esenciales para emprendedores: <strong>Entrepreneurship Business Essentials. </strong>Para recibir tu insignia permite unos días hábiles para su procesamiento, después recibirás un correo electrónico en el que podrás obtenerla online. 
<br/>
<br/>
 Para comenzar:  
<ul>
<li>¡Seleccione <strong>Comenzar </strong><strong>el seguimiento d</strong><strong>el progreso </strong>para inscribirse en este plan de aprendizaje y comenzar!</li>
<li>Te sugerimos que completes los cursos en orden secuencial.</li>
</ul></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Workplace skills - Ways of working - Entrepreneurship']"
https://skills.yourlearning.ibm.com/activity/PLAN-BFB9EE6140A8,entrepreneurship,Learning Plan,Esenciales de Marketing - ¡Obtén una insignia!,Hours,380 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 112 learners in the past 12 months.,112,"<div dir=""ltr"" lang=""es"" translate=""yes"">Bienvenido, bienvenida al <strong>Plan de formación ¡Esenciales de Marketing! </strong>Este plan está creado para apoyarte con la información, habilidades y herramientas que puedes usar para lanzar o mejorar las actividades de marketing y ventas de tu proyecto de negocio o mejorar las ya existentes en tu pequeño negocio. 
<br/>
   
<br/>
 El contenido se ha creado en colaboración con <a href=""https://www.puentesglobal.org/"" rel=""noopener noreferrer nofollow"" target=""_blank""><u>Puentes Global</u></a>. 
<br/>
   
<br/><strong>Audiencia</strong>: Personas emprendedoras que tienen o quieren crear una empresa. 
<br/><strong>Duración</strong>: Los cursos tienen una duración estimada de 18 horas. 
<br/><strong>Idioma</strong>: Español 
<br/><strong>Insignia: </strong>Tras completar los cursos, obtendrás la insignia asociada a Habilidades esenciales para emprendedores: <strong>Entrepreneurship Marketing Essentials. </strong>Para recibir tu insignia permite unos días hábiles para su procesamiento, después recibirás un correo electrónico en el que podrás obtenerla online. 
<br/>
   
<br/>
 Para comenzar:  
<ul>
<li>¡Seleccione <strong>Comenzar </strong><strong>el seguimiento d</strong><strong>el progreso </strong>para inscribirse en este plan de aprendizaje y comenzar!</li>
<li>Te sugerimos que completes los cursos en orden secuencial.</li>
</ul></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Workplace skills - Ways of working - Entrepreneurship']"
https://skills.yourlearning.ibm.com/activity/URL-BD1CC5042962,entrepreneurship,eLearning,Entrepreneurship | Oncampus,60 hrs,185 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 9 learners in the past 12 months.,9,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""de"" translate=""yes""><p>Fähige Steuerfrauen und -männer gesucht! Spielst du mit dem Gedanken ein Unternehmen zu gründen oder dein Start-up endlich auf Kurs zu bringen? Dann hilft dir das MOOC Entrepreneurship alle Gründungs-Klippen geschickt zu umschiffen, jederzeit das richtige Werkzeug zur Hand zu haben und die richtige Crew anzuheuern.<br/><br/>
 Dieser Kurs ist kostenlos. Registrieren Sie sich für einen Zugang bei Oncampus.<br/><br/>
 Nachdem Sie diese Aktivität abgeschlossen haben, kehren Sie zu dieser Seite zurück, um sie mit der Option <strong>Als abgeschlossen markieren</strong> (Mark complete).<br/>
  </p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Workplace skills - Ways of working - Entrepreneurship']"
https://skills.yourlearning.ibm.com/activity/PLAN-9F7D44AEA0C9,entrepreneurship,Learning Plan,Discover Entrepreneurship,About 7 hours,2 learners have completed this activity in the past 12 months.,,270,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Welcome to our dynamic learning plan, crafted for aspiring entrepreneurs and solution-driven learners. This program is designed to nurture your entrepreneurial spirit, foster a growth mindset, and equip you with the skills to implement effective solutions in real-world scenarios.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-18F6F562B377,entrepreneurship,eLearning,Business Entrepreneurship - Video Series | CrashCourse,3 hrs 20 mins,1058 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 161 learners in the past 12 months.,161,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Across 17 videos in this YouTube playlist, you can learn entrepreneurship skills to help you start and run a small business. This course is based on a college-level curriculum with a variety of reference texts, including the Strategyzer Business Model Canvas.<br/><br/>
 By the end of the course, you will be able to:</p>
<ul>
<li>Evaluate the quality of an idea and take steps to turn it into a small business.</li>
<li>Understand the legal basics of business entity formation, sales, costs, and other finances.</li>
<li>Develop a clear value proposition for your business and customer relationships.</li>
<li>Navigate other businesses, including both competition and key partners.</li>
<li>Define success for yourself as an entrepreneur, and recognize failure.</li>
</ul>
<p><br/>
 This video series is presented by CrashCourse.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.<br/><br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, select <strong>Subtitles</strong>, select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Workplace skills - Ways of working - Entrepreneurship', 'Lightcast Skills Taxonomy', 'Sales Skill']"
https://skills.yourlearning.ibm.com/activity/URL-4C4B8ABA311B,entrepreneurship,eLearning,First steps in innovation and entrepreneurship | The Open University,8 hrs,7440 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 115 learners in the past 12 months.,115,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">This is an intermediate, free course offered by <a href=""https://www.open.edu/openlearn/"" rel=""noopener noreferrer nofollow"" target=""_blank""><strong>OpenLearn</strong></a>. This course provides you with a short introduction to innovation and entrepreneurship, clarifying some key themes and terminology, and helping you to examine your own views about these important subjects. 
<br/>
  
<br/><strong>Duration</strong>: 8 hours 
<br/><strong>Registering</strong>: You must create an account to sign in. 
<br/><strong>Completion</strong>: Upon completion, you will earn a Statement of Participation. 
<br/><strong>Language</strong>: This course is available only in English. 
<br/><strong>Download</strong>: You can take the course online or there are options to download the course for use offline or for other devices. 
<br/><strong>Learning outcomes you can expect</strong>: 
<ul>
<li>Examine personal pre-existing ideas and assumptions about innovation and entrepreneurship, and see how they compare to those of other people.</li>
<li>Identify core innovation and entrepreneurship terms and categories, apply these categorisations to practical examples and recognise where boundaries between these categories are blurred.</li>
<li>Recognise the main connections between innovation and entrepreneurship and start to isolate a distinctively ‘entrepreneurial’ role in the innovation process.</li>
</ul>After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Workplace skills - Ways of working', 'Workplace skills - Ways of working - Entrepreneurship', 'Lightcast Skills Taxonomy', 'Innovation Skill']"
https://skills.yourlearning.ibm.com/activity/URL-EB8613538AB1,entrepreneurship,eLearning,Entrepreneurship – from ideas to reality | The Open University,24 hrs,298 learners have completed this activity in the past 12 months.,Average rating of 3.5 stars by 25 learners in the past 12 months.,25,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">This is an intermediate, free course offered by <a href=""https://www.open.edu/openlearn/"" rel=""noopener noreferrer nofollow"" target=""_blank""><strong>OpenLearn</strong></a>. Are you looking to set up your own business? Are you wondering how to turn your ideas into reality? Using case studies, this course will take you through the decisions you will need to make when building a business: from generating initial ideas through to deciding what you will do and how you will establish your business and grow it. 
<br/>
<br/>
It will guide you through business models, funding options, business types, and the influence of location and importantly assessment of your own skills, values, and attitudes to risk. The course is focused on practical advice from real entrepreneurs, and will signpost you to where you can find additional support, and how you can further develop your own capabilities. 
<br/>
  
<br/><strong>Duration</strong>: 24 hours 
<br/><strong>Registering</strong>: You must create an account to sign in. 
<br/><strong>Badging</strong>: Enrolling in the course will give you the opportunity to earn an Open University digital badge. Badges are not accredited by The Open University, but they're a great way to demonstrate your interest in the subject and commitment to your career, and to provide evidence of continuing professional development. 
<br/><strong>Language</strong>: This course is available only in English. 
<br/><strong>Download</strong>: You can take the course online or there are options to download the course for use offline or for other devices. 
<br/><strong>Learning outcomes you can expect</strong>: 
<ul>
<li>Identify strengths of an entrepreneur and what support is needed to run a business.</li>
<li>Eevaluate, develop and refine a business idea and create a business model.</li>
<li>Identify the gaps in resources and capabilities needed to grow a new business.</li>
<li>Create a plan to develop capability and make progress growing a business.</li>
<li>Create a pitch to gain support for development of a business.</li>
</ul>After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Workplace skills - Ways of working', 'Workplace skills - Ways of working - Entrepreneurship']"
https://skills.yourlearning.ibm.com/activity/URL-76C88F33EFAA,entrepreneurship,Webpage,The 9 Different Types of Entrepreneurship | Indeed Career Guide,10 mins,411 learners have completed this activity in the past 12 months.,Average rating of 3.5 stars by 31 learners in the past 12 months.,31,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Entrepreneurs are people who have a passion for creating change in the world. They need a certain set of skills to be effective leaders and innovators. Since there are so many types of businesses, there are also many kinds of entrepreneurship. In this article, we discuss the nine most common types of entrepreneurship.<br/><br/>
 This article is presented by <a href=""https://www.indeed.com/career-advice/"" rel=""noopener noreferrer nofollow"" target=""_blank"">Indeed Career Guide</a>.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.<br/><br/><strong>Note</strong>: This activity is available only in English.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Workplace skills - Ways of working - Entrepreneurship']"
https://skills.yourlearning.ibm.com/activity/URL-AOZLWC3XWFY,entrepreneurship,Video,Who Even Is An Entrepreneur? | Crash Course Business - Entrepreneurship #1,13 mins,403 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 27 learners in the past 12 months.,27,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>You've probably heard the word ""Entrepreneur"" thrown around a lot in business. It conjures images of Elon Musk, Bill Gates, or Oprah Winfrey. But, it goes way beyond that. In this video, you will figure out who Entrepreneurs are and what that title actually means.<br/><br/>
 This video is presented by CrashCourse.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.<br/><br/><strong>Note</strong>: On the video toolbar, go to <strong>Settings</strong>, <strong> </strong>select <strong>Subtitles</strong>, <strong> </strong>select <strong>English</strong>, and then select <strong>Auto-Translate</strong> to enable subtitles in a language of your choice from the drop-down.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Workplace skills - Ways of working - Entrepreneurship']"
