course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/ISG-SLA7240,generative_ai,eLearning,Generative AI in Cybersecurity,1 hr,313 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 11 learners in the past 12 months.,11,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">This event replay is part of the HBCU IBM® Cybersecurity Speaker Lecture series. This lecture covers the generative AI concepts and real-life examples in cybersecurity.This event replay is part of the HBCU IBM® Cybersecurity Speaker Lecture series. This lecture covers the generative AI concepts and real-life examples in cybersecurity.
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain', 'Technical skills - Cybersecurity', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/MDL-571,generative_ai,eLearning,Ethical Considerations for Generative AI,1 hr 30 mins,48 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 4 learners in the past 12 months.,4,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this module, you’ll explore the fascinating and complex world of ethical considerations when creating content with generative AI. You’ll learn about the pillars of transparency, accountability, and fairness. You’ll discover ethical considerations and risks related to data inputs to AI tools and uncover the ethical implications of AI-generated output. Finally, you’ll explore the IBM AI risk atlas, an online resource that helps users understand some of the risks of working with generative AI, foundation models, and machine learning models.</p><p><br/><strong>What you will learn</strong><br/>At the end of this course, you will be able to:<br/> </p><ul><li>Describe the ethical pillars of transparency, accountability, and fairness in the use of generative AI</li><li>Identify ethical considerations and risks related to data inputs in AI tools</li><li>Explain the ethical implications of managing AI-generated content</li></ul><p><br/><strong>Lessons</strong></p><ol><li>Ethics in the use of generative AI</li><li>Managing the ethics of AI inputs for data</li><li>Managing the ethics of AI-generated content</li><li>Simulation: Exploring the IBM AI risk atlas</li></ol></div>","['Initiatives', 'SDI Explore', 'AI2026', 'Academia', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/ISG-DL19010G,generative_ai,eLearning,watsonx Assistant: Virtual Assistants in the Age of Generative AI,1 hr,135 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This introductory course on watsonx Assistant is designed for anyone interested in exploring the latest advancements in Generative AI and how they can enhance customer and employee experiences through the creation of AI assistants.</p>This introductory course on watsonx Assistant is designed for anyone interested in exploring the latest advancements in Generative AI.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-0CA3D2CD593F,generative_ai,Event,"IBM Watsonx Challenge - Foundations, Applications and Hands-On Implementations of Generative AI in Business (Switzerland, February - June 2024)",180 hrs,128 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 16 learners in the past 12 months.,16,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>During this course, students will be able to put their theoretical knowledge into practice with hands-on use cases focusing on generative AI technologies. For the project, they will work in groups of 3 to 5 people. Together, they choose between one of several real-world business challenges from a company, tackle that use case, and present their solution at the end of the semester. Not only will students learn to work with generative AI tools and cloud services, but also how to efficiently and effectively combine them into a system. This is a cross-university course and will be offered at five universities simultaneously. Mixed groups are possible.<br/>
 The semester is split into 2 parts: In the first part, there will be lectures to present the students with the necessary knowledge while the second part gives the students the time to specifically work on the project together. Q&amp;A sessions will be offered to support the teams.</p></div>","['Initiatives', 'Academia']"
https://skills.yourlearning.ibm.com/activity/ILB-XVZNEXKGDVQN2PD3,generative_ai,eLearning,Improve Your Resume Writing with Generative AI,40 mins,33226 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 600 learners in the past 12 months.,600,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this activity-based course, you'll complete a guided activity that demonstrates how to co-write or update your resume using generative AI.</p><p>It is recommended that prior to this course, you complete <a href=""https://skills.yourlearning.ibm.com/activity/MDL-298"" rel=""noopener noreferrer nofollow"" target=""_blank"">Master the Art of Prompting</a> and <a href=""https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3822944"" rel=""noopener noreferrer nofollow"" target=""_blank"">Create a Great Professional Resume.</a><br/><br/><strong>What you’ll learn</strong><br/>After completing this course, you should be able to:</p><ul><li>Identify the rules to follow to write effective prompts to generate focused and accurate results from an AI language model</li><li>Follow the steps to effectively write and refine a series of prompts for generative AI for your resume</li><li>Demonstrate the steps to effectively write and refine your resume</li></ul></div>","['Learning Domain', 'Workplace skills - Workforce readiness', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/MDL-504,generative_ai,eLearning,Use Generative AI for Software Development,1 hr,22911 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 1491 learners in the past 12 months.,"1,491","<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you’ll learn how AI can help you write new code, switch code between programming languages, and fix common coding issues. You’ll get a chance to practice using IBM watsonx in a simulation to generate code with the help of simple prompts. </p><p> </p><p><a href=""https://ole03.yourlearning.ibm.com/mod/scorm/player.php?a=1525&amp;currentorg=articulate_rise&amp;scoid=4579&amp;sesskey=uCpu6ro1ZT&amp;display=popup&amp;mode=normal"" rel=""noopener noreferrer nofollow"" target=""_blank"">Untuk kursus dalam Bahasa, sikahkan menuju tautan berikut ini</a></p><p><br/><br/>What you'll learn</p><ul><li>Describe how generative AI is used to write code</li><li>Identify common issues with AI-generated code</li><li>Use IBM watsonx in a simulation to generate code</li></ul></div>","['Initiatives', 'AI2026', 'SDI Explore', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/MDL-483,generative_ai,eLearning,Creating an Elevator Pitch Using Generative AI,15 mins,1448 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 32 learners in the past 12 months.,32,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this micro learning activity, you will get hands-on practice and tips for writing the best prompts to generate an impressive elevator pitch using an AI large language model.</p><p> </p><p><a href=""https://ole03.yourlearning.ibm.com/mod/scorm/player.php?a=1538&amp;currentorg=articulate_rise&amp;scoid=4605&amp;sesskey=gSVb3kHI0K&amp;display=popup&amp;mode=normal"" rel=""noopener noreferrer nofollow"" target=""_blank"">Untuk kursus dalam Bahasa, sikahkan menuju tautan berikut ini </a></p></div>","['Initiatives', 'AI2026', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/ISG-DL19011G,generative_ai,eLearning,IBM watsonx Orchestrate: Getting Started with Projects in Skill Studio,3 hrs 30 mins,2 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you learn how to create an project on IBM watsonx Orchestrate to streamline a Human Resources (HR) process that involves defining a decision on when the salary range could be automatically approved or sent for manual review.</p>This course is designed to teach users how to create projects on IBM watsonx Orchestrate, by showing examples of decision, workflow, and Generative AI to create skills and automate tasks.
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL19008G,generative_ai,eLearning,IBM watsonx.governance Technical Essentials (Earn a digital credential!),3 hrs,46 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you’ll learn about AI governance and IBM’s comprehensive solution, watsonx.governance. You’ll follow the story of Anna Parker, a chief risk officer for an insurance firm, who wants to implement AI governance in her organization. The course outlines IBM’s methodical and phased strategy for setting up scalable and sustainable AI governance and AI model lifecycle governance. Watsonx.governance equips leaders like Anna to build a structured AI team, complete with dashboards, workflows, and automated risk alerts. By the end of this course, you’ll be able to explain the importance of AI governance, compare the risks of predictive versus generative AI, and outline the solutions IBM products offer to AI governance.</p><p> </p><p><strong>Earn a badge:</strong> Complete this course to earn an industry-recognized IBM digital credential called <a href=""https://www.credly.com/org/ibm/badge/ibm-watsonx-governance-technical-essentials"" rel=""noopener noreferrer nofollow"" target=""_blank""><strong>IBM watsonx.governance Technical Essentials</strong></a>.</p><p> </p><p><strong>Important: </strong>This course is offered on a different learning platform. To access it, you will need to sign up for an IBMid. Signup is easy, and there is no cost.</p><p> </p><p><strong>Audience: </strong>This course is intended for developers, data scientists, data analysts, and others who develop, deploy, or make decisions based on models in production, and who want to track the lifecycle of predictive models and govern AI-based projects.</p><p> </p><p><strong>What you’ll learn</strong></p><p>After completing this course, you should be able to:</p><ul><li>Explain the importance of AI governance</li><li>Identify the risks that are associated with predictive and generative AI-based projects</li><li>Outline the solutions IBM products offer to AI governance</li><li>Relate EU AI act articles to watsonx.governance capabilities</li><li>Use watsonx.governance to create and govern a generative AI-based project</li><li>Compare the risks of predictive versus generative AI</li></ul><p> </p><p><strong>Units</strong></p><ol><li>Introduction</li><li>AI governance</li><li>Governing foundation models</li><li>Epilogue</li></ol></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-W7S169G,generative_ai,eLearning,IBM watsonx.ai Technical Essentials (Earn a digital credential!),3 hrs,199 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 5 learners in the past 12 months.,5,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you’ll explore how watsonx helps developers and AI specialists put AI to work in business. You’ll follow the story of Erik, an AI specialist, who works for a large health products company, and learn the benefits and capabilities of watsonx. You’ll discover the bases of watsonx, such as foundation models and data lakehouses, supported by querying, governance, and open data formats to access and share data. The course concludes with a hands-on exercise creating prompts in the Prompt Lab.</p><p> </p><p><strong>Earn a badge:</strong> Complete this course to earn an industry-recognized IBM digital credential called <a href=""https://www.credly.com/org/ibm/badge/ibm-watsonx-ai-technical-essentials"" rel=""noopener noreferrer nofollow"" target=""_blank""><strong>IBM watsonx.ai Technical Essentials</strong></a>.</p><p> </p><p><strong>Important: </strong>This course is offered on a different learning platform. To access it, you will need to sign up for an IBMid. Signup is easy, and there is no cost.</p><p> </p><p><strong>Audience: </strong>This course is designed for developers, data scientists, AI specialists, watsonx specialists, solution architects, or anyone interested in gaining basic knowledge of foundation models and generative AI with IBM watsonx. </p><p> </p><p><strong>What you’ll learn</strong></p><p>After completing this course, you should be able to:</p><ul><li>Describe the role of the watsonx platform in accelerating the impact of AI</li><li>Explain the components of watsonx</li><li>Differentiate between large language models, foundation models, and generative AI</li><li>Discuss the benefits of an open lakehouse architecture</li><li>Describe the need for governance of AI activities and artifacts</li><li>Explain prompt engineering</li></ul><p> </p><p><strong>Units</strong></p><ol><li>Introduction</li><li>IBM watsonx – An AI and data platform</li><li>IBM watsonx.data – A fit-for-purpose data store</li><li>IBM watsonx.governance – A toolkit for AI governance</li><li>Prompt engineering with watson.ai prompt builder</li></ol></div>","['Initiatives', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/ISG-DL19003G,generative_ai,eLearning,IBM watsonx.data Technical Essentials (Earn a digital credential!),3 hrs,157 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 4 learners in the past 12 months.,4,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you’ll explore data lakehouses and IBM’s open data lakehouse platform, watsonx.data. Watsonx.data is a fit-for-purpose data store, built on an open lakehouse architecture, and tailored for managing governed data and AI tasks across diverse hybrid-cloud settings. You’ll follow the story of Muneiza, a data engineer, who is tasked with evaluating a data lakehouse environment based on watsonx.data. You’ll learn about watsonx.data basics, including its components, use cases, and business value. Demo videos provide insights into how data practitioners can use watsonx.data to define and work with data assets, and access data that lives outside of watsonx.data.</p><p> </p><p><strong>Earn a badge: </strong>Complete this course to earn an industry-recognized IBM digital credential called <a href=""https://www.credly.com/org/ibm/badge/ibm-watsonx-data-technical-essentials"" rel=""noopener noreferrer nofollow"" target=""_blank""><strong>IBM watsonx.data Technical Essentials</strong></a>.</p><p> </p><p><strong>Important: </strong>This course is offered on a different learning platform. To access it, you will need to sign up for an IBMid. Signup is easy, and there is no cost.</p><p> </p><p><strong>Audience: </strong>This course is designed for developers, data engineers, enterprise architects, and others who want to understand how the open and scalable lakehouse architecture of IBM watsonx.data can help accelerate the impact of AI with trusted data.</p><p> </p><p><strong>What you’ll learn</strong></p><p>After completing this course, you should be able to:</p><ul><li>Discuss data’s place in the world of analytics, machine learning, and generative AI</li><li>Describe the limitations of data warehouses and data lakes and the benefits of an open data lakehouse architecture</li><li>Characterize the benefits, value, and use cases for watsonx.data</li><li>Explain the common components of lakehouses and of watsonx.data</li><li>State the primary features and capabilities available in the watsonx.data user interface.</li><li>Summarize watson.data’s integration within an existing data ecosystem</li></ul><p> </p><p><strong>Units</strong></p><ol><li>Introduction</li><li>Evolution of data management for analytics and AI</li><li>IBM watsonx.data – An open data lakehouse platform</li><li>Open source components of watsonx.data</li><li>Tour of the watsonx.data user interface</li><li>Optimize and modernize with watsonx.data</li></ol></div>","['Initiatives', 'SDI', 'Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
