course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-CB42CBF66331,html_css_js,Webpage,"Glosario de comandos para HTML, CSS y JavaScript",30 mins,37 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. </p></div>","['Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'Cascading Style Sheets (CSS) Skill', 'JavaScript (Programming Language) Skill', 'HyperText Markup Language (HTML) Skill']"
https://skills.yourlearning.ibm.com/activity/URL-EAA89F6480FA,html_css_js,Webpage,Learn About Being a Front End Developer | Indeed Career Guide,5 mins,3782 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 117 learners in the past 12 months.,117,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Front-end developers use coding languages like HTML, CSS and JavaScript to implement visual elements into web applications that users see and interact with. In this article, learn about the typical role, salary, requirements, skills, and steps to become a front end web developer.
<br/>
<br/>
This article is presented by Indeed Career Guide.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'Front End (Software Engineering) Skill', 'JavaScript (Programming Language) Skill', 'Cascading Style Sheets (CSS) Skill', 'HyperText Markup Language (HTML) Skill']"
https://skills.yourlearning.ibm.com/activity/URL-71713800C96A,html_css_js,eLearning,Créez des pages web dynamiques avec JavaScript | OpenClassrooms,12 hrs,17 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""fr"" translate=""yes"">Vous maîtrisez les bases du langage JavaScript. Mais est-ce que vous savez comment utiliser le DOM ? Comment récupérer les données d’une API en ligne ? Ou encore utiliser une librairie ?
<br/>
Vous voulez rendre vos pages web dynamiques et interactives, mais vous ne savez pas comment faire ?
<br/>
Dans ce cours, je vais vous aider à créer une interface web à la hauteur de vos ambitions. Au fur et à mesure, nous allons implémenter des fonctionnalités interactives, pour visualiser, trier et ordonner les éléments d’une page et les commentaires des internautes.</div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-DL25488G,html_css_js,eLearning,Quick Starts: Extending DOORS Next with JavaScript,2 hrs,40 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>IBM Engineering Requirements Management DOORS Next behavior may be extended by creating <i>OpenSocial</i> gadgets that may be added to the Mini Dashboard. OpenSocial is a public specification for creating web applications using standard technologies like HTML, CSS, and JavaScript. DOORS Next provides a JavaScript API that allows the OpenSocial gadget to interact with the requirement data and automate complex operations.</p>In this Quick Start, students will learn how to use DOORS Next JavaScript API to allow OpenSocial gadgets to interact with requirement data and automate complex operations.
<p>This course requires you register for an IBMid to access.</p></div>","['Lightcast Skills Taxonomy', 'Operations Skill', 'Cascading Style Sheets (CSS) Skill', 'Application Programming Interface (API) Skill', 'JavaScript (Programming Language) Skill', 'HyperText Markup Language (HTML) Skill']"
https://skills.yourlearning.ibm.com/activity/URL-97241E9ADCC8,html_css_js,eLearning,Building Great Forms with HTML and CSS,6 hrs 59 mins,133 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 4 learners in the past 12 months.,4,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>While creating forms with HTML and CSS is a core web development skill, making great forms requires a lot more than the basics. Emily Kay brings her years of experience working with customers and developers to explain how to create forms people will find useful and even enjoyable. Learn how to set up a basic form and add buttons, toggle switches, date pickers, and more. Become well-versed in form-specific CSS techniques and tricks, and add JavaScript to catapult your forms to the next level. Emily takes you through four start-to-finish projects featuring the most popular types of web forms: login, booking, payment, and search forms. Plus, learn how to incorporate accessibility and form validation and build a post-submission success page to let users know their entries have been accepted.<br/><br/>Note: Usability and layout considerations differ based on device and platform. All of the forms built in this course work equally well on mobile devices and desktops as well as all of the modern browsers.<br/>Learning Objectives:</p><ul><li>Setting up a basic HTML form</li><li>GET and POST methods</li><li>Working with labels</li><li>Using the new input types and attributes</li><li>Creating buttons</li><li>Styling labels and inputs with CSS</li><li>Floating labels</li><li>Creating a login or registration form</li><li>Creating a booking form</li><li>Creating a payment form</li><li>Creating search forms</li><li>Creating cross-device and platform-friendly forms</li><li>Making sure forms are accessible</li><li>Validating form data</li><li>Creating a success page for form submission</li></ul><p>Instructor<br/><a href=""https://www.linkedin.com/learning/instructors/emily-kay"" rel=""noopener noreferrer nofollow"" target=""_blank"">Emily Kay </a><br/><a href=""https://www.linkedin.com/learning/instructors/emily-kay"" rel=""noopener noreferrer nofollow"" target=""_blank"">Web Developer and Graphic Designer </a></p></div>","['Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'Cascading Style Sheets (CSS) Skill', 'Usability Skill', 'Web Development Skill', 'JavaScript (Programming Language) Skill', 'HyperText Markup Language (HTML) Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-2D9E8493C14B,html_css_js,Learning Plan,Enhancing Applications with Embeddable AI,About 5 hours,,Average rating of 5 stars by 5 learners in the past 12 months.,5,"<div dir=""ltr"" lang=""en"" translate=""yes"">Are you ready to build your own applications with AI? Take this ""Enhancing Applications with Embeddable AI"" learning path and explore the exciting world of Embeddable AI technology. Don't worry, you don't need to be an AI engineer or a Data Scientist to get your applications to benefit from the latest in AI technology. Basic programming skills are all you will need to complete the projects on this learning journey. 
<br/>
<br/>
 Throughout this journey, you'll have the opportunity to create applications using: OpenAI and IBM Watson. With hands-on learning, you'll discover how to integrate technology like Text-to-Speech, Speech-to-Text, and Natural Language Process (NLP) into your own applications. 
<br/>
<br/><strong>Courses in this learning plan</strong>
<br/>
 1. Create a Voice Assistant with OpenAI's GPT-3 and IBM Watson 
<br/>
 2. Build a Brand Sentiment Analysis Extension for Twitter 
<br/>
 3. Improve Customer Support with AI-Powered Services  
<br/>
 4. How do people feel about a product? Use AI to get the answer 
<br/>
<br/>
<br/><strong>What you’ll learn</strong>
<br/>
 After completing <em>Enhancing Applications with Embeddable AI</em>, you should be able to: 
<ul>
<li>Understand the basics of chatbots and their various applications</li>
<li>Set up a development environment for building a chatbot using Python, Flask, HTML, CSS, and Javascript</li>
<li>Implement IBM Watson Speech-to-Text functionality to allow the chatbot to understand voice input from users</li>
<li>Integrate the chatbot with OpenAI's GPT-3 model to give it a high level of intelligence and the ability to understand and respond to user requests</li>
<li>Implement IBM Watson Text-to-Speech functionality to allow the chatbot to communicate with users through voice output</li>
<li>Integrate all of the above components to create a functioning chatbot that can take voice input and provide a spoken response</li>
</ul>
<br/>
 The knowledge and skills in these courses build on each other, so SkillsBuild recommends that you complete the courses in the order in which they are presented. 
<br/>
<br/><strong>Language</strong><strong>:</strong> English 
<br/>
   
<br/>
 Select <strong>Start tracking progress</strong> to enroll in this learning plan and get started!</div>","['Learning Domain', 'Technical skills - Artificial Intelligence']"
https://skills.yourlearning.ibm.com/activity/URL-CF870460EAE5,html_css_js,eLearning,Learning Web Audio and Video with HTML and CSS,1 hr 29 mins,117 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 3 learners in the past 12 months.,3,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Need to share video or audio on your sites, but dropping it on YouTube or a podcasting engine isn't an option? Native web technologies—HTML, CSS, and JavaScript—provide direct support for audio and video, letting you incorporate media and fully customize the playback experience. This introductory course with instructor Joseph Labrecque helps you build interactive audio and video into your websites and applications. First review the basics of HTML5 media elements and their attributes. Then discover how to embed media, support fallbacks, and adjust size, volume, and other important settings. Next, learn how to customize interfaces to standardize the look and functionality of your player across different browsers. Plus, find out how to make the user experience fully interactive with the HTML5 Media API.<br/>Learning Objectives:</p><ul><li>Linking to media</li><li>Embedding media</li><li>Modifying your document for audio and video</li><li>Specifying audio sources</li><li>Specifying video height and width</li><li>Ensuring accessibility</li><li>Creating playback controls</li><li>Styling playback controls</li><li>Working with the HTML5 Media API</li></ul><p>Instructor<br/><a href=""https://www.linkedin.com/learning/instructors/joseph-labrecque"" rel=""noopener noreferrer nofollow"" target=""_blank"">Joseph Labrecque </a><br/><a href=""https://www.linkedin.com/learning/instructors/joseph-labrecque"" rel=""noopener noreferrer nofollow"" target=""_blank"">Senior Interactive Software Engineer, Adobe Educator, Studio Head </a></p></div>","['Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'Cascading Style Sheets (CSS) Skill', 'HTML5 Skill', 'Application Programming Interface (API) Skill', 'HyperText Markup Language (HTML) Skill', 'Software Engineering Skill']"
https://skills.yourlearning.ibm.com/activity/MDL-262,html_css_js,eLearning,Developing Sites for the Web,1 hr 40 mins,46278 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 972 learners in the past 12 months.,972,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this course, you’ll learn how web developers create websites. You will learn about common web development languages including HTML, CSS, and JavaScript, and how they have evolved. You will also learn about the software development lifecycle and ways that an agile approach improves web development.<br/><br/><strong>What you’ll learn</strong><br/>After completing this course, you should be able to:<ul><li>Identify the purpose of web browsers</li><li>Describe markup languages and the challenges they can overcome</li><li>Explain the structure, functions, and evolution of HTML</li><li>Identify improvements that HTML5 introduced</li><li>Explain the features and functions of CSS</li><li>Explain the features and functions of JavaScript</li><li>Identify the ways JavaScript interacts with CSS and HTML</li><li>Identify phases in the software development lifecycle (SDLC)</li><li>Differentiate between waterfall and agile approaches to development</li><li>Highlight the scrum framework</li></ul></div>","['Badge Learning', 'Web Development Fundamentals', 'Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'Cascading Style Sheets (CSS) Skill', 'HyperText Markup Language (HTML) Skill', 'Scrum (Software Development) Skill', 'Software Development Life Cycle Skill', 'Agile Methodology Skill', 'HTML5 Skill', 'JavaScript (Programming Language) Skill', 'Systems Development Life Cycle Skill']"
https://skills.yourlearning.ibm.com/activity/MDL-266,html_css_js,eLearning,Develop an Interactive Task List Web Page,1 hr 50 mins,22033 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 426 learners in the past 12 months.,426,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this course, you’ll practice building an interactive task list web page in a series of simulations. You’ll develop code files that lay out the structure of a web page with HTML, add styles with CSS, develop interactions with JavaScript, and then test that your web page functions as expected.<br/><br/><strong>What you’ll learn</strong><br/>After completing this course, you should be able to:<ul><li>Identify the tools and skills to develop a web page</li><li>Review requirements and a wireframe diagram to help inform web development</li><li>Use Visual Studio Code (VS Code) as an integrated development environment (IDE) tool to set up project files and develop a web page</li><li>Create a basic HTML structure to lay out a web page</li><li>Use CSS to add styles to a web page</li><li>Use JavaScript to create interactive elements on a web page   </li><li>Perform a simple functional test on a web page</li></ul></div>","['Badge Learning', 'Web Development Fundamentals', 'Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'Cascading Style Sheets (CSS) Skill', 'HyperText Markup Language (HTML) Skill', 'JavaScript (Programming Language) Skill', 'Wireframing Skill']"
https://skills.yourlearning.ibm.com/activity/MDL-264,html_css_js,eLearning,Bringing Websites to Life with JavaScript,2 hrs,41428 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 615 learners in the past 12 months.,615,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this course, you’ll learn how web developers use JavaScript with HTML to create dynamic websites. You’ll examine JavaScript syntax and how variables, functions, expressions, and events operate in JavaScript code. You’ll explore how web developers use data in websites and MySQL code to work with the data. You’ll also learn about Node.js and the advantages of using frameworks and libraries.<br/><br/><strong>What you’ll learn</strong><br/>After completing this course, you should be able to:<ul><li>Explain JavaScript syntax</li><li>Identify techniques web developers use to include JavaScript in HTML</li><li>Compare and contrast different programming models</li><li>Explain how to use code objects</li><li>Explain how variables, functions, expressions, operators, and events operate in JavaScript code for dynamic websites</li><li>Define common types of data</li><li>Identify the four primary database functions</li><li>Recognize simple MySQL syntax to create a database and work with data</li><li>Explain the purpose and function of Node.js</li></ul><br/><strong>Prerequisites</strong><br/>Before starting this course, you will need knowledge of:<ul><li>The basic functions of a computer and the layers of computer architecture</li><li>The structure of HTML, CSS, and JavaScript</li></ul><br/>You can gain this knowledge by completing the <em>Web Development Basics</em> and <em>Developing Sites for the Web</em> courses in the <strong>Web Development Fundamentals</strong> learning plan.</div>","['Badge Learning', 'Web Development Fundamentals', 'Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'Cascading Style Sheets (CSS) Skill', 'HyperText Markup Language (HTML) Skill', 'JavaScript (Programming Language) Skill', 'Web Development Skill']"
