course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:BIGDATAUNIVERSITY+ML0111EN+V1,machine_learning,eLearning,Machine learning with Apache SystemML,3 hrs,11 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Apache SystemML is a declarative style language designed for large-scale machine learning. It provides automatic generation of optimized runtime plans ranging from single-node, to in-memory, to distributed computations on Apache Hadoop and Apache Spark. SystemML algorithms are expressed in R-like or Python-like syntax that includes linear algebra primitives, statistical functions and ML-specific constructs.</p></div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Lightcast Skills Taxonomy', 'Apache Hadoop Skill', 'Algorithms Skill', 'R (Programming Language) Skill', 'Linear Algebra Skill', 'Machine Learning Skill', 'Apache Spark Skill', 'Python (Programming Language) Skill']"
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:BIGDATAUNIVERSITY+ML0151EN+V1,machine_learning,eLearning,Machine Learning with R,3 hrs,45 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This Machine Learning with R course dives into the basics of machine learning using an approachable, and well-known, programming language. You'll learn about Supervised vs Unsupervised Learning, look into how Statistical Modeling relates to Machine Learning, and do a comparison of each.</p></div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Lightcast Skills Taxonomy', 'Machine Learning Skill']"
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:IBM+GPXX0SPHEN+V1,machine_learning,eLearning,Machine Learning for Sequential Data,,,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this project, we will analyze various sequential data types like text streams, audio clips, time-series data, and genetic data, and understand pre-processing techniques associated with each.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:BDU+ML0101EN+V4,machine_learning,eLearning,Machine Learning with Python,3 hrs,459 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 81 learners in the past 12 months.,81,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Are the phrases ‘it is certain’, ‘yes you may rely on it’, ‘reply hazy try again’ common in your predictions? Make room on your shelf for your magic eight ball and take this opportunity to see how Machine Learning can be a beneficial tool for predicting future trends. All with a bit more than oil and blue die. All signs point to yes as an indicator you will benefit from this experience.<br/><br/><strong>Note on grading - please read:</strong><br/><br/>Review questions are worth 50% of the mark, and the final exam is worth 50%. The course passing grade is <strong>70%</strong>.<ul><li><strong>Review Questions:</strong><ul><li>Have no time limit. This should encourage participants to go back to material previously explained to find the correct answer.</li><li>Multiple choice questions have two chances while True/False questions only have one chance.</li><li>Review questions are marked <strong>per question</strong>. As soon as you answer a particular question, when the “Final check” button appears, it means you will have no more chances after clicking that button, and your answer will be immediately marked and cannot be changed (ever). You will be able to see your grade progress at any time using the “Progress” tab.</li></ul></li></ul><ul><li><strong>Final Exam:</strong><ul><li>Has a 1-hour time limit</li><li>Like Review Questions, as you click on “Final check” per question, you will be marked.</li></ul></li></ul></div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence', 'Lightcast Skills Taxonomy', 'Python (Programming Language) Skill', 'Machine Learning Skill']"
https://skills.yourlearning.ibm.com/activity/URL-17AD64C4DC08,machine_learning,eLearning,Learning path: Get started with machine learning | IBM Developer,2 hrs,786 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 25 learners in the past 12 months.,25,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">This is a beginner-level learning path is designed for anyone interested in quickly getting up to speed with machine learning. The learning path consists of step-by-step tutorials with hands-on demonstrations where you will build models and use them in apps. You’ll use Python and scikit-learn to build and test the models.
<br/>
<br/>
Upon completion of this learning path, you will be able to:
<ul>
<li>Understand what machine learning is</li>
<li>Understand supervised versus unsupervised learning</li>
<li>Perform data exploration and preprocessing</li>
<li>Prepare and train a classification model</li>
<li>Understand linear regression</li>
<li>Know the basics of solving a classification-based machine learning problem</li>
<li>Understand and use clustering algorithms using Python and scikit-learn</li>
</ul>
<br/>
This learning path is presented by IBM Developer.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence', 'Lightcast Skills Taxonomy', 'Machine Learning Skill', 'Python (Programming Language) Skill', 'Algorithms Skill']"
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:IBM+GPXX0TUZEN+V1,machine_learning,eLearning,World Cup Soccer game Prediction Using Machine Learning,,,Average rating of 3 stars by 5 learners in the past 12 months.,5,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Despite the controversies, the first Winter World Cup is coming! People always care about the result of the World Cup. How to make a data-driven forecast? Here in this project, we will let you know how to use a very simple machine-learning model to predict a sports game. The result includes the predicted result of each group stage game in the 2022 FIFA World Cup. We also use **LIME** (Local Interpretable Model-Agnostic Explanations and **SHAP** (SHapley Additive exPlanations) to understand what factors influence the outcome of the game.</p></div>","['Learning Domain', 'Other - Game Design and Development']"
https://skills.yourlearning.ibm.com/activity/URL-249239677781,machine_learning,eLearning,Create a machine learning web app to predict your insurance premium cost,3 hrs,14 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Create a web application that uses linear regression to predict your insurance premium cost with IBM Watson Studio and AutoAI.  In this application, we study the effects of age, smoking, BMI, gender, and region to determine how much of a difference these factors can make on your insurance premium.</p>
<p>We recommend to familiarize with this conecpts/tech before start this project:</p>
<p>Github CLI<br/>
 IBM Cloud dashboard and services<br/>
 Jupyter Notebooks<br/>
 IBM Watson Studio<br/><br/>
  </p></div>",[]
https://skills.yourlearning.ibm.com/activity/AB-A3C2A75CA749,machine_learning,Learning,ML from plan 2,30 mins,13 learners have completed this activity in the past 12 months.,Average rating of 2 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>ML from plan 2ML from plan 2ML from plan 2ML from plan 2ML from plan 2</p></div>","['Lightcast Skills Taxonomy', 'Machine Learning Skill']"
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:COGNITIVECLASS+TA0105EN+V1,machine_learning,eLearning,Text Analytics 101,3 hrs,14 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>From social media to news articles to machine logs, text data is everywhere. This class will teach you about Information Extraction: how to extract structured data from text in order to derive valuable insights.</p></div>","['Learning Domain', 'Technical skills - Data']"
https://skills.yourlearning.ibm.com/activity/URL-F48731A1DF07,machine_learning,eLearning,Summarize a video or audio file using IBM Watson,3 hrs,25 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Use speech-to-text and transformer or machine learning-based models to generate a summary and insights from video or audio files</p>
<p>In this code pattern, learn how to build an end-to-end framework to generate summaries and insights from video and audio files by using a combination of IBM and open source technologies.</p>
<p>We recommend to familiarize with this technology/services before attempting this project:<br/>
 - Github CLI<br/>
 - IBM Cloud dashboard and services<br/>
 - Jupyter Notebooks<br/>
 - Python<br/>
 - Docker Containers</p></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-SLA7038,machine_learning,eLearning,IBM Security Expert Lecture: AI in threat management,54 mins,131 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">This lecture and its demonstrations cover use of artificial intelligence (AI) and machine learning (ML) to augment human analysis in security event and incident detection, disposition, and recommendation.This lecture and its demonstrations cover use of artificial intelligence (AI) and machine learning (ML) to augment human analysis in security event and incident detection, disposit
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/ISG-W7S151G,machine_learning,eLearning,Introduction to Intelligent Virtual Agents (IVAs) with IBM watsonx Assistant,3 hrs,170 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 6 learners in the past 12 months.,6,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course introduces IBM watsonx Assistant and focuses on actions that are built with steps. An understandable sense of confusion exists about terms such as chatbot, ChatGPT, and intelligent virtual agents. In this course, you learn about the underlying artificial intelligence, machine learning, and natural language understanding for the nontechnical Subject Matter Expert (SME).</p>This course introduces the IBM watsonx Assistant that focuses on actions and steps to build an AI Assistant.
<p>This course requires you register for an IBMid to access.</p></div>","['Learning Domain', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/SN-COURSE-V1:BDU+BD0221EN+V1,machine_learning,eLearning,Spark MLlIB,3 hrs,1 learner has completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Spark provides a machine learning library known as MLlib. MLlib provides various machine learning algorithms such as classification, regression, clustering, and collaborative filtering. It also provides tools such as featurization, pipelines, persistence, and utilities for handing linear algebra operations, statistics and data handling.</p></div>","['Learning Domain', 'Technical skills - Data', 'Lightcast Skills Taxonomy', 'Apache Spark Skill', 'Linear Algebra Skill', 'Statistics Skill', 'Machine Learning Skill', 'Operations Skill']"
https://skills.yourlearning.ibm.com/activity/ISG-DL00200G,machine_learning,eLearning,IBM Z Tech Bytes - November 2024 - Hybrid Cloud and AI,4 hrs,10 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>To earn the ""IBM Z Tech Bytes - November 2024 - Hybrid Cloud and AI"" badge, participants must attend three required sessions, covering key topics including Ansible with z/OS, AIOps with IBM Z, and Explainable AI with Machine Learning for z/OS. After attending or watching the replays, you'll take a quiz to test your understanding of the concepts presented. Successful completion of both requirements will earn you a digital badge to showcase your technical skills in the area of Hybrid Cloud &amp; AI on IBM Z and LinuxONE.</p>Attend three Z Tech Bytes required sessions and pass the quiz to earn the ""IBM Z Tech Bytes - November 2024 - Hybrid Cloud and AI"" badge.
<p>This course requires you register for an IBMid to access.</p></div>",[]
