course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-64E6E93A36A0,react,Learning,Introduction to React,30 mins,92 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 6 learners in the past 12 months.,6,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>An introduction to React with the following topics:</p><ul><li><a href=""https://fullstackopen.com/en/part1/introduction_to_react#component"" rel=""noopener noreferrer nofollow"" target=""_blank"">Component</a></li><li><a href=""https://fullstackopen.com/en/part1/introduction_to_react#jsx"" rel=""noopener noreferrer nofollow"" target=""_blank"">JSX</a></li><li><a href=""https://fullstackopen.com/en/part1/introduction_to_react#multiple-components"" rel=""noopener noreferrer nofollow"" target=""_blank"">Multiple components</a></li><li><a href=""https://fullstackopen.com/en/part1/introduction_to_react#props-passing-data-to-components"" rel=""noopener noreferrer nofollow"" target=""_blank"">props: passing data to components</a></li><li><a href=""https://fullstackopen.com/en/part1/introduction_to_react#some-notes"" rel=""noopener noreferrer nofollow"" target=""_blank"">Some additional notes</a></li><li><a href=""https://fullstackopen.com/en/part1/introduction_to_react#exercises-1-1-1-2"" rel=""noopener noreferrer nofollow"" target=""_blank"">Put your aqcired knowledge into practice with exercises 1.1.-1.2.</a></li></ul>Optionally, continue to sections b) Javascript, c) Component state, event handlers and d) A more complex state, bebugging React apps.</div>","['Lightcast Skills Taxonomy', 'JavaScript (Programming Language) Skill', 'React.js Skill']"
https://skills.yourlearning.ibm.com/activity/URL-B1997903E16B,react,eLearning,Introduction to JavaScript and React 3/6,30 mins,162 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 8 learners in the past 12 months.,8,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>React Introduction course.<br/>React is a tool for building UI components.</p></div>","['Lightcast Skills Taxonomy', 'JavaScript (Programming Language) Skill', 'React.js Skill']"
https://skills.yourlearning.ibm.com/activity/URL-DA9E33D73606,react,eLearning,Introduction to JavaScript and React 4/6,2 hrs,81 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 11 learners in the past 12 months.,11,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This course focuses on component state, event handlers<br/> </p></div>","['Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'JavaScript (Programming Language) Skill', 'React.js Skill']"
https://skills.yourlearning.ibm.com/activity/URL-11E1142444D2,react,eLearning,Débutez avec React | OpenClassrooms,8 hrs,30 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""fr"" translate=""yes"">Vous avez sûrement déjà entendu parler de React.
<br/>
Utilisée par les entreprises géantes de la Tech comme Facebook, Twitter ou Netflix, il s'agit de l'une des bibliothèques JavaScript les plus populaires pour construire des interfaces web. Son approche par composants réutilisables en fait un outil particulièrement modulaire pour développer vos applications.
<br/>
Dans ce cours, vous construirez pas à pas votre première application React, en l'enrichissant de nouvelles fonctionnalités au fil des notions maîtrisées.
<br/>
Nous commencerons par nous <strong>initier au fonctionnement de React et à la syntaxe JSX</strong> avec un outil simple en ligne. Puis nous <strong>créerons les bases de notre application</strong> complète avec Create React App, à laquelle nous ajouterons du style, et du contenu ! La dernière partie sera l'occasion d'aborder le state et les effets de bord, afin de <strong>rendre l’application interactive </strong>pour l’utilisateur. </div>",[]
https://skills.yourlearning.ibm.com/activity/URL-23A8A189D7F5,react,eLearning,Introduction to JavaScript and React 1/6,3 hrs 30 mins,5399 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 121 learners in the past 12 months.,121,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Familiarize ourselves with the React-library, which we will be using to write the code that runs in the browser. We will also look at some features of JavaScript that are important for understanding React.</p></div>","['Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'React.js Skill', 'JavaScript (Programming Language) Skill']"
https://skills.yourlearning.ibm.com/activity/URL-3DD4B2B3FAFA,react,eLearning,Introduction to JavaScript and React 6/6,1 hr 30 mins,184 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 14 learners in the past 12 months.,14,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>JavaScript For Loop.<br/>Loops can execute a block of code a number of times.</p></div>","['Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'JavaScript (Programming Language) Skill', 'React.js Skill']"
https://skills.yourlearning.ibm.com/activity/URL-8B98F5FA88F2,react,eLearning,Introduction to JavaScript and React 5/6,1 hr,108 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 15 learners in the past 12 months.,15,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>JavaScript if else and else if<br/>Conditional statements are used to perform different actions based on different conditions.</p></div>","['Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'JavaScript (Programming Language) Skill', 'React.js Skill']"
https://skills.yourlearning.ibm.com/activity/URL-37B1AD3F2E31,react,eLearning,Introduction to JavaScript and React 2/6,1 hr,6148 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 61 learners in the past 12 months.,61,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>A <strong>computer program</strong> is a list of ""instructions"" to be ""executed"" by a computer.<br/>In a programming language, these programming instructions are called <strong>statements</strong>.<br/>A <strong>JavaScript program</strong> is a list of programming <strong>statements</strong>.<br/> </p></div>","['Learning Domain', 'Technical skills - Web Development', 'Lightcast Skills Taxonomy', 'JavaScript (Programming Language) Skill', 'React.js Skill']"
https://skills.yourlearning.ibm.com/activity/URL-B310E32FD59D,react,eLearning,Website Development Level 1 Front end Dev. (UX),5 mins,1189 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 8 learners in the past 12 months.,8,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Learn how to build up a website: everything you need to know about HTML, CSS, Javascript, Bootstrap and React JS! 
<br/>
 Suitable for beginners</div>",[]
https://skills.yourlearning.ibm.com/activity/URL-F7E269DD552C,react,eLearning,Forms 5/5,1 hr,67 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 2 learners in the past 12 months.,2,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>JavaScript Events. HTML events are <strong>""things""</strong> that happen to HTML elements.<br/>When JavaScript is used in HTML pages, JavaScript can <strong> ""react""</strong> on these events.<br/> </p></div>","['Lightcast Skills Taxonomy', 'HyperText Markup Language (HTML) Skill', 'JavaScript (Programming Language) Skill', 'React.js Skill']"
