course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-7C134E7D8349,technology_skills,Webpage,Quantum computing for the very curious,1 hr,166 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 13 learners in the past 12 months.,13,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Understand what is Quantum computing, the quantum serach algorithm and quantum mechanics</p></div>","['Learning Domain', 'Technical skills - Information Technology']"
https://skills.yourlearning.ibm.com/activity/URL-E64CC50D534D,technology_skills,Webpage,IBM Watson IoT Online Academy,15 mins,715 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 6 learners in the past 12 months.,6,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">From the fundamentals of IoT to in-depth courses on IBM's Watson IoT offerings, explore this site if you're looking to develop your IoT skills. 
<br/>
<br/><strong>Note:</strong> This activity is currently available only in English.</div>","['Learning Domain', 'Technical skills - Information Technology']"
https://skills.yourlearning.ibm.com/activity/URL-3DA50951C959,technology_skills,Webpage,What is a mainframe? | IBM,15 mins,646 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 23 learners in the past 12 months.,23,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Mainframes are data servers designed to process up to 1 trillion web transactions daily with the highest levels of security and reliability. Check out this high-level overview of the how, who, what, and what's next for mainframes with links to dive deeper.</p></div>","['Learning Domain', 'Technical skills - Information Technology', 'Lightcast Skills Taxonomy', 'Mainframe Computing Skill']"
https://skills.yourlearning.ibm.com/activity/URL-C9LQUI3VMJ8,technology_skills,Video,AI and Its Impact On Our Daily Lives | IBM,9 mins,1907 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 36 learners in the past 12 months.,36,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""es-la"" translate=""yes""><p>In this video, Master Inventor Martin Keen talks about how long it takes, on average, for technologies to become seamlessly integrated into our lives, what factors affect the speed of that adoption - and how you can learn and build your skills with this new technology.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-2EE16BAAB150,technology_skills,Experiential,Interactive 3D view of mainframes | IBM,15 mins,576 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 24 learners in the past 12 months.,24,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Take an interactive tour of IBM’s various mainframes, starting with IBM z16.</p></div>","['Learning Domain', 'Technical skills - Information Technology', 'Lightcast Skills Taxonomy', 'Mainframe Computing Skill']"
https://skills.yourlearning.ibm.com/activity/URL-OJBOPXU0WJY,technology_skills,Guidance,Tour of Docker/Containers — Call for Code tech demo | IBM Developer,7 mins 43 s,77 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 3 learners in the past 12 months.,3,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Interested in getting started with containers? Learn how to take an existing application and easily put it in a Docker container in this tech demo. 
<br/>
<br/>
This demo video is offered by the Call for Code team in IBM Developer.</div>","['Learning Domain', 'Technical skills - Information Technology', 'Lightcast Skills Taxonomy', 'Docker (Software) Skill']"
https://skills.yourlearning.ibm.com/activity/URL-JZHLFBWBUQ8,technology_skills,Video,Quantum Mechanics,20 hrs,62 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 10 learners in the past 12 months.,10,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Lectures of Leonard Susskind's Modern Physics course concentrating on Quantum Mechanics. From Stanford University</p></div>","['Learning Domain', 'Technical skills - Information Technology']"
https://skills.yourlearning.ibm.com/activity/URL-7CE3CE3C61A6,technology_skills,eLearning,IBM Z Tutorials | IBM,30 mins,326 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 9 learners in the past 12 months.,9,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Use these tutorials for step-by-step instructions that a developer can follow to complete a specific task or set of tasks.</p></div>","['Learning Domain', 'Technical skills - Information Technology']"
https://skills.yourlearning.ibm.com/activity/URL-1B7CF5C58FB0,technology_skills,Book/Article,Reinventing Data Processing with Quantum Computing,20 mins,64 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 3 learners in the past 12 months.,3,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Read about how Intel in producing quantum processors and doing system-level engineering that targets production-level quantum computing within ten years</p></div>","['Learning Domain', 'Technical skills - Information Technology', 'Technical skills - Data']"
https://skills.yourlearning.ibm.com/activity/URL-566C223119CC,technology_skills,Experiential,IBM Quantum Experience,16 hrs,38 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 1 learner in the past 12 months.,1,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>IBM Quantum Experience is a cloud application for programming real quantum hardware and high performance simulators.</p></div>","['Learning Domain', 'Technical skills - Information Technology']"
https://skills.yourlearning.ibm.com/activity/URL-620383153814,technology_skills,eLearning,Learn quantum computing: a field guide | IBM Quantum Composer,1 hr,132 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 6 learners in the past 12 months.,6,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Explore topics on concepts and important circuits that make up the foundation of quantum computing, and try them out on IBM Quantum Composer.</p></div>","['Learning Domain', 'Technical skills - Information Technology']"
https://skills.yourlearning.ibm.com/activity/URL-FFF87FDEDA39,technology_skills,Webpage,IBM Z Code Patterns |IBM,30 mins,273 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 7 learners in the past 12 months.,7,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Learn how to work with code patterns to offer up complete solutions to problems that developers face every day. Code patterns leverage multiple technologies, products, or services to solve issues that our developer advocates have recognized as common use cases across multiple industries.</p></div>","['Learning Domain', 'Technical skills - Information Technology', 'Lightcast Skills Taxonomy', 'Advocacy Skill']"
https://skills.yourlearning.ibm.com/activity/URL-QSIPNHOIMOE,technology_skills,Video,How It Works: Internet of Things | IBM Think Academy,3 mins 39 s,1724 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 11 learners in the past 12 months.,11,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">The Internet of Things gives us access to the data from millions of devices. But how does it work, and what can we do with all that data?
<br/>
<br/>
This video is presented by IBM Think Academy.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Technical skills - Information Technology']"
