course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/PLAN-C4F11332E454,user_experience,Learning Plan,UX Express: User Experience Design Essentials in Minutes!,About 20 minutes,21 learners have completed this activity in the past 12 months.,,5,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Ever wonder who decides how the digital tools you use every day look, feel, and work? This primer introduces you to key parts of the user experience (UX) design process, offering insights into how technology is crafted from the ground up.</p>
<p> </p>
<p>Select <strong>Enroll</strong> to enroll in this learning plan.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/MDL-490,user_experience,eLearning,Learning Journey Overview: User Experience Designer Certificate,30 mins,55 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 4 learners in the past 12 months.,4,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this orientation module to the IBM SkillsBuild User Experience Designer Certificate, you’ll learn about the skills you’ll acquire throughout your learning journey and how the course is designed. You can return to this module at any time for guidance and support. <br/><br/><strong>Topics</strong> </p><ul><li>Course navigation </li><li>Best practices for learning online </li><li>Design elements <ul><li>Technical skills and course structure </li><li>Employability and career management skills </li><li>Experiential learning </li><li>Assessments </li></ul></li><li>The role of digital credentials </li><li>Frequently asked questions, or FAQs</li></ul></div>",[]
https://skills.yourlearning.ibm.com/activity/ISG-C110060G,user_experience,eLearning,"Negotiating Service Level Objectives, Service Level Indicates, and Error Budgets and the User Experience",30 mins,12 learners have completed this activity in the past 12 months.,,,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this course, you will discover how to negotiate service level objectives, indicators, and agreements, as well as discover how error budgets impact the user experience.</p>This course reviews how to negotiate SLOs and identify SLIs, along with reviewing Error Budgets and how to quantify risks to the user experience. 
<p>This course requires you register for an IBMid to access.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/PLAN-3749C72117E2,user_experience,Learning Plan,User Experience Design Fundamentals (Earn a credential!),About 12 hours,2265 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 236 learners in the past 12 months.,236,"<div dir=""ltr"" lang=""en"" translate=""yes""><p>Are you passionate about creating exceptional user experiences? UX design is a dynamic and in-demand field that focuses on crafting digital products that are intuitive, user-friendly, and visually appealing. Learn about design concepts and the UX design process, from conducting research to creating wireframes and prototypes to conducting usability tests and implementing feedback. Through an example UX design case study, apply your learning of UX design principles and practices. Finish by gathering tips and resources that can help you launch a great career in UX Design. <br/><br/>
 Complete the following required courses to earn an industry-recognized IBM SkillsBuild digital credential called <strong>User Experience Design Fundamentals</strong>:<strong> </strong></p>
<ol>
<li>Introduction to UX Design</li>
<li>Conducting UX Research</li>
<li>Building a Story-based Design</li>
<li>Wireframing and Prototyping</li>
<li>Conducting Usability Tests and Gathering Feedback</li>
<li>Working Collaboratively with Teams on UX Design Projects</li>
<li>Your Future in UX Design: The Job Landscape </li>
</ol>
<p><br/><strong>What you’ll learn</strong> <br/>
 After completing <i>User Experience Design Fundamentals</i>, you should be able to:</p>
<ul>
<li>Explain user experience (UX) design and the qualities required to be a great UX designer</li>
<li>Identify the methods and techniques to conduct UX research and create user personas</li>
<li>Explain the value and process to create user stories, user journeys, and user flows, and solution sketches</li>
<li>Differentiate between information architecture (IA) and a site map</li>
<li>Explain the purpose and application of the different fidelities of wireframes</li>
<li>Explain the value and techniques of prototyping</li>
<li>Explain the goals, essential elements, and process to conduct usability tests and incorporate feedback to improve and finalize UX designs</li>
<li>Identify the roles on a UX design project team and explain the benefits of working on a cross-functional team</li>
<li>Identify the design artifacts to hand off for development</li>
<li>Review an example UX design case study for a website redesign project to make conclusions about applying UX design principles and techniques</li>
<li>Recognize the job market, responsibilities, and skill sets of roles in the UX design field, and resources and learning opportunities to explore</li>
</ul>
<p>  <br/>
 The knowledge and skills in these courses build on each other, so SkillsBuild recommends that you complete the courses in the order in which they are presented. <br/><br/><strong>Language:</strong> English, Brazilian Portuguese, French, Spanish<br/>
   <br/>
 Select <strong>Enroll </strong>to enroll in this learning plan and get started!</p></div>","['Badge Learning', '000 All digital credentials', 'User Experience Design Fundamentals', 'Learning Domain', 'Technical skills - User experience design (UX Design)', 'Learning Domain Primary', 'UX design']"
https://skills.yourlearning.ibm.com/activity/URL-C333BEB6AD6B,user_experience,Video,UX research methods| IBM SkillsBuild,3 mins,60 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 4 learners in the past 12 months.,4,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>UX designers plan and research potential user of their products or service to ensure the design is impactful and delivers a great experience.  This video defines the four main UX research methods and how each method contributes to the final design of a product or service.</p></div>",[]
https://skills.yourlearning.ibm.com/activity/URL-94CD64B9D826,user_experience,eLearning,UX Basics: Study Guide | Nielsen Norman Group,1 hr,722 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 20 learners in the past 12 months.,20,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Unsure where to start learing about UX design? Use this collection of links to articles and videos to learn more about the basics of user experience.
<br/>
<br/>
This is offered by the Nielsen Norman Group.</div>","['Learning Domain', 'Technical skills - User experience design (UX Design)']"
https://skills.yourlearning.ibm.com/activity/URL-1383CAE18562,user_experience,Video,Creating a UX Design Portfolio Case Study | Nielsen Norman Group,3 mins,543 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 18 learners in the past 12 months.,18,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Learn about a 7-step process for creating a case study for your portfolio: how to describe your design, the UX process that led to this specific user interface, and the business impact of the design.
<br/>
<br/>
This is a video by Rachel Krause for the Nielsen Norman Group.</div>","['Learning Domain', 'Technical skills - User experience design (UX Design)']"
https://skills.yourlearning.ibm.com/activity/URL-6E6E249728B3,user_experience,Webpage,The Future of UX Design: How AI and Machine Learning Are Changing the Way We Design | UX Magazine,4 mins,565 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 17 learners in the past 12 months.,17,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Discover how artificial intelligence (AI) and machine learning (ML)  are shaping the future of UX design and revolutionizing user experiences.
<br/>
<br/>
This article by Ali Abdu is offered by UX Magazine.</div>","['Learning Domain', 'Technical skills - User experience design (UX Design)', 'Technical skills - Artificial Intelligence', 'Learning Domain Primary', 'Artificial intelligence']"
https://skills.yourlearning.ibm.com/activity/PLAN-CDE70BD93716,user_experience,Learning Plan,Especialista en Web3,Hours,7 learners have completed this activity in the past 12 months.,Average rating of 3 stars by 5 learners in the past 12 months.,5,"<div dir=""ltr"" lang=""en"" translate=""yes"">Este plan de formación proporciona los conocimientos técnicos necesarios para trabajar como Web3 Front End developer, UI/UX Blockchain Designer o Smart Contrat Developer. 
<br/>
<br/> </div>","['Lightcast Skills Taxonomy', 'User Experience (UX) Skill']"
https://skills.yourlearning.ibm.com/activity/URL-D5E602E459A6,user_experience,Webpage,What is human-centered design? A complete guide | UX Design Institute,7 mins,569 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 15 learners in the past 12 months.,15,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Check out this complete guide explaining what human-centered design is, why it matters, the process it follows, its core principles, and examples.
<br/>
<br/>
This is offered by the UX Design Institute.</div>","['Learning Domain', 'Technical skills - User experience design (UX Design)']"
