course_url,category,type,title,duration,learners_amount,star_rating,star_num_ratings,description,tags
https://skills.yourlearning.ibm.com/activity/URL-2F73FCC7ACF0,ways_of_working,eLearning,Fostering collaboration,10 mins,1005 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 39 learners in the past 12 months.,39,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">In this toolkit, learn about collaboration skills and why they're important in the workplace. Take some action steps to improve your collaboration skills today! 
<br/>
 </div>","['Content Provider', 'IBM', 'Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Popular Subjects', 'Collaboration']"
https://skills.yourlearning.ibm.com/activity/URL-E73F2B2A6004,ways_of_working,eLearning,Learning to lead,10 mins,584 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 26 learners in the past 12 months.,26,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>In this toolkit, learn about leadership skills and why they're important in the workplace.</p></div>","['Content Provider', 'IBM', 'Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Popular Subjects', 'Leadership', 'Lightcast Skills Taxonomy', 'Leadership Skill']"
https://skills.yourlearning.ibm.com/activity/URL-D13EDA8086A8,ways_of_working,Webpage,Top 6 Attributes of a Leader for the Digital Era,30 mins,182 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 7 learners in the past 12 months.,7,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Learn what great leadership looks like in the digital age.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Popular Subjects', 'Leadership', 'Lightcast Skills Taxonomy', 'Leadership Skill']"
https://skills.yourlearning.ibm.com/activity/PLAN-97AD34FF919F,ways_of_working,Learning Plan,Fundamentos del mundo digital,Hours,14 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 11 learners in the past 12 months.,11,"<div dir=""ltr"" lang=""es"" translate=""yes""><p>En este plan de formación ahondaremos en los fundamentos básicos del mundo digital, aclarando conceptos fundamentales relacionados con las TICs, búsqueda de empleo, creación de marca personal así como los princincipios básicos del design thinking.</p></div>","['Learning Domain', 'Workplace skills - Ways of working']"
https://skills.yourlearning.ibm.com/activity/URL-14FB67BD6BCC,ways_of_working,Book/Article,4 collaboration skills that bring teams together | Slack,4 mins,928 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 45 learners in the past 12 months.,45,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>Learn about tactics to create workplace collaboration skills that foster connection.<br/><br/>
 This article is presented by Slack. It is available in English.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete </strong>for completion credit.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills']"
https://skills.yourlearning.ibm.com/activity/URL-FDIPZBS4T6Q,ways_of_working,Video,Wie man ein starkes Profil erstellt | LinkedIn,2 mins,374 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 8 learners in the past 12 months.,8,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""de"" translate=""yes""><p>Ein LinkedIn-Mitarbeiter erklärt, wie man am meisten aus einem Profil herausholen kann.<br/><br/>
 Nachdem Sie diese Aktivität abgeschlossen haben, kehren Sie zu dieser Seite zurück, um sie mit der Option <strong>Als abgeschlossen markieren</strong> (Mark complete).</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills']"
https://skills.yourlearning.ibm.com/activity/URL-645446166E29,ways_of_working,Book/Article,Design Thinking: Eine kurze Einführung | Innovators Guide Schweiz,1 hr,940 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 62 learners in the past 12 months.,62,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""de"" translate=""yes""><p>Die Innovationsmethode stellt die NutzerInnen in den Mittelpunkt.<br/><br/>
 Nachdem Sie diese Aktivität abgeschlossen haben, kehren Sie zu dieser Seite zurück, um sie mit der Option <strong>Als abgeschlossen markieren</strong> (Mark complete).</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills', 'Popular Subjects', 'Design thinking']"
https://skills.yourlearning.ibm.com/activity/URL-4E0D9B599A7A,ways_of_working,Book/Article,Design for Delight: Essential design thinking resources to support creative problem solving | IBM Developer,10 mins,183 learners have completed this activity in the past 12 months.,Average rating of 4.5 stars by 12 learners in the past 12 months.,12,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes"">Intuit's design thinking framework is called Design for Delight, or D4D. This methodology might help Call for Code developers create durable, transformative solutions.
<br/>
<br/>
After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</div>","['Learning Domain', 'Workplace skills - Ways of working']"
https://skills.yourlearning.ibm.com/activity/URL-L0VH1TJWPH0,ways_of_working,Video,10 Tipps für deine Video-Bewerbung | Lehrlings - TV,3 mins,676 learners have completed this activity in the past 12 months.,Average rating of 4 stars by 11 learners in the past 12 months.,11,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""de"" translate=""yes""><p>Wie sich dein Bewerbungsvideo von anderen Videos unterscheiden sollte.<br/><br/>
 Nachdem Sie diese Aktivität abgeschlossen haben, kehren Sie zu dieser Seite zurück, um sie mit der Option <strong>Als abgeschlossen markieren</strong> (Mark complete).</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills']"
https://skills.yourlearning.ibm.com/activity/URL-FFF6E9C2B4FB,ways_of_working,Webpage,IBM Diversity and Inclusion| IBM,20 mins,297 learners have completed this activity in the past 12 months.,Average rating of 5 stars by 13 learners in the past 12 months.,13,"<h2 class=""FullPageDescription_title__WsNdH""><span dir=""ltr"" lang=""en"" translate=""yes"">About this learning activity</span></h2><div dir=""ltr"" lang=""en"" translate=""yes""><p>This site provides insight to IBM's culture of inclusion and belonging. IBM leads with their values and beliefs to ensure that every IBM employee can bring their full selves to work.<br/><br/>
 After you complete this activity, return to this page to select <strong>Mark complete</strong> for completion credit.</p></div>","['Learning Domain', 'Workplace skills - Ways of working', 'Learning Domain Primary', 'Professional skills']"
